batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,demographic_parity,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.09522729888558387,0.1525459124132424
979,0.3596079321578,0.0535361448362,4,65,0.0891237124800682,0.1505435784042749
652,0.7642785040662,0.0014379647071,3,136,0.09215334877371788,0.1518211412075425
94,0.005704017356,0.0050831004951,3,339,0.09881183132529259,0.1506418524660647
241,0.9708397453651,0.0329667406801,4,407,0.0,0.2362262760272711
72,0.9862420861449,0.0628800389282,5,77,0.009429192543029786,0.2362262760272711
57,0.9942799368716,0.0001575706439,5,82,0.055997630953788756,0.23486272341993736
83,0.9878259674754,0.009951028962,4,75,0.06662168949842454,0.1870032553282968
42,0.9893447635251,0.0022321654888,5,75,0.059745891392230986,0.21864750322461765
97,0.9909604157739,0.006891764003,5,67,0.06024680659174919,0.19320680547877894
56,0.9920539197649,0.0006976192215,5,68,0.05362006574869156,0.23045267489711935
218,0.9819920302528,0.0001368081796,5,68,0.05777728706598282,0.1716110804004668
43,0.9746086616412,0.0020274746028,4,64,0.07431339919567108,0.18061544131195872
673,0.656813852222,0.0001085224849,5,64,0.09369008168578148,0.15481850009213188
42,0.8493013770895,0.0001206105097,5,64,0.08192374259233474,0.15325839936121857
453,0.4649276908677,0.0001187249312,5,64,0.09571924060583115,0.15298814569129657
57,0.5183053322517,0.0001061882683,5,64,0.09266026318073273,0.1501259136416682
363,0.4404192057852,0.0001161445551,5,64,0.09564608633518219,0.15349180025796938
793,0.2161173728029,0.000125643409,5,64,0.09657381027936936,0.150224187703458
277,0.0788153739624,0.0011246047718,1,788,0.09932490512728691,0.1509121061359867
895,0.7897473442105,0.011623077444,1,411,0.08878429755568504,0.1504084515693139
597,0.4199483890762,0.0062957704128,3,1002,0.0,0.2362262760272711
102,0.9789301286888,0.0001237323109,2,66,0.05637349933385849,0.17314661261593267
58,0.9928346100477,0.0001200980387,4,64,0.054543742537498476,0.2300227258767889
