batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,demographic_parity
597,0.4199483890762,0.0062957704128,3,1002,0.2362262760272711,0.0
582,0.0387496336331,0.0003356147463,1,83,0.1492291628278361,0.09132485687732697
160,0.8189922332393,0.0004881845483,1,65,0.15976905595479396,0.001316763460636139
222,0.3646827688118,0.0162151725013,4,81,0.15603464160678088,0.04144018441438675
163,0.7584211335227,0.0007299888447,5,66,0.15659971746207235,0.009466178715229034
588,0.1526816514889,0.0001271356585,1,112,0.15051900988882744,0.07999378219246864
917,0.2528729324812,0.0002112474838,2,84,0.15297586143357284,0.06338484585285187
632,0.2859097380484,0.0213235547463,3,145,0.15580124071003004,0.05806095898151398
163,0.7583688800364,0.0007433138687,1,66,0.1573244886677722,0.004231476783752441
163,0.7551565607756,0.000443499544,5,66,0.1595725078312143,0.0034154295921325684
