batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,demographic_parity,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.011685433983802795,0.16186966402555128
979,0.3596079321578,0.0535361448362,4,65,0.032133767008781434,0.1600761623978871
652,0.7642785040662,0.0014379647071,3,136,0.004700665175914764,0.16393341932313743
94,0.005704017356,0.0050831004951,3,339,0.09237122535705566,0.15105951722867145
241,0.9708397453651,0.0329667406801,4,407,0.0,0.5527547447945458
522,0.8423425188493,0.0007693681829,3,149,0.005492612719535828,0.16317179534426635
517,0.7758733590074,0.0006255094583,4,334,0.00831686556339264,0.1604815429027701
556,0.854499235087,0.0009686453631,5,127,0.0046805739402771,0.16691849395000308
585,0.7842104391922,0.0005818106136,4,509,0.006135867536067962,0.16393341932313743
567,0.8147167421289,0.0008277502424,3,132,0.004726965725421905,0.16290154167434437
512,0.8367507622215,0.0007724569293,5,137,0.0044335082173347475,0.1653829617345372
522,0.8090018561678,0.0004865935133,3,137,0.00775681585073471,0.16244702413856643
529,0.7694151232893,0.0007920203665,4,162,0.007451298832893372,0.16140286223204964
158,0.8182250280493,0.0007857641672,5,143,0.0026673927903175356,0.162287328788158
161,0.8140293792857,0.0007845787672,5,143,0.008889216184616088,0.15841778760518396
149,0.8458439924838,0.000790264522,5,137,0.005210171639919281,0.16096062895399546
154,0.8181560403501,0.0007890687279,5,141,0.00968242734670639,0.16104661875806153
155,0.8278770842719,0.0007871650697,5,138,0.0040045961737632755,0.16241017136539526
144,0.8266167564397,0.0007861583392,5,72,0.004297396540641785,0.15860205147103984
277,0.0788153739624,0.0011246047718,1,788,0.09033714830875397,0.1520545421042933
895,0.7897473442105,0.011623077444,1,411,0.006129416823387146,0.16349118604508325
597,0.4199483890762,0.0062957704128,3,1002,0.0,0.2362262760272711
158,0.8196437820093,0.0001742177376,5,70,0.0038570553064346314,0.16282783612800195
158,0.8182250280493,0.0007857641672,5,67,0.0034007370471954347,0.16142743074749705
155,0.8189905679237,0.0007497389634,5,76,0.00961288958787918,0.1601990049751244
158,0.8200771663608,0.0005143781759,1,72,0.004452088475227356,0.16051839567594128
263,0.8195779623813,0.0007782203298,1,66,0.0029272988438606264,0.1611448928198514
58,0.8185559155109,0.0001722650473,3,139,0.0030286282300949095,0.17287635894601067
42,0.8187442864314,0.0004682608557,1,64,0.0038115590810775756,0.18439899269086668
497,0.4323787825414,0.0004186695981,1,866,0.023103074729442598,0.16003930962471596
111,0.8182250280493,0.0004286966302,5,143,0.007556340098381043,0.1593882439653584
242,0.5897873412338,0.0912677296139,2,140,0.0,0.2362262760272711
117,0.8182683517552,0.0010144958148,5,140,0.005452455580234527,0.16086235489220563
222,0.8195779623813,0.0010045916649,2,66,0.0048287734389305115,0.16226276027271053
49,0.8185559155109,0.0001402489767,5,139,0.005624647438526154,0.17600884466556108
725,0.8291921563812,0.0010647561261,1,66,0.0033285900950431823,0.16354032307597816
67,0.8183930928975,0.0010082819831,2,66,0.004231502115726471,0.16844174190774525
116,0.8240820952715,0.0010952471331,4,72,0.006654028594493866,0.16037098458325655
109,0.9994950887646,0.0010945948243,2,72,9.387731552124023e-08,0.2362262760272711
203,0.836270266563,0.0026409543209,5,612,0.007448932528495789,0.16089920766537685
100,0.8247608791102,0.0010960765725,3,72,0.0058275371789932254,0.16124316688164117
100,0.8229159425403,0.001099586982,4,73,0.0055015265941619875,0.16193108531416986
78,0.8225888475391,0.0010938039877,2,73,0.004253417253494263,0.1649161599410356
125,0.8237018021551,0.0048739981604,5,72,0.005260683596134186,0.1616976844174191
126,0.8241120862979,0.0037040930954,4,72,0.005813801288604736,0.16043240587187518
234,0.9012370449731,0.0007526985348,1,66,0.0031787872314453123,0.17938701553958603
231,0.903623333298,0.0008647193155,1,67,0.003055603802204132,0.1860573674835698
226,0.8715626199739,0.0008514253291,1,67,0.002535206079483032,0.1669307782077268
539,0.4096195582972,0.0014614146338,2,269,0.032173797488212585,0.15890915791413301
241,0.8882247718954,0.0008359664622,1,64,0.0037163615226745604,0.17524722068669
37,0.8757693329253,0.0007678306809,1,65,0.002446199953556061,0.21988821325471405
54,0.8971860591416,0.000824358763,1,66,0.002813735604286194,0.22977704072231436
582,0.0387496336331,0.0003356147463,1,83,0.09132485687732697,0.1492291628278361
232,0.8675833403159,0.0008531808368,4,67,0.004352295398712158,0.16618143848657946
737,0.8474486923704,0.0008470850872,5,69,0.004591269791126252,0.16443707388981024
808,0.8603546487394,0.0008523950007,4,69,0.003865066170692444,0.16608316442478965
728,0.8597379438152,0.0008530792446,4,67,0.002185852825641632,0.1667833671150421
526,0.1558490208903,0.0010597119829,3,71,0.0792949691414833,0.15424113997911673
226,0.8599626199438,0.0008514253291,5,69,0.004157328605651855,0.16436336834346787
900,0.4300912433377,0.0152683361273,5,574,0.0,0.2362262760272711
228,0.8627954844342,0.0008572715545,5,68,0.003999224305152893,0.16480560162152202
158,0.8182250280493,0.0007857641672,1,142,0.0064394503831863405,0.1602972790369142
158,0.8185236653857,0.0007857641672,1,67,0.005822880566120148,0.15898286346047544
671,0.818414263895,0.0007809880701,1,67,0.003956528007984161,0.1645107794361526
921,0.0402320288874,0.0695202977577,2,410,0.0,0.2362262760272711
217,0.6966025769503,0.0609459009151,5,409,0.0,0.2362262760272711
160,0.8189922332393,0.0007853866256,1,67,0.002972109615802765,0.15915484306860755
435,0.6182493089424,0.0313142741224,3,206,0.01081981509923935,0.16104661875806156
193,0.4888227212062,0.0678987026873,5,198,0.0,0.2362262760272711
780,0.518178234118,0.0876088925499,5,392,0.0,0.2362262760272711
426,0.1433537197856,0.0711654270402,5,383,0.0,0.2362262760272711
962,0.1658029844256,0.0009078367561,5,387,0.08077762201428414,0.15405687611326083
308,0.3907903123051,0.0680168794335,5,385,0.0,0.2362262760272711
632,0.2859097380484,0.0213235547463,3,145,0.05806095898151398,0.15580124071003004
789,0.1735250423285,0.0876331987424,5,415,0.0,0.2362262760272711
480,0.6473716528844,0.0624996645224,5,411,0.0,0.2362262760272711
