batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,demographic_parity
597,0.4199483890762,0.0062957704128,3,1002,0.2362262760272711,0.0
670,0.881882012832,0.0001445370004,2,64,0.16850316319636388,0.0010873079299926758
56,0.874631110417,0.0006972273812,5,92,0.1565751489466249,0.011142489314079285
497,0.4323787825414,0.0004186695981,1,866,0.1557766721945826,0.04743088930845261
915,0.2951589262888,0.0066119680367,4,325,0.1543271297831828,0.06466638147830964
103,0.2833626254686,0.0005003261748,1,490,0.15053129414655117,0.08059373199939728
917,0.2528729324812,0.0002112474838,2,84,0.15132977089859342,0.07268845438957214
869,0.3577941791914,0.0001144897283,1,85,0.15470794177261835,0.051769793033599854
292,0.8691633680945,0.0010539050599,1,274,0.16008844665561087,0.00314522385597229
588,0.1526816514889,0.0001271356585,1,112,0.1497696701676801,0.08540953248739243
