batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,demographic_parity
59,0.0030815114132,0.0057836649805,4,153,0.15005220809532582,0.08834131509065628
404,0.9522543525878,0.0620108034853,5,69,0.2362262760272711,1.1920928955078126e-08
776,0.3086653060848,0.0004287369379,1,84,0.1928628462625146,0.0005308419466018676
39,0.0434074217682,0.0050831004951,3,206,0.1508629691050918,0.07038886174559593
66,0.0453077602809,0.0038705299809,2,173,0.15758245807997048,0.05623177140951156
63,0.1011284741403,0.0057869377883,1,78,0.16559179411584057,0.037896910309791566
63,0.2336341509155,0.0004226593644,4,74,0.16885940667035196,0.022742760181427003
376,0.1582188227815,0.0045780134808,5,524,0.18215097352742463,0.006276662647724152
65,0.0858165163043,0.0001396075788,3,217,0.15951108654259566,0.0457832857966423
413,0.0535191435259,0.0377148256786,1,100,0.17518579939807136,0.01812051683664322
