batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,demographic_parity,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.003242039680480957,0.2287943001044162
979,0.3596079321578,0.0535361448362,4,65,0.0022216901183128358,0.21953196978072603
652,0.7642785040662,0.0014379647071,3,136,0.0010733410716056823,0.2362262760272711
322,0.412513526121,0.0006441000446,1,166,0.004375943541526794,0.19207665376819608
815,0.8617159873378,0.0002361502231,3,752,0.000690971314907074,0.2362262760272711
925,0.3837167412653,0.0596107666961,2,65,0.004558591544628144,0.2186229347091702
150,0.1709107359706,0.0005901249311,2,70,0.010203726589679718,0.18039432467293162
1024,0.9367846473174,0.0044448572887,4,80,0.00020296424627304078,0.2362262760272711
102,0.6765698196157,0.0001975638963,1,697,0.002421647310256958,0.23465389103863404
659,0.4104945693248,0.0117063616816,5,64,0.0035031110048294066,0.20078619249431853
59,0.0030815114132,0.0057836649805,4,153,0.08834131509065628,0.15005220809532582
659,0.4262363360775,0.0063782393736,4,68,0.003100627660751343,0.19264172962348752
85,0.6624668076433,0.0001461455212,3,455,0.003914596140384674,0.23203734414348015
895,0.7897473442105,0.011623077444,1,411,0.001057925820350647,0.2359683066150728
498,0.4997052812651,0.0008260624616,1,201,0.0026079371571540834,0.20441004852281797
81,0.801774956151,0.0054916470096,2,72,0.0023752421140670775,0.23614028622320501
69,0.005704017356,0.0027189688569,1,229,0.08856590464711189,0.15046987285793254
544,0.3566148090088,0.0077072238861,1,64,0.002739875018596649,0.19231005466494688
184,0.5249395800268,0.0002461496774,1,328,0.006060791015625,0.2025551256065352
497,0.4323787825414,0.0004186695981,1,866,0.0033181563019752504,0.19894355383575946
53,0.7431359447524,0.0001324462442,2,383,0.0031664013862609864,0.2362262760272711
55,0.5959451110671,0.0279512903626,4,191,0.0007220044732093811,0.23298323198820717
143,0.4893136075805,0.0143524519362,2,124,0.004030777513980866,0.19292426755113323
111,0.6237206127861,0.0011527170707,5,250,0.003052695095539093,0.22820465573367726
203,0.836270266563,0.0026409543209,5,612,0.0010578826069831849,0.2362262760272711
682,0.8411544066865,0.0006865924239,5,174,0.0006315872073173523,0.2362262760272711
342,0.3794140715116,0.0094428768473,4,67,0.00396658331155777,0.1953565505804312
539,0.4096195582972,0.0014614146338,2,269,0.005439479649066925,0.19457035808611264
540,0.6011431890687,0.0002228815534,5,87,0.0006099402904510498,0.21886861986364475
65,0.2425091147505,0.0001738203182,2,75,0.01857498586177826,0.17439960690375284
313,0.4545499988336,0.0003879558517,5,696,0.0030703678727149963,0.19605675327068361
582,0.0387496336331,0.0003356147463,1,83,0.01746324449777603,0.17428904858423927
841,0.3293608465041,0.0018412961777,3,115,0.004099096357822418,0.18718751919415272
507,0.5071325061685,0.0001639990325,4,291,0.0009175524115562439,0.20818131564400222
63,0.1525805406835,0.0005901249311,3,74,0.030269865691661835,0.16621829125975066
51,0.6743427482514,0.0203488979235,4,182,1.5325844287872314e-05,0.2362262760272711
526,0.1558490208903,0.0010597119829,3,71,0.006022122502326965,0.1849026472575395
571,0.1632290921883,0.0403526510329,1,155,0.00485796332359314,0.19115533443891655
946,0.240475409915,0.0535361448362,3,68,0.005171826481819153,0.20552791597567716
45,0.025892842149,0.0064701372435,2,138,0.07443789690732956,0.1518579939807137
578,0.466940713799,0.0069166965864,5,247,0.0019199952483177185,0.21186659296112031
71,0.3818317948981,0.0043214032666,5,297,0.007895979285240173,0.1799152386217063
506,0.2774871972287,0.000458934893,1,239,0.005312137305736542,0.191450156624286
799,0.0490666417774,0.000188798116,1,231,0.012550820410251618,0.17813402125176583
83,0.9431689307954,0.0005462678091,3,381,0.0007569581270217895,0.2362262760272711
962,0.1658029844256,0.0009078367561,5,387,0.003002479672431946,0.18896873656409313
633,0.4527774250837,0.0005033519202,3,444,0.004519021511077881,0.19212579079909098
632,0.2859097380484,0.0213235547463,3,145,0.004150889813899994,0.1923714759535655
681,0.9252130831835,0.000225824127,2,160,0.0005818083882331848,0.2362262760272711
442,0.5011312487499,0.0005315224917,1,162,0.00294027179479599,0.2045820281309502
363,0.5999613374055,0.0005315224917,5,119,0.0016626954078674317,0.20927461458141394
917,0.2528729324812,0.0002112474838,2,84,0.0011389970779418946,0.19184325287144527
683,0.4302554532778,0.0069425824515,4,336,0.0030807510018348696,0.2065475093667465
869,0.3577941791914,0.0001144897283,1,85,0.0007939979434013367,0.19998771574227625
219,0.1326945416802,0.0055501982149,1,497,0.015908469259738923,0.18164731896075176
959,0.0099039525899,0.0001330037572,5,856,0.03557151854038239,0.16761869664025553
156,0.5126786491203,0.0053294934748,3,134,0.005254958570003509,0.19830477243412567
844,0.2250047838217,0.0777989782816,3,65,0.001373039186000824,0.21988821325471405
65,0.4572054964111,0.0269030355547,3,150,0.006249172985553742,0.22623917449788103
193,0.6825317392541,0.0012800826778,5,78,0.0015560239553451538,0.2362262760272711
59,0.0982368328669,0.0062053850896,1,81,0.03842775225639343,0.16506357103372032
431,0.0822383740424,0.0075073454367,3,156,0.011165326833724976,0.1766107732940237
259,0.6182439422905,0.0005315224917,5,90,0.00207105427980423,0.21525704809286897
103,0.2833626254686,0.0005003261748,1,490,0.010457329452037811,0.1818315828266077
441,0.1020683828299,0.0037946946911,5,771,0.010823585093021393,0.18188071985750262
132,0.8645510243583,0.0065231774625,3,69,0.0005309045314788819,0.2362262760272711
222,0.3163643900406,0.0077402548612,5,64,0.005243359506130219,0.1864136109575579
274,0.8391282420355,0.0007788324639,1,627,0.0012725502252578734,0.23620170751182362
118,0.0095926156531,0.0001209499004,4,489,0.07726363986730575,0.15538357594742336
725,0.4495361860686,0.0001828620707,3,74,0.0011981025338172913,0.2050119771512806
142,0.3018269311536,0.0013615516581,1,156,0.0063386023044586185,0.18846508199742035
48,0.8393505362879,0.000335227891,2,278,0.0019466519355773927,0.2362262760272711
456,0.2025097518032,0.000165906658,5,371,0.005818668007850647,0.19011117253239976
52,0.1777602005584,0.0071062444482,1,245,0.02754814624786377,0.17108285731834655
544,0.7637452690801,0.0189128877645,4,173,0.0006997421383857727,0.2362262760272711
78,0.1333517870819,0.0379151435743,1,376,0.030575940012931825,0.17495239850132055
858,0.5295439381285,0.0008570201388,2,874,0.0016954928636550904,0.22196425281002394
514,0.9751001598295,0.0023139794505,4,290,0.00016801655292510986,0.2362262760272711
181,0.1042301237216,0.0056294156898,4,184,0.01591521203517914,0.17463300780050364
852,0.1477343378818,0.0001720754894,1,578,0.005756594240665436,0.18640132669983417
287,0.0042305286159,0.0003825520686,4,280,0.07497012615203857,0.1537252011547202
38,0.4950446899782,0.0006069868363,4,75,0.011078986525535583,0.1877280265339967
713,0.4736068584881,0.0484101532431,1,65,0.0020709380507469176,0.235734905718322
876,0.3843229233274,0.0312081445008,2,98,0.0028112649917602537,0.211117253239973
102,0.0243599966944,0.0034664159679,2,142,0.06353132724761963,0.15420428720594553
145,0.5126786491203,0.0036689786017,4,86,0.004352939128875732,0.19771512806338679
884,0.0240476070589,0.0001244318996,5,523,0.022613656520843507,0.17405564768748846
267,0.2227488758416,0.0133378701537,2,69,0.006951451301574707,0.18462010932989376
276,0.1850431063149,0.0050170483991,3,101,0.01477106213569641,0.18070143111602482
852,0.2554158173882,0.0001859212949,3,65,0.002081035077571869,0.18950924390393714
66,0.0453077602809,0.0038705299809,2,173,0.05623177140951156,0.15758245807997048
313,0.4943773457039,0.0025848473367,3,885,0.0010596185922622681,0.20945887844726982
460,0.2886737918534,0.011874222675,2,145,0.005508632957935333,0.19157299920152326
776,0.1506642600813,0.00253628593,2,529,0.006234650313854217,0.1884036607088017
330,0.9821690174032,0.0229054208914,4,64,2.2816658020019532e-05,0.2362262760272711
542,0.3884680740375,0.0047964066063,4,599,0.004366709291934967,0.19753086419753085
671,0.477805553039,0.0001000439302,1,742,0.0029332101345062255,0.20232172470978438
307,0.3966296496465,0.0065078037431,2,550,0.0036318480968475344,0.19572507831214297
67,0.1238591984675,0.0008622153901,5,450,0.031035831570625304,0.16808549843375714
49,0.0688601702784,0.0003239179582,3,237,0.05278739482164383,0.15920398009950248
793,0.2500518198771,0.0072989042556,4,564,0.003316594660282135,0.18568883975185801
776,0.3086653060848,0.0004287369379,1,84,0.0005308419466018676,0.1928628462625146
39,0.8406280162015,0.0037841646219,5,544,0.0022343382239341735,0.2362262760272711
915,0.2951589262888,0.0066119680367,4,325,0.0014304429292678832,0.1918678213868927
831,0.9121447002385,0.0258958220048,2,86,0.0006173446774482727,0.2362262760272711
976,0.3603359633198,0.0163222644592,1,278,0.0016128018498420716,0.19765370677476815
454,0.1246000775699,0.0038598459083,4,160,0.007538752257823944,0.1832811252380075
50,0.740179719234,0.0059510273029,4,165,0.003832791745662689,0.2362262760272711
498,0.6579712863223,0.00944846031,4,146,0.0011228099465370178,0.2350961243166882
317,0.5774632610946,0.0004289380476,2,90,0.0011234745383262635,0.2148885203611572
451,0.1924494999061,0.0213235547463,5,88,0.004848149418830871,0.18846508199742032
160,0.4670716943235,0.0028172952438,5,556,0.002254137396812439,0.1927400036852773
546,0.328880259391,0.0012850548044,1,166,0.004616183042526245,0.19364903875683312
805,0.3334198233134,0.0012575315579,3,213,0.0033516213297843933,0.19103249186167928
404,0.9522543525878,0.0620108034853,5,69,1.1920928955078126e-08,0.2362262760272711
