batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,demographic_parity
948,0.1227161072199,0.0003706377685,2,814,0.011365211365211337,0.07394886910915374
628,0.9466728295187,0.0171509610799,2,695,0.4504504504504504,0.0
413,0.9976174606264,0.0001068751113,2,97,0.36923076923076925,0.000761348009109497
733,0.9524157394387,0.0001029663901,2,136,0.04698544698544695,0.0008165270090103149
261,0.9444628758239,0.0003328752108,1,412,0.018849618849618843,0.04724692404270172
660,0.9285011762963,0.0001023039171,5,144,0.023284823284823265,0.035771104693412784
264,0.9167994726746,0.0001393583637,2,1001,0.015939015939015942,0.06365351974964142
617,0.9559464754498,0.000112202051,2,729,0.029660429660429654,0.02013774812221527
444,0.9587759901927,0.0001211064665,1,723,0.03465003465003465,0.014114922285079956
444,0.9587759901927,0.0001213145891,1,723,0.03728343728343726,0.005071601271629334
