batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,demographic_parity,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.0742705762386322,0.012196812196812169
979,0.3596079321578,0.0535361448362,4,65,0.0748848408460617,0.018156618156618155
652,0.7642785040662,0.0014379647071,3,136,0.07607161700725555,0.0144144144144144
94,0.005704017356,0.0050831004951,3,339,0.0767803281545639,0.016354816354816348
241,0.9708397453651,0.0329667406801,4,407,0.0,0.5297297297297296
48,0.9881238973925,0.0039894384837,3,690,0.029952242970466614,0.4702702702702702
67,0.9621525065437,0.0002080245161,4,608,0.0327999085187912,0.29480249480249476
60,0.9569051522219,0.0081599320197,4,743,0.026803487539291383,0.3512127512127512
32,0.9434761964545,0.0002294248788,4,531,0.03496277183294296,0.4504504504504504
87,0.9880148778088,0.0185815611552,3,557,0.0,0.5297297297297296
196,0.9346879446079,0.0449054052458,2,635,0.0,0.49009009009008997
70,0.932771613844,0.0094473558088,5,672,0.042338359355926516,0.24906444906444905
40,0.97678564567,0.0006074525151,4,543,0.03127084076404572,0.4504504504504504
66,0.195062291902,0.000142478076,5,813,0.07548946738243104,0.016770616770616774
67,0.6707419468204,0.0001336481868,5,254,0.07407639622688293,0.013998613998613973
65,0.0583186845156,0.0001191672359,5,134,0.07339064180850982,0.013860013860013853
69,0.6623024790909,0.0001389178354,5,276,0.07501294612884521,0.014137214137214115
65,0.1625394206561,0.0001781554199,5,276,0.07576945424079895,0.013860013860013853
68,0.1377218553351,0.0001437056151,5,76,0.07459196150302887,0.017602217602217606
277,0.0788153739624,0.0011246047718,1,788,0.07440119087696076,0.012751212751212737
895,0.7897473442105,0.011623077444,1,411,0.07135438621044159,0.0187110187110187
597,0.4199483890762,0.0062957704128,3,1002,0.0,0.4702702702702702
57,0.9435801037148,0.0001290777129,5,737,0.044152076542377475,0.11337491337491337
58,0.9317917651781,0.0001787943679,5,750,0.062084102630615236,0.029660429660429654
57,0.9415671099486,0.0001105399444,5,771,0.0534290686249733,0.03367983367983365
57,0.9406890079009,0.0001278610417,5,838,0.061739465594291686,0.03215523215523217
57,0.9249182393951,0.0001629120527,5,760,0.06117128133773804,0.026056826056826042
52,0.9436818431719,0.0001829829031,5,755,0.04969537854194641,0.1040887040887041
58,0.9390455563852,0.0038653235715,5,743,0.0592284545302391,0.13374913374913372
497,0.4323787825414,0.0004186695981,1,866,0.07441374659538269,0.01372141372141369
48,0.9467113609053,0.0008698603753,4,952,0.057864701747894286,0.04934164934164933
242,0.5897873412338,0.0912677296139,2,140,0.030633872747421263,0.314067914067914
52,0.9456511091712,0.0014855634629,4,957,0.05903361737728119,0.04587664587664586
52,0.946925192107,0.0015202997132,4,932,0.06197020709514618,0.04033264033264035
49,0.9703637343221,0.0011611390044,4,743,0.03274572640657425,0.4503118503118502
40,0.9798668847876,0.0011168471403,4,770,0.0275462344288826,0.5297297297297296
53,0.9777771939671,0.0008105987492,4,755,0.029973207414150237,0.4866250866250866
59,0.9435801037148,0.0001087199099,5,146,0.03803544491529465,0.12072072072072071
59,0.9467982095781,0.000100881653,5,275,0.034020647406578064,0.1941787941787942
203,0.836270266563,0.0026409543209,5,612,0.07247642874717712,0.014691614691614684
60,0.9457099831788,0.0001053634326,5,312,0.047159413993358615,0.04629244629244629
60,0.9465426469801,0.0001119125154,5,127,0.03800376951694488,0.22744282744282743
55,0.9478233230397,0.0001036510031,5,552,0.03852180391550064,0.1042273042273042
59,0.9436104193552,0.0020114492033,5,148,0.06464065909385681,0.03977823977823978
60,0.9436013248483,0.0003825231473,5,68,0.03828800320625305,0.1911295911295911
57,0.971776569896,0.0001047554587,4,458,0.031892812252044676,0.4504504504504504
53,0.9725623638795,0.0001049605291,3,472,0.030192400515079498,0.4504504504504504
55,0.9813873367215,0.0001044808802,4,461,0.029415853321552277,0.4504504504504504
539,0.4096195582972,0.0014614146338,2,269,0.07395860850811005,0.013721413721413712
53,0.996439824304,0.0001036510031,3,443,0.021832560002803803,0.4504504504504504
57,0.9864999357736,0.0001042209085,2,94,0.015200412273406983,0.4353430353430353
58,0.9881344776181,0.0001044767854,2,96,0.023300541937351225,0.4504504504504504
582,0.0387496336331,0.0003356147463,1,83,0.0733397513628006,0.013028413028413021
258,0.9393573878367,0.0880483481446,3,143,0.0,0.4900900900900901
213,0.9395009848949,0.0939755398245,4,146,0.0,0.4702702702702702
234,0.93988947483,0.0956510071459,5,77,0.023094597458839416,0.30769230769230765
929,0.9401203354035,0.0859443986012,3,73,0.03644226193428039,0.21884961884961882
