batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,demographic_parity
597,0.4199483890762,0.0062957704128,3,1002,0.4504504504504504,0.0
850,0.0392599323839,0.0002724453673,2,541,0.010810810810810811,0.07446694374084473
621,0.4357978703527,0.0011227070329,5,301,0.014275814275814258,0.06526368856430054
36,0.794907769105,0.0001391935888,2,577,0.0144144144144144,0.008797457814216614
668,0.9790955119744,0.0001234794198,1,187,0.15717255717255718,0.0002991795539855957
871,0.9895255802845,0.0002778569011,2,318,0.3491337491337491,0.0002677977085113525
550,0.9704561541236,0.0001037355357,1,188,0.08717948717948716,0.0006845563650131226
667,0.9808543723831,0.0001237725854,3,187,0.385031185031185,0.00019408762454986572
387,0.9653195736372,0.0001048941888,1,195,0.053361053361053346,0.0017131209373474122
59,0.8624570409317,0.0001372286109,3,712,0.01995841995841996,0.0028329402208328246
