batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,demographic_parity,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.06806342005729675,0.013582813582813569
979,0.3596079321578,0.0535361448362,4,65,0.07493623793125152,0.02079002079002077
652,0.7642785040662,0.0014379647071,3,136,0.059962761402130124,0.01815661815661813
94,0.005704017356,0.0050831004951,3,339,0.0729058861732483,0.018988218988218987
241,0.9708397453651,0.0329667406801,4,407,0.0,0.5297297297297296
92,0.8388953391457,0.0256231801924,4,572,0.0,0.5297297297297296
164,0.9317315508194,0.0247766565877,4,518,0.0,0.4900900900900901
223,0.699032040932,0.0314363983229,4,484,0.0,0.5099099099099098
46,0.9580746733704,0.0219023368702,5,487,0.0,0.5297297297297296
102,0.9606010478661,0.0183710672009,4,570,0.0,0.4900900900900901
57,0.9041770910194,0.0210184255681,5,501,0.0,0.5099099099099098
45,0.8150609390189,0.025566493693,5,527,0.0,0.5099099099099098
62,0.8784381660251,0.0302948408649,4,524,0.0,0.4900900900900901
480,0.966045844573,0.0002642349498,4,68,0.012645360827445985,0.03478863478863477
492,0.9538146103984,0.0015107594933,5,70,0.02420925498008728,0.023007623007623
517,0.9992019606032,0.0002228566286,5,82,1.5616416931152343e-06,0.4504504504504504
693,0.9708830450629,0.0008729838804,5,66,0.016878455877304077,0.03853083853083852
626,0.9635061643043,0.0015387554997,5,107,0.0143375962972641,0.032986832986832984
585,0.9967783219519,0.0005990044535,5,191,6.937980651855469e-06,0.4504504504504504
277,0.0788153739624,0.0011246047718,1,788,0.07438952028751374,0.012335412335412332
895,0.7897473442105,0.011623077444,1,411,0.05471939742565155,0.016909216909216918
597,0.4199483890762,0.0062957704128,3,1002,0.027495092153549193,0.2765072765072765
84,0.9656114961522,0.0002633019771,3,71,0.0052840948104858395,0.03977823977823976
261,0.9656548771094,0.0005106213038,3,73,0.013452380895614624,0.028135828135828135
285,0.9678532761517,0.0004026145897,3,69,0.011417561769485473,0.03132363132363129
68,0.9671957087625,0.0003100957906,3,73,0.005269989371299744,0.048371448371448356
199,0.9693437686591,0.0004762169711,3,73,0.014774540066719055,0.029521829521829534
39,0.9642306431926,0.0003082371505,1,73,0.0066099375486373905,0.05932085932085931
143,0.966045844573,0.0003147584663,4,70,0.009408912062644959,0.028413028413028396
497,0.4323787825414,0.0004186695981,1,866,0.0710744708776474,0.01205821205821207
79,0.9941146235336,0.0003112132588,3,74,4.351139068603516e-06,0.4504504504504504
242,0.5897873412338,0.0912677296139,2,140,0.014877334237098694,0.43478863478863483
71,0.9829401745421,0.0003101544869,3,74,0.001352354884147644,0.3265419265419265
78,0.9667285620434,0.000240538712,3,74,0.010140106081962585,0.05433125433125432
77,0.9817973533283,0.0003249611131,3,75,0.0022876471281051635,0.08925848925848925
80,0.9720552448638,0.000331932563,3,75,0.0049531877040863035,0.048787248787248785
80,0.9829061399025,0.0003309376925,3,75,0.0021018654108047484,0.11157311157311156
90,0.9652316043909,0.0003155237154,4,71,0.006288462877273559,0.033264033264033245
78,0.9656114961522,0.0003174280563,4,71,0.006349259614944458,0.04532224532224534
203,0.836270266563,0.0026409543209,5,612,0.04725802838802338,0.022037422037422028
83,0.9652514992582,0.0003143769722,5,71,0.009195515513420105,0.04005544005544006
80,0.9655993640229,0.0003158909841,4,71,0.0083218514919281,0.03492723492723491
92,0.966045844573,0.0003153260183,4,71,0.005838048458099365,0.031878031878031864
79,0.966045844573,0.0003147584663,4,71,0.007470527291297912,0.04504504504504505
197,0.9659001882017,0.0003160873032,4,71,0.010423299670219422,0.027720027720027685
94,0.9591321753986,0.000234306649,5,72,0.0063341081142425535,0.027720027720027705
89,0.9582069110216,0.0002261204667,5,72,0.008812722563743592,0.024670824670824664
92,0.520379082571,0.0001518416305,5,72,0.0710715264081955,0.016493416493416492
539,0.4096195582972,0.0014614146338,2,269,0.07339748740196228,0.01219681219681219
93,0.8086205161882,0.000154869225,4,72,0.044410184025764465,0.018572418572418557
94,0.3501934724197,0.0002353472595,5,72,0.07155249714851379,0.015107415107415112
94,0.5497081602031,0.0001743769363,4,72,0.07065266370773315,0.013860013860013832
582,0.0387496336331,0.0003356147463,1,83,0.0749901443719864,0.01233541233541231
76,0.9822134946503,0.0006862791158,1,76,0.002375471591949463,0.10436590436590436
80,0.9824806927531,0.0003745718229,3,64,0.00215756893157959,0.0907830907830908
48,0.97669910687,0.0003817381783,1,78,0.002446344494819641,0.0896742896742897
37,0.9777471745643,0.057225966615,2,78,0.0077188372611999515,0.4702702702702702
49,0.9794796009787,0.0004584236832,1,79,0.002275902032852173,0.19196119196119196
526,0.1558490208903,0.0010597119829,3,71,0.07448007762432099,0.013860013860013875
60,0.9788581787763,0.0008137225096,1,78,0.003013026714324951,0.0819126819126819
900,0.4300912433377,0.0152683361273,5,574,0.0,0.5099099099099098
58,0.9714120577003,0.0001668803671,3,77,0.004402333498001098,0.07165627165627167
58,0.9718469008217,0.0001860030548,2,78,0.005646643042564392,0.06486486486486484
56,0.9736679939332,0.0001823896699,2,77,0.006250840425491333,0.07124047124047125
62,0.9734588537997,0.0001079746275,2,77,0.0027344942092895506,0.07318087318087316
921,0.0402320288874,0.0695202977577,2,410,0.0,0.5099099099099098
217,0.6966025769503,0.0609459009151,5,409,0.0,0.4504504504504504
60,0.9743572939115,0.0001667433713,3,78,0.004409515857696533,0.07456687456687457
435,0.6182493089424,0.0313142741224,3,206,0.028089597821235657,0.27678447678447676
193,0.4888227212062,0.0678987026873,5,198,0.0,0.49009009009008997
391,0.9831825980737,0.0002033015002,2,91,0.0053505122661590574,0.03936243936243935
254,0.9836509329392,0.0002419036804,2,76,0.0038281023502349854,0.09923769923769923
962,0.1658029844256,0.0009078367561,5,387,0.07481551468372345,0.013860013860013853
307,0.9839438125533,0.0001764795329,1,101,0.0009711861610412597,0.1968121968121968
632,0.2859097380484,0.0213235547463,3,145,0.07598531544208527,0.017740817740817726
41,0.9829401745421,0.0002207143561,2,74,0.00014506280422210693,0.4504504504504504
70,0.9829519101326,0.0001606862972,4,74,0.001016351580619812,0.2228690228690228
80,0.9720552448638,0.00064558129,3,72,0.006121852993965149,0.05641025641025643
81,0.9722157513013,0.0008508308876,2,73,0.006931683421134949,0.057796257796257786
80,0.9734834411429,0.0006584880249,2,75,0.009204694628715515,0.053083853083853064
917,0.2528729324812,0.0002112474838,2,84,0.07061368823051453,0.015107415107415112
80,0.9721608242158,0.0005892090941,2,73,0.005117681622505188,0.04629244629244629
869,0.3577941791914,0.0001144897283,1,85,0.06529828011989594,0.026611226611226613
80,0.9724154582665,0.0005761615354,2,73,0.004900279641151428,0.053776853776853796
603,0.7481965207707,0.050363997522,2,431,0.0,0.49009009009008997
84,0.9769199352213,0.0002896086108,2,71,0.007342591881752014,0.07456687456687458
