batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,demographic_parity
811,0.7360326119571,0.00010291166,5,85,0.09618849618849619,0.003052714467048645
356,0.7220182246458,0.0001112174732,4,774,0.010949410949410932,0.07336860597133636
753,0.9675732057788,0.0001863465964,5,77,0.038669438669438685,0.013718357682228089
730,0.9770952291832,0.0001315068271,5,80,0.05641025641025641,0.005664756894111634
719,0.2596734667101,0.0001028778542,4,159,0.03672903672903673,0.03477678894996643
815,0.258411302964,0.0001297187757,1,417,0.033264033264033245,0.06604464948177338
461,0.1735066265393,0.0001879862787,5,73,0.03465003465003465,0.0539541095495224
646,0.758261818521,0.0001352437735,5,65,0.053083853083853084,0.007741549611091613
41,0.0116948699719,0.0010415628033,5,69,0.019265419265419248,0.06902931034564971
566,0.3620540470532,0.0001010208918,4,131,0.03492723492723489,0.04062990546226501
