batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,demographic_parity,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.07202437222003936,0.013444213444213426
979,0.3596079321578,0.0535361448362,4,65,0.07439596652984619,0.0187110187110187
652,0.7642785040662,0.0014379647071,3,136,0.0733832836151123,0.015661815661815636
94,0.005704017356,0.0050831004951,3,339,0.07140104174613952,0.018849618849618822
322,0.412513526121,0.0006441000446,1,166,0.07382696866989136,0.01566181566181566
815,0.8617159873378,0.0002361502231,3,752,0.07330038249492646,0.011365211365211337
925,0.3837167412653,0.0596107666961,2,65,0.07298922538757324,0.016770616770616798
150,0.1709107359706,0.0005901249311,2,70,0.07341575622558594,0.01510741510741509
1024,0.9367846473174,0.0044448572887,4,80,0.07340992093086243,0.014968814968814947
102,0.6765698196157,0.0001975638963,1,697,0.07253229022026061,0.014691614691614684
59,0.0030815114132,0.0057836649805,4,153,0.0726866900920868,0.018295218295218296
176,0.5650710721095,0.0001467921737,3,463,0.07303149998188019,0.013998613998613995
752,0.2330801595869,0.0255903600372,1,709,0.07810957729816437,0.033818433818433816
85,0.6624668076433,0.0001461455212,3,455,0.07439770698547363,0.013028413028413044
277,0.0788153739624,0.0011246047718,1,788,0.07323488891124726,0.013582813582813569
895,0.7897473442105,0.011623077444,1,411,0.07402779161930084,0.015246015246015232
498,0.4997052812651,0.0008260624616,1,201,0.07295564115047455,0.016354816354816348
81,0.801774956151,0.0054916470096,2,72,0.07207172214984894,0.016493416493416468
69,0.005704017356,0.0027189688569,1,229,0.07260082066059112,0.014553014553014564
544,0.3566148090088,0.0077072238861,1,64,0.0733626812696457,0.013998613998613995
635,0.4104945693248,0.0144818936694,1,74,0.07150951325893402,0.01496881496881497
184,0.5249395800268,0.0002461496774,1,328,0.07318722903728485,0.014968814968814947
40,0.6748309344586,0.0216101868293,1,262,0.07444020211696625,0.026749826749826754
497,0.4323787825414,0.0004186695981,1,866,0.07304417192935944,0.012889812889812901
53,0.7431359447524,0.0001324462442,2,383,0.07355830669403077,0.01233541233541231
62,0.3818317948981,0.0042972583038,4,456,0.07220966815948486,0.01981981981981982
143,0.4893136075805,0.0143524519362,2,124,0.07452510297298431,0.01857241857241858
111,0.6237206127861,0.0011527170707,5,250,0.07150268256664276,0.01718641718641718
203,0.836270266563,0.0026409543209,5,612,0.07349283993244171,0.02065142065142065
68,0.1473946081284,0.0008993767961,4,788,0.07258389890193939,0.016770616770616753
682,0.8411544066865,0.0006865924239,5,174,0.0737280398607254,0.013167013167013164
766,0.8645144427745,0.0002361502231,1,276,0.07100267112255096,0.03367983367983367
61,0.737447287188,0.0001600052257,2,408,0.07237963080406189,0.01524601524601521
342,0.3794140715116,0.0094428768473,4,67,0.0713106483221054,0.017602217602217585
539,0.4096195582972,0.0014614146338,2,269,0.07364917099475861,0.013444213444213449
540,0.6011431890687,0.0002228815534,5,87,0.07011585533618928,0.03922383922383921
313,0.4545499988336,0.0003879558517,5,696,0.07280619144439697,0.017463617463617465
582,0.0387496336331,0.0003356147463,1,83,0.060606786608695985,0.04005544005544006
841,0.3293608465041,0.0018412961777,3,115,0.07192541360855102,0.016632016632016612
507,0.5071325061685,0.0001639990325,4,291,0.07339651882648468,0.021344421344421338
63,0.1525805406835,0.0005901249311,3,74,0.07312341630458832,0.014137214137214138
526,0.1558490208903,0.0010597119829,3,71,0.0736273318529129,0.017740817740817705
571,0.1632290921883,0.0403526510329,1,155,0.07473043203353882,0.02079002079002077
946,0.240475409915,0.0535361448362,3,68,0.07347312271595001,0.02079002079002079
45,0.025892842149,0.0064701372435,2,138,0.07283816635608673,0.017186417186417204
578,0.466940713799,0.0069166965864,5,247,0.07279727756977081,0.014553014553014543
506,0.2774871972287,0.000458934893,1,239,0.0726484477519989,0.022453222453222454
799,0.0490666417774,0.000188798116,1,231,0.06262509524822235,0.03936243936243937
83,0.9431689307954,0.0005462678091,3,381,0.07291330695152283,0.016493416493416513
962,0.1658029844256,0.0009078367561,5,387,0.07255743145942688,0.013998613998613995
633,0.4527774250837,0.0005033519202,3,444,0.07112911641597748,0.014414414414414423
632,0.2859097380484,0.0213235547463,3,145,0.07360826134681701,0.016354816354816372
681,0.9252130831835,0.000225824127,2,160,0.07087824642658233,0.03617463617463616
442,0.5011312487499,0.0005315224917,1,162,0.0734596610069275,0.024809424809424784
363,0.5999613374055,0.0005315224917,5,119,0.07300821840763091,0.017602217602217585
387,0.9695009910679,0.0407226893036,1,860,0.069461390376091,0.06070686070686071
917,0.2528729324812,0.0002112474838,2,84,0.022062450647354126,0.05169785169785168
683,0.4302554532778,0.0069425824515,4,336,0.0728373497724533,0.01787941787941789
869,0.3577941791914,0.0001144897283,1,85,0.012813898921012878,0.05738045738045736
219,0.1326945416802,0.0055501982149,1,497,0.07299246788024902,0.01718641718641718
33,0.8406280162015,0.0043216314201,1,925,0.07359932661056519,0.01801801801801801
39,0.568414398817,0.0066942051347,1,262,0.07080477476119995,0.016909216909216894
959,0.0099039525899,0.0001330037572,5,856,0.07154701054096221,0.01995841995841994
156,0.5126786491203,0.0053294934748,3,134,0.07233564257621765,0.01704781704781704
84,0.0464184110839,0.0013352212676,1,68,0.07301395237445832,0.013998613998613973
193,0.6825317392541,0.0012800826778,5,78,0.07228180766105652,0.014553014553014543
59,0.0982368328669,0.0062053850896,1,81,0.07276584208011627,0.014414414414414378
44,0.0105993407731,0.0059496031762,5,116,0.07200935781002045,0.027304227304227303
61,0.4695952651957,0.0024192530494,5,136,0.07223200798034668,0.015523215523215516
431,0.0822383740424,0.0075073454367,3,156,0.07410779297351837,0.01718641718641718
259,0.6182439422905,0.0005315224917,5,90,0.07419583797454835,0.013860013860013832
103,0.2833626254686,0.0005003261748,1,490,0.07195331752300263,0.013028413028413021
37,0.5840919399451,0.0001459429644,1,355,0.07168451249599457,0.01275121275121276
441,0.1020683828299,0.0037946946911,5,771,0.07246124148368835,0.014691614691614684
132,0.8645510243583,0.0065231774625,3,69,0.07139629721641541,0.016354816354816348
222,0.3163643900406,0.0077402548612,5,64,0.07215978503227234,0.017602217602217606
274,0.8391282420355,0.0007788324639,1,627,0.07195224165916443,0.011919611919611906
118,0.0095926156531,0.0001209499004,4,489,0.07140519917011261,0.015246015246015232
725,0.4495361860686,0.0001828620707,3,74,0.021511706709861755,0.047124047124047094
142,0.3018269311536,0.0013615516581,1,156,0.07121746838092805,0.014414414414414378
48,0.8393505362879,0.000335227891,2,278,0.07356230318546295,0.013582813582813569
456,0.2025097518032,0.000165906658,5,371,0.07202231287956237,0.01995841995841996
52,0.1777602005584,0.0071062444482,1,245,0.07056768238544464,0.01981981981981982
387,0.8469855847131,0.0159663538365,1,871,0.0739043265581131,0.029244629244629228
544,0.7637452690801,0.0189128877645,4,173,0.0728673666715622,0.018156618156618155
78,0.1333517870819,0.0379151435743,1,376,0.07389325201511383,0.038253638253638256
858,0.5295439381285,0.0008570201388,2,874,0.0726511687040329,0.01580041580041578
514,0.9751001598295,0.0023139794505,4,290,0.0723977267742157,0.016770616770616774
181,0.1042301237216,0.0056294156898,4,184,0.07182581722736359,0.018295218295218296
852,0.1477343378818,0.0001720754894,1,578,0.07177937626838685,0.033957033957033936
287,0.0042305286159,0.0003825520686,4,280,0.07248546183109283,0.01566181566181566
38,0.4950446899782,0.0006069868363,4,75,0.07252463102340698,0.015246015246015232
713,0.4736068584881,0.0484101532431,1,65,0.07160915434360504,0.013721413721413733
46,0.2266582964608,0.0008993767961,2,481,0.07227990329265595,0.016354816354816327
876,0.3843229233274,0.0312081445008,2,98,0.0732365757226944,0.01718641718641718
102,0.0243599966944,0.0034664159679,2,142,0.07375339865684509,0.018156618156618155
145,0.5126786491203,0.0036689786017,4,86,0.07233703136444092,0.018849618849618843
884,0.0240476070589,0.0001244318996,5,523,0.07425489127635956,0.02480942480942481
267,0.2227488758416,0.0133378701537,2,69,0.07211073637008666,0.0144144144144144
276,0.1850431063149,0.0050170483991,3,101,0.07346120774745941,0.016216216216216207
852,0.2554158173882,0.0001859212949,3,65,0.011699476838111877,0.06112266112266111
66,0.0453077602809,0.0038705299809,2,173,0.07170172333717346,0.016216216216216228
313,0.4943773457039,0.0025848473367,3,885,0.07305455207824707,0.018988218988218963
74,0.0927269727559,0.0011079056334,1,465,0.07132767736911774,0.014968814968814947
460,0.2886737918534,0.011874222675,2,145,0.07351839244365692,0.014553014553014543
139,0.9695009910679,0.0457859391684,1,408,0.07889512777328492,0.03645183645183645
776,0.1506642600813,0.00253628593,2,529,0.07220176160335541,0.012751212751212737
330,0.9821690174032,0.0229054208914,4,64,0.07236945629119873,0.016632016632016633
542,0.3884680740375,0.0047964066063,4,599,0.07208234071731567,0.01704781704781706
671,0.477805553039,0.0001000439302,1,742,0.07115320265293121,0.032986832986832984
307,0.3966296496465,0.0065078037431,2,550,0.07212794125080109,0.01718641718641716
67,0.1238591984675,0.0008622153901,5,450,0.074027881026268,0.014830214830214827
49,0.0688601702784,0.0003239179582,3,237,0.07294987142086029,0.015246015246015255
793,0.2500518198771,0.0072989042556,4,564,0.07076457440853119,0.015246015246015232
776,0.3086653060848,0.0004287369379,1,84,0.05766947269439697,0.042827442827442795
915,0.2951589262888,0.0066119680367,4,325,0.07348973453044891,0.014691614691614684
831,0.9121447002385,0.0258958220048,2,86,0.07061736583709717,0.01580041580041578
976,0.3603359633198,0.0163222644592,1,278,0.07226714193820953,0.013998613998613973
493,0.6414907887986,0.0751665791976,1,235,0.07783157527446746,0.03492723492723493
454,0.1246000775699,0.0038598459083,4,160,0.0724964588880539,0.018988218988218987
137,0.6329745326815,0.0016575807729,4,351,0.07266769111156464,0.014553014553014543
50,0.740179719234,0.0059510273029,4,165,0.07219196856021881,0.01995841995841994
41,0.2084059817426,0.0013291369141,3,74,0.06993839144706726,0.015246015246015232
64,0.5561857015528,0.0035434237772,5,71,0.07158385515213013,0.015384615384615396
498,0.6579712863223,0.00944846031,4,146,0.07302038371562958,0.017740817740817726
60,0.9268347430002,0.0039761620925,3,69,0.07135355472564697,0.013305613305613306
317,0.5774632610946,0.0004289380476,2,90,0.0737447202205658,0.023839223839223832
451,0.1924494999061,0.0213235547463,5,88,0.07365414202213287,0.01940401940401939
160,0.4670716943235,0.0028172952438,5,556,0.07400217354297638,0.01566181566181566
546,0.328880259391,0.0012850548044,1,166,0.07278881967067719,0.014137214137214138
805,0.3334198233134,0.0012575315579,3,213,0.07089962065219879,0.014553014553014564
404,0.9522543525878,0.0620108034853,5,69,0.07370161414146423,0.02716562716562716
364,0.2034449398154,0.0042526599584,2,495,0.07270050048828125,0.015246015246015232
733,0.1597686694848,0.031534156064,2,249,0.05984972715377808,0.1279279279279279
296,0.3073615378608,0.0006343167147,1,541,0.0718803882598877,0.012474012474012475
846,0.3837065982754,0.0407496905524,2,81,0.0727868527173996,0.018433818433818416
68,0.4765783643147,0.0022563929374,4,619,0.0716436266899109,0.01954261954261951
103,0.2461385129023,0.0001337143277,1,315,0.07350349724292755,0.017602217602217585
473,0.9899025879147,0.0001115728064,5,248,0.07185368537902832,0.028413028413028417
803,0.6304196192746,0.0013917449989,3,500,0.07199762463569641,0.01496881496881497
64,0.0584250613346,0.0272922998449,2,229,0.06979823708534241,0.032986832986832984
948,0.5201064105195,0.0644814831068,1,76,0.07465555965900421,0.021760221760221764
52,0.1224029330303,0.008250906644,2,135,0.07272570133209229,0.016909216909216918
791,0.8335977075286,0.0032926830009,3,494,0.07319401502609253,0.014137214137214115
38,0.5819568111468,0.0002132918471,1,249,0.07315879762172699,0.013998613998613973
754,0.2698123628689,0.0066119680367,1,173,0.07148929238319397,0.016077616077616062
668,0.8470592534302,0.0006430637512,2,141,0.07340324521064759,0.02065142065142067
386,0.6863903558802,0.0008170013725,1,93,0.07340249419212341,0.02785862785862785
222,0.3646827688118,0.0162151725013,4,81,0.07138337790966034,0.018849618849618843
828,0.6994291661053,0.0048399368793,2,417,0.07362454235553742,0.013444213444213449
845,0.5639110820217,0.0014623104992,5,463,0.07238140106201171,0.014691614691614684
542,0.4027838092624,0.001307904062,2,561,0.07166633009910583,0.012751212751212737
212,0.5286350730685,0.0071310853992,4,161,0.07428947687149048,0.016909216909216918
190,0.5933051286032,0.0003288523716,3,73,0.07260355353355408,0.017740817740817726
93,0.5720078172236,0.000164626935,3,200,0.07288986444473267,0.015107415107415112
48,0.4541612209449,0.0019654478707,2,72,0.07227237820625305,0.01496881496881497
912,0.6501855402958,0.0001602316999,1,182,0.04753499031066895,0.04074844074844075
642,0.3218750954514,0.0083602316064,5,264,0.07268750667572021,0.015246015246015232
221,0.5098011891873,0.018540436892,1,105,0.07299682199954986,0.018295218295218296
457,0.4042878294431,0.0008100329996,1,108,0.07294885218143463,0.024393624393624358
460,0.2902332847431,0.0010597119829,4,71,0.07266120314598083,0.017325017325017324
686,0.3967036195568,0.0407496905524,3,74,0.07232740819454193,0.016354816354816348
46,0.5442420143571,0.0041065218421,2,626,0.07345108985900879,0.016216216216216207
69,0.0571109552735,0.0013352212676,3,64,0.07167688906192779,0.014553014553014543
534,0.278817431718,0.054738169918,3,93,0.07591813802719116,0.02799722799722799
85,0.5498388846059,0.0279389198285,4,74,0.07208892405033111,0.028551628551628537
416,0.4083321161572,0.0032544993566,4,113,0.07180289626121521,0.016077616077616062
51,0.1388957563608,0.000366593903,2,65,0.0717630535364151,0.014830214830214827
438,0.561111631904,0.0006101854537,4,288,0.07315963506698608,0.014414414414414423
703,0.6124061564869,0.0035069436309,5,329,0.07363703250885009,0.014968814968814947
710,0.3471934695898,0.0001420616796,2,75,0.014560896158218383,0.059043659043659026
131,0.3877559393645,0.0004915697162,2,112,0.07192403972148895,0.012612612612612617
437,0.7574403115985,0.0087990083065,3,97,0.07329107224941253,0.015384615384615375
63,0.2336341509155,0.0004226593644,4,74,0.07155476212501526,0.014553014553014543
49,0.6806976718747,0.0069988860332,4,128,0.07207629084587097,0.023007623007623025
455,0.8495232198256,0.0095403809884,2,110,0.07297343611717225,0.016354816354816372
50,0.1519592189992,0.0155866756906,1,330,0.0713896781206131,0.018433818433818416
32,0.6276940584115,0.0001745200849,2,66,0.0727497011423111,0.014553014553014543
51,0.4978130092022,0.0006479136368,3,168,0.07166177034378052,0.015384615384615396
344,0.8248795737402,0.0002610219568,3,407,0.07193853557109833,0.015384615384615375
641,0.280073581512,0.0016486629264,3,530,0.07345323264598846,0.012058212058212048
111,0.3255187079453,0.002088036926,2,492,0.07192436158657074,0.014830214830214827
70,0.1630554128522,0.0003439187365,5,176,0.07265535593032837,0.015246015246015255
961,0.417971716796,0.0002595916085,4,334,0.07357460856437684,0.022730422730422715
780,0.7083343086535,0.0326606169,2,105,0.07250012159347534,0.015107415107415112
442,0.5201046118183,0.0001811518715,5,102,0.07344699501991273,0.037006237006236994
816,0.1006982395772,0.0001623275114,1,419,0.06995382905006409,0.03229383229383227
60,0.1914094420551,0.0004606071383,3,69,0.07377768158912659,0.013444213444213449
753,0.2435795480092,0.0004095912949,4,722,0.07342143058776855,0.013998613998613995
704,0.144880579601,0.0002366997783,4,328,0.07391479909420014,0.0187110187110187
102,0.1894695080254,0.0026068828701,4,101,0.07289549112319946,0.015246015246015255
547,0.4239860884209,0.0001356935227,2,149,0.06258310079574585,0.03548163548163548
86,0.0045154409777,0.0030138194765,2,199,0.07473828494548798,0.017602217602217585
376,0.1582188227815,0.0045780134808,5,524,0.07114285528659821,0.016770616770616753
51,0.9108112310834,0.0001277308521,2,341,0.07303765714168549,0.013444213444213449
765,0.1783089366069,0.0005607461675,3,336,0.07154640257358551,0.014830214830214827
782,0.4208203917144,0.0344213993223,1,98,0.07240566611289978,0.01510741510741509
363,0.2913048958122,0.0115743270024,5,69,0.0736086905002594,0.018295218295218296
387,0.4808552083858,0.0139608160385,5,205,0.07173557579517365,0.01593901593901592
465,0.6264949327585,0.0081532443273,4,208,0.07330271899700165,0.018711018711018722
843,0.2755907586144,0.0014261932923,2,310,0.072212353348732,0.0115038115038115
534,0.3886122845379,0.0011270176996,1,644,0.0735399067401886,0.013028413028413
32,0.0555308977991,0.0009211259258,3,260,0.0717084527015686,0.013998613998613995
178,0.7361547279816,0.0002666736091,3,134,0.07200950384140015,0.016354816354816348
540,0.1126117643449,0.0042339443161,4,461,0.07258194983005524,0.015384615384615375
237,0.9976105432415,0.0001410508481,1,216,0.07171111404895783,0.033818433818433816
334,0.6608835092183,0.0007244468698,3,86,0.07274251878261566,0.014691614691614684
50,0.3539514749546,0.0001473504196,4,737,0.07191156148910523,0.014830214830214804
39,0.0434074217682,0.0050831004951,3,206,0.07427777647972107,0.017463617463617444
63,0.1011284741403,0.0057869377883,1,78,0.07320795059204102,0.016770616770616753
758,0.1773664279903,0.0002236086227,1,408,0.07242920994758606,0.03367983367983367
176,0.8080018143185,0.0016972267439,2,87,0.07154586911201477,0.014830214830214827
55,0.0245481552275,0.0038124057677,3,115,0.0727871298789978,0.015939015939015966
384,0.8210957953613,0.0003022091502,4,75,0.07388243973255157,0.032848232848232815
58,0.486513851508,0.000972353582,2,114,0.07336156368255616,0.014830214830214827
463,0.0886199292692,0.0028951068882,3,374,0.07268186211585999,0.015523215523215495
