batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,demographic_parity
32,0.9677650641923,0.0307782319341,5,508,0.24080952628856825,0.0
364,0.2034449398154,0.0042526599584,2,495,0.14858265891200023,0.10318007439374924
55,0.4607248790416,0.0424797043254,1,405,0.1969239700527126,0.04663205459713936
38,0.1103987353654,0.0422962879888,1,482,0.22760313808218005,0.006757396459579468
50,0.0465526642369,0.0426039203359,1,578,0.21805229080678182,0.023521188348531723
55,0.1256963573092,0.0417753696072,1,481,0.21083409631313824,0.03555434331297875
55,0.1489130969619,0.0419367660887,1,485,0.1869425390383474,0.057851315736770624
74,0.3734291389852,0.0497352923934,1,257,0.17075604036681882,0.07976788759231568
371,0.6837517119039,0.0120620244448,2,573,0.17717585996029112,0.06896496653556825
48,0.4012060396166,0.0439032605015,1,101,0.1574885807670239,0.09091666534543037
