batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,demographic_parity,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.09728931993246079,0.15239091840888247
979,0.3596079321578,0.0535361448362,4,65,0.10010637044906616,0.15091670278796027
652,0.7642785040662,0.0014379647071,3,136,0.10810605570673941,0.15475565595326074
94,0.005704017356,0.0050831004951,3,339,0.11279888570308685,0.16203420507312724
241,0.9708397453651,0.0329667406801,4,407,0.0,0.34388077935982125
32,0.9677650641923,0.0307782319341,5,508,0.0,0.24080952628856825
43,0.9527113146852,0.0363654061078,4,538,0.0,0.24080952628856825
39,0.9960100752812,0.0532500557675,4,516,0.0,0.24080952628856825
49,0.9466909909664,0.0199374629655,2,660,0.0,0.24080952628856825
75,0.935386901189,0.0225818972335,2,551,0.0,0.5536007931217511
92,0.9494453836226,0.0318110398874,3,769,0.0,0.34388077935982125
32,0.9801200189736,0.019191045913,4,772,0.0,0.3472591577381997
65,0.9684589038808,0.0264857735575,2,558,0.0,0.34388077935982125
51,0.7733330761457,0.0455211178975,1,521,0.023947407007217408,0.23638692186596377
49,0.7649614709836,0.0472417438994,2,472,0.0,0.4471511616721197
49,0.7588964450115,0.0444873293687,3,480,0.0,0.24080952628856825
46,0.5417478724123,0.0350019200336,3,401,0.0,0.24080952628856825
45,0.7622862722392,0.033992031127,2,345,0.0,0.4471511616721197
33,0.7386850105124,0.0300975683353,3,349,0.0,0.3423451528241948
277,0.0788153739624,0.0011246047718,1,788,0.1095593437552452,0.1489819501047046
895,0.7897473442105,0.011623077444,1,411,0.08965757220983504,0.15951599447108428
597,0.4199483890762,0.0062957704128,3,1002,0.0,0.24080952628856825
40,0.9966930828468,0.0483625154195,5,408,0.0,0.24080952628856825
41,0.982490763303,0.0421836720761,5,387,0.0,0.34486358034262227
32,0.9924574799877,0.0451192271907,5,403,0.0,0.24080952628856825
43,0.9961379890761,0.0598087967884,5,404,0.0,0.34486358034262227
35,0.9848164908286,0.0648069777593,5,391,0.0,0.24080952628856825
45,0.7460741987762,0.0413599965882,5,482,0.0,0.24080952628856825
33,0.6656627342036,0.0506534208613,5,481,0.0,0.24080952628856825
497,0.4323787825414,0.0004186695981,1,866,0.09640174433588983,0.1521759024004533
43,0.7316030778422,0.0506534208613,3,399,0.0,0.24080952628856825
242,0.5897873412338,0.0912677296139,2,140,0.0,0.24080952628856825
36,0.9711390338096,0.0483625154195,1,408,0.014211934357881545,0.34388077935982125
39,0.9453165967317,0.0397731180012,2,532,0.0,0.4481339626549207
37,0.9125590548704,0.047461404721,1,508,0.009363215565681458,0.44535574475694234
46,0.5059739433103,0.0493624425743,5,709,0.0,0.24080952628856825
35,0.9960100752812,0.0308060320686,4,516,0.0,0.24080952628856825
54,0.4738308728157,0.073562653801,1,959,0.0,0.24080952628856825
51,0.538899871238,0.0448039701897,1,535,0.0,0.3440799086008667
203,0.836270266563,0.0026409543209,5,612,0.10591763868927957,0.16028401050856142
51,0.0998182798196,0.0422522957558,1,517,0.01673878073692322,0.22935375233279426
46,0.5124337955222,0.0655784979959,1,496,0.0,0.24080952628856825
51,0.4574405812745,0.0871804570987,1,480,0.0,0.24080952628856825
46,0.2182443114422,0.0726628272773,1,485,0.0,0.24080952628856825
51,0.5106141451277,0.001845514725,1,926,0.097676512748003,0.1543257889814776
53,0.0590267812416,0.0427256988886,1,517,0.0,0.24080952628856825
56,0.0666152996098,0.041719099603,1,500,0.042367797493934635,0.20251365535796673
55,0.1489130969619,0.0426903166793,1,485,0.01314565971493721,0.22754375014854059
539,0.4096195582972,0.0014614146338,2,269,0.10169142618775369,0.1512239318377043
56,0.0864857122441,0.0426066839637,1,480,0.03776906728744507,0.2066598234262905
47,0.1087967801828,0.0412075048179,1,478,0.07820395484566689,0.17299856439077996
46,0.130344015119,0.0767045536665,1,475,0.0,0.24080952628856825
582,0.0387496336331,0.0003356147463,1,83,0.1048672653734684,0.14938112812364313
55,0.2950434291009,0.0426903166793,1,485,0.03558986574411392,0.21393606191510384
55,0.3962824031086,0.0427256988886,1,494,0.03462874084711075,0.21449007107689746
55,0.4607248790416,0.0424797043254,1,405,0.04663205459713936,0.1969239700527126
55,0.3281975087779,0.0434933041537,1,402,0.04098581299185753,0.20297168845073038
55,0.4380461622747,0.0427123760248,1,400,0.08581409394741057,0.1715862501042142
526,0.1558490208903,0.0010597119829,3,71,0.10111742570996285,0.15853344341368297
55,0.4731951251431,0.0645567091668,1,77,0.08735500916838645,0.16876061239833695
900,0.4300912433377,0.0152683361273,5,574,0.0,0.24080952628856825
33,0.0887045901121,0.0431603588,3,498,0.0,0.24080952628856825
51,0.0087262915074,0.0204590674712,1,507,0.1031591895222664,0.15312784466976084
539,0.1611240376385,0.0462660048847,5,510,0.0,0.24080952628856825
780,0.1150628225709,0.0861999396709,5,533,0.0,0.24080952628856825
921,0.0402320288874,0.0695202977577,2,410,0.0,0.24080952628856825
217,0.6966025769503,0.0609459009151,5,409,0.0,0.24080952628856825
935,0.1164736208486,0.0799660327851,1,512,0.0,0.24080952628856825
435,0.6182493089424,0.0313142741224,3,206,0.07338394924998284,0.18217930515834707
193,0.4888227212062,0.0678987026873,5,198,0.0,0.24080952628856825
49,0.4200745663301,0.013404550391,4,517,0.0,0.34486358034262227
318,0.0570097977799,0.0932363093369,2,987,0.0,0.24080952628856825
962,0.1658029844256,0.0009078367561,5,387,0.10560316741466522,0.15103954347966325
401,0.0163195846612,0.0754962583251,2,988,0.0,0.24080952628856825
632,0.2859097380484,0.0213235547463,3,145,0.10132323205471039,0.1495040301178026
712,0.1555669545304,0.0836831515442,3,946,0.0,0.24080952628856825
680,0.2653516573696,0.0566942436038,3,952,0.0,0.24080952628856825
54,0.143912865255,0.0426903166793,1,485,0.002265782058238983,0.23635620933525123
485,0.0807629380224,0.0419625163639,3,481,0.0,0.24080952628856825
368,0.0717626876608,0.0423775275773,4,481,0.0,0.24080952628856825
917,0.2528729324812,0.0002112474838,2,84,0.10070004522800446,0.15386510573636322
50,0.0906715335997,0.0423573328234,1,578,0.00904686912894249,0.2295397581325725
869,0.3577941791914,0.0001144897283,1,85,0.0909318286180496,0.16879052328154123
53,0.0423209325121,0.0429423697883,2,492,0.0,0.24080952628856825
603,0.7481965207707,0.050363997522,2,431,0.0,0.24080952628856825
50,0.1665556998403,0.0423573328234,1,578,0.03424806833267212,0.22677389975294168
40,0.1489130969619,0.0426903166793,1,485,0.018387176990509034,0.2260675115465535
959,0.0099039525899,0.0001330037572,5,856,0.10968437805771829,0.1778199507241423
40,0.1592910224011,0.0426903166793,1,485,0.04790947899222374,0.20364804316900126
271,0.1834095050947,0.0423314224693,1,622,0.0,0.24080952628856825
54,0.1871098175344,0.0422522957558,1,517,0.018201601803302762,0.2249925729716149
307,0.153243957004,0.0467589642711,1,533,0.0,0.24080952628856825
501,0.4344636044526,0.0343406853747,4,551,0.0,0.24080952628856825
55,0.1376648886307,0.0426903166793,1,485,0.021236965358257292,0.22594466142370334
296,0.1474066872497,0.0422004804118,2,615,0.0,0.24080952628856825
327,0.145952431079,0.0421729594797,1,617,0.0,0.24080952628856825
182,0.1463739264896,0.0421274472943,1,585,0.0,0.24080952628856825
355,0.9137569290511,0.034912055568,1,196,0.06196357920765877,0.22600644015314675
177,0.1480319706096,0.0419625163639,1,481,0.0,0.24080952628856825
196,0.1459540051263,0.0424374538272,1,645,0.0,0.24080952628856825
103,0.2833626254686,0.0005003261748,1,490,0.10710729464888571,0.15005689339521672
792,0.0234946755518,0.0519813930348,2,160,0.07923644274473189,0.16965142668735483
441,0.1020683828299,0.0037946946911,5,771,0.10543467402458191,0.15100876021534704
79,0.0277181775135,0.0538667537362,2,301,0.0,0.24080952628856825
105,0.5175676044407,0.0804624104669,2,720,0.0,0.24080952628856825
607,0.1158950551903,0.0366469708296,5,657,0.0,0.24080952628856825
275,0.1469273134814,0.0386717298605,4,635,0.0,0.24080952628856825
322,0.0155769817095,0.0380783297579,5,712,0.0,0.24080952628856825
154,0.062022547623,0.0378315673727,5,619,0.0,0.24080952628856825
66,0.0134507003123,0.0564158860171,4,690,0.0,0.24080952628856825
189,0.011222912074,0.0402906078475,5,685,0.0,0.24080952628856825
232,0.0137251052968,0.0615655686304,1,644,0.0,0.24080952628856825
479,0.7543983351689,0.0132519289699,3,580,0.0,0.24080952628856825
653,0.1344973078961,0.0073498559127,3,635,0.10444070994853974,0.15211452921033758
494,0.6976557244947,0.0120620244448,3,573,0.015121922791004183,0.2260675115465535
479,0.3210187643718,0.0088237671998,3,583,0.09692973867058755,0.1497498199594008
564,0.3249606387605,0.0121567118194,3,768,0.0,0.24080952628856825
55,0.1167215300749,0.0421456873657,1,486,0.019698895961046216,0.22345694643598835
55,0.1502956391953,0.0357374423141,1,485,0.09514452084898947,0.15976193992661059
55,0.1496475336566,0.0350698261103,1,485,0.06106327533721924,0.18672475970380165
55,0.1489130969619,0.0419367660887,1,485,0.057851315736770624,0.1869425390383474
44,0.1485382219498,0.0423573328234,1,482,0.02076301887631416,0.22398164359242206
41,0.1501116773836,0.0419117649274,1,485,0.055066726803779595,0.1941592009705782
55,0.1341478013024,0.0359708633009,1,486,0.07522441834211349,0.1750565633050663
193,0.6488297266471,0.0119766202163,1,572,0.10202413812279702,0.16181976436467455
54,0.1448538110384,0.0426903166793,2,485,0.0,0.24080952628856825
54,0.1413919539857,0.0631818218855,1,481,0.005260440409183503,0.2360797965588385
527,0.3249602053197,0.0131648874602,4,700,0.0,0.24080952628856825
500,0.6493353027524,0.0186107880865,2,609,0.0,0.24080952628856825
61,0.252357803837,0.0813440046483,3,286,0.0,0.24080952628856825
63,0.0984869236681,0.0914468898926,3,281,0.0,0.24080952628856825
725,0.5275737085407,0.0962149393336,3,78,0.0075207167863845835,0.23359208157112352
60,0.3146502769892,0.0715783947333,3,300,0.0,0.24080952628856825
371,0.6837517119039,0.0120620244448,2,573,0.06896496653556825,0.17717585996029112
379,0.7129416977855,0.0120212943694,2,582,0.07192140847444535,0.17665368092014797
266,0.5030545781576,0.0120536060522,2,566,0.09703401520848273,0.152053132442354
272,0.537159332082,0.0121191878056,3,566,0.0,0.24080952628856825
313,0.4943773457039,0.0025848473367,3,885,0.1089072911441326,0.1525136977981289
491,0.451349822152,0.0121018893948,2,573,0.09532839506864547,0.150978198582989
366,0.7042136163475,0.0120609024732,3,556,0.015833238363265993,0.22904843309034922
63,0.7259497655176,0.0120931825681,3,596,0.03325680747628212,0.21117435795579512
263,0.1057892569248,0.0375250603375,2,715,0.0,0.24080952628856825
114,0.0925026096982,0.0511428944774,2,712,0.0,0.24080952628856825
643,0.1487719019081,0.0464396289082,2,665,0.0,0.24080952628856825
146,0.2026272193251,0.046823915006,2,746,0.0,0.24080952628856825
394,0.0826442992729,0.0343811773359,2,739,0.0,0.24080952628856825
501,0.1300704291883,0.0437173706563,2,729,0.0,0.24080952628856825
120,0.1063813085872,0.0429009795504,2,718,0.0,0.24080952628856825
155,0.3002151303858,0.0362540189246,3,593,0.0,0.24080952628856825
55,0.1460486665275,0.0421456873657,1,394,0.09432729810476302,0.15592266138673325
55,0.1369089583721,0.0419743590323,1,248,0.09167422503232955,0.15107032674397944
793,0.2500518198771,0.0072989042556,4,564,0.1023061029613018,0.1506711581561881
55,0.1385714263916,0.0419938160074,1,254,0.09049230664968491,0.16627290212619555
55,0.1407274010374,0.042110117372,1,261,0.09913833484053612,0.15555410630260927
55,0.147872778655,0.0422522957558,1,389,0.0945571157336235,0.1598232470986962
915,0.2951589262888,0.0066119680367,4,325,0.10578771933913231,0.15103968494687056
38,0.1939218285855,0.0420864551627,1,487,0.022252842187881473,0.2179296576003163
976,0.3603359633198,0.0163222644592,1,278,0.1010805357992649,0.15589178852651908
38,0.1557264562953,0.0420474767095,1,487,0.059463928043842304,0.18556045629398923
454,0.1246000775699,0.0038598459083,4,160,0.10363589003682136,0.16753230922392598
38,0.1497485375228,0.0421456873657,1,486,0.056510954946279536,0.2924702852846566
35,0.3981662047456,0.0420683611181,1,564,0.0,0.24080952628856825
33,0.3773489707749,0.042109392596,1,552,0.0010319852828979494,0.346122794101836
38,0.1496785025803,0.042166734898,1,485,0.054621388614177716,0.1976891331681751
498,0.6579712863223,0.00944846031,4,146,0.09867835357785225,0.1539572008883386
387,0.6976557244947,0.0120620244448,5,573,0.0,0.24080952628856825
55,0.1489130969619,0.0426903166793,1,488,0.07250638127326965,0.19062525110429301
55,0.1490411941464,0.0426903166793,1,485,0.03736521199345589,0.20668790466694661
50,0.1488844254147,0.0422522957558,1,517,0.0507194919884205,0.19031812579716773
54,0.1499422785783,0.0422522957558,1,517,0.0,0.24080952628856825
809,0.696662028454,0.0171206173747,4,542,0.0,0.24080952628856825
188,0.2461939552216,0.0409216311654,2,474,0.0,0.24080952628856825
650,0.6982552886365,0.0148012745515,3,518,0.0,0.24080952628856825
44,0.0298107892677,0.0375571833734,1,400,0.0924881190061569,0.16777773125078516
805,0.3334198233134,0.0012575315579,3,213,0.10087639108300209,0.14941193025025362
208,0.0135702884277,0.0368419376021,1,406,0.0976651042699814,0.15303577781122693
364,0.2034449398154,0.0042526599584,2,495,0.10318007439374924,0.14858265891200023
733,0.1597686694848,0.031534156064,2,249,0.10235999226570129,0.150855324882271
296,0.3073615378608,0.0006343167147,1,541,0.10119494169950487,0.14913534771319198
875,0.0103572194197,0.0372619153244,1,406,0.10560643836855887,0.16016082557998726
45,0.0769786197469,0.0376545734559,1,321,0.09516644567251205,0.15064038903859261
55,0.1066773374928,0.0421456873657,1,486,0.015851312875747682,0.22259979191116916
54,0.1871098175344,0.0422522957558,5,517,0.0,0.24080952628856825
621,0.2078800181557,0.0984325826781,3,277,0.0,0.24080952628856825
803,0.6304196192746,0.0013917449989,3,500,0.10165025427937509,0.15193031532851892
44,0.1486237111705,0.0423573328234,1,481,0.019564260840415956,0.21713291428860293
43,0.1489130969619,0.0426903166793,1,485,0.01886768326163292,0.22235129533033726
44,0.1489130969619,0.0425458881175,1,485,0.030509277582168582,0.23030584078488273
44,0.1487049140568,0.0423902437815,1,485,0.035342248827219,0.208072543252184
39,0.1486237111705,0.0423573328234,1,481,0.061420999467372894,0.196583482062524
34,0.1471033333557,0.0423616267736,2,413,0.0,0.34486358034262227
38,0.1472267297445,0.0423573328234,1,482,0.018130969405174256,0.22290471032986003
32,0.0279026015485,0.042200619051,2,429,0.0,0.24080952628856825
44,0.1479389877116,0.0421456873657,1,486,0.02624581605195999,0.22318067984235648
42,0.0803489674239,0.042134919062,1,485,0.044294738620519636,0.20782426830331024
42,0.0091259055687,0.0426066839637,1,480,0.05596759587526321,0.29928900939379977
222,0.3646827688118,0.0162151725013,4,81,0.09892321974039077,0.15159243976609246
38,0.1103987353654,0.0422962879888,1,482,0.006757396459579468,0.22760313808218005
38,0.1102716036199,0.0423542344473,1,485,0.06354142725467682,0.20837767858725945
56,0.1066773374928,0.0421456873657,1,486,0.060187759846448904,0.18589820925150263
56,0.0822019757632,0.0421456873657,2,486,0.0,0.24080952628856825
42,0.1060543889631,0.0423573328234,1,486,0.030661742985248562,0.21617807665711863
1022,0.2594121754683,0.0925450324862,3,1007,0.0,0.24080952628856825
57,0.0492685205063,0.0422522957558,2,479,0.0,0.24080952628856825
39,0.1489130969619,0.0429127678297,2,485,0.0,0.24080952628856825
44,0.1392740569503,0.0423573328234,1,481,0.03276048332452774,0.2115430262136849
43,0.2987652236247,0.0422391075863,1,474,0.06247305080294609,0.18933553229960415
912,0.6501855402958,0.0001602316999,1,182,0.08903626978397369,0.16611896694232023
642,0.3218750954514,0.0083602316064,5,264,0.09919695377349852,0.1498111507093543
221,0.5098011891873,0.018540436892,1,105,0.09207563787698744,0.15472507074303482
44,0.1415355616415,0.0422522957558,1,421,0.04792712673544884,0.20134392432296622
43,0.1097640752284,0.0426903166793,1,422,0.04938900619745255,0.2006690314325045
43,0.122665011511,0.0426903166793,1,434,0.09272818088531493,0.16578026615451766
281,0.6962788023277,0.0120212943694,2,499,0.09106223687529563,0.16154306393827353
277,0.7035661957211,0.0120188638585,2,497,0.0916327890753746,0.16636448328065093
33,0.1219443642568,0.0371747592429,1,486,0.09969216734170915,0.1547557266868644
695,0.6629614747735,0.0120065929567,4,575,0.0,0.24080952628856825
33,0.1321491290094,0.0380903847643,1,478,0.05982883945107459,0.18715715422302248
637,0.6218435051405,0.0392186381003,1,555,0.05209664776921273,0.1994090348880768
640,0.6754439802223,0.0120279942903,4,66,0.09580923214554786,0.15721279987747053
854,0.3210326393832,0.0120207654616,4,164,0.10072853878140449,0.1499339631076158
41,0.1486237111705,0.0423573328234,1,481,0.037993760108947755,0.20561559266649088
36,0.1469402741529,0.0423573328234,1,482,0.018977551758289336,0.23027512825417018
36,0.1472267297445,0.0426149209848,1,482,0.0430193692445755,0.21175756594918269
55,0.1466234131714,0.0421456873657,1,486,0.06387030079960823,0.18574195872100066
37,0.1465526722918,0.0565909378971,1,482,0.005619954168796539,0.23512770810675004
55,0.1243228184332,0.0421456873657,1,486,0.0357473799586296,0.2064139109797792
36,0.1467371169033,0.0457789681311,1,485,0.02103186622262001,0.2245011724802144
437,0.7574403115985,0.0087990083065,3,97,0.09584540471434594,0.16059093304602284
55,0.3734291389852,0.0434933041537,1,402,0.07702013239264488,0.1729962584753004
55,0.1535945266003,0.0432935135176,1,402,0.08757048755884171,0.1665796313251403
55,0.3162734473485,0.0434486854592,1,403,0.09363641247153283,0.164122850500096
56,0.0864073938715,0.0426066839637,1,480,0.06305845707654953,0.20026898574802762
55,0.3644047108308,0.0433175053445,1,419,0.09442588821053505,0.17164724604844367
41,0.1486237111705,0.0423573328234,1,422,0.07345977753400804,0.17960195183249075
41,0.0909460625327,0.0423573328234,1,401,0.08440169185400008,0.17308886290922218
56,0.0877611205276,0.0426903166793,1,404,0.08319111257791519,0.17223091145246833
372,0.6102425449114,0.0015763840694,3,506,0.10186902090907095,0.15481711873927442
40,0.7283645534446,0.0120931825681,4,596,0.0,0.24080952628856825
75,0.7634578280569,0.0120695316044,5,694,0.0,0.24080952628856825
55,0.1392740569503,0.0424291690549,1,481,0.035234998017549514,0.2083490220466268
65,0.7110848064956,0.0128260902776,4,769,0.0,0.24080952628856825
53,0.7267697233425,0.0125481607317,5,749,0.0,0.24080952628856825
44,0.0964589354198,0.0423573328234,1,481,0.016986077427864073,0.22253557051461242
71,0.7870546408893,0.0204090953803,5,543,0.0,0.24080952628856825
738,0.2734047715982,0.0999967486933,4,91,0.0,0.24080952628856825
36,0.1908935073946,0.0420864551627,2,487,0.0,0.24080952628856825
816,0.1006982395772,0.0001623275114,1,419,0.1046356987953186,0.14971900840164315
43,0.1486237111705,0.0423573328234,3,481,0.0,0.24080952628856825
43,0.1495108493169,0.0423573328234,2,481,0.0,0.24080952628856825
38,0.1823552102697,0.0392915382255,2,486,0.0,0.24080952628856825
102,0.1894695080254,0.0026068828701,4,101,0.0981017951667309,0.15067112514717304
547,0.4239860884209,0.0001356935227,2,149,0.09818187043070793,0.15322007657337
34,0.1427550044318,0.0381839549033,1,424,0.0997715674340725,0.16034467636264044
34,0.1454128087576,0.0381814249711,1,422,0.10103468731045721,0.15500150709731547
34,0.1433150293437,0.0379169253219,1,439,0.06730108067393303,0.1825792329534845
34,0.2228902405937,0.0389350902118,1,441,0.03202204555273056,0.22014158698290434
56,0.432738261619,0.0419367660887,1,485,0.01881938725709915,0.23009085306989502
58,0.2314572419591,0.0419117649274,1,485,0.017403029799461366,0.23703244144860908
363,0.2913048958122,0.0115743270024,5,69,0.09942601799964904,0.15100886867353933
34,0.145927552254,0.0397247833956,1,294,0.08588224545121192,0.17204457084696606
374,0.2948798309023,0.0752422855323,3,78,0.0991220486164093,0.15186886668922597
270,0.6056824204829,0.0911791017208,4,79,0.0,0.3423451528241948
401,0.5204899283594,0.0889481800691,5,79,0.0,0.24080952628856825
70,0.5153298409153,0.0828963812809,4,79,0.0010566109418869017,0.239581025060067
178,0.7361547279816,0.0002666736091,3,134,0.1083779725432396,0.15644479798671415
540,0.1126117643449,0.0042339443161,4,461,0.10681493178009986,0.1610823665464384
672,0.3934874875152,0.0899003974474,4,79,0.019449789822101594,0.22275333098686395
56,0.657524140476,0.0879962895154,5,78,0.0,0.24080952628856825
379,0.8384785203365,0.0120212943694,2,527,0.07506400004029275,0.18473014752954872
877,0.8959733027337,0.0120426963164,2,64,0.08490289360284804,0.1750249312375061
58,0.9136234376255,0.0120468159971,2,173,0.06215848937630654,0.22711227988174096
758,0.1773664279903,0.0002236086227,1,408,0.1024723795056343,0.15174595054834572
45,0.8825507927923,0.0120433910093,2,213,0.064981087744236,0.2303066282856702
74,0.3734291389852,0.0497352923934,1,257,0.07976788759231568,0.17075604036681882
857,0.9107651434877,0.0102298928648,2,143,0.08515635818243025,0.18371696882175925
