batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,demographic_parity
297,0.6205646954477,0.000210147218,2,697,0.1485826777742945,0.09871816188097
241,0.9708397453651,0.0329667406801,4,407,0.24080952628856825,0.0
40,0.5045871346007,0.0372686513111,2,246,0.22130735693609943,0.007170429825782776
632,0.9732902874526,0.0881358913116,3,79,0.2128304108094527,0.020629601180553438
190,0.8973324145887,0.0859064307889,1,76,0.15794959881786227,0.06667507737874985
852,0.9370669301283,0.0731523786963,5,67,0.17216976932545797,0.05765109211206436
190,0.8973324145887,0.0859064307889,2,76,0.1943426226360358,0.02767871618270874
662,0.9509406034259,0.0697853538265,5,72,0.17932550604706293,0.04755475968122482
277,0.9737901280885,0.0847462450567,2,79,0.18774035278526296,0.03488713651895523
392,0.8530809109696,0.0068378774336,2,936,0.15395727633751585,0.08498615995049477
