batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,demographic_parity,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.09286263361573219,0.15257048092868986
297,0.6205646954477,0.000210147218,2,697,0.09469321593642235,0.14980652294085128
979,0.3596079321578,0.0535361448362,4,65,0.09656928926706314,0.15050672563110373
979,0.3596079321578,0.0535361448362,4,65,0.03913010805845261,0.20216202935937594
652,0.7642785040662,0.0014379647071,3,136,0.08749172762036324,0.15069098949695964
652,0.7642785040662,0.0014379647071,3,136,0.09208701550960541,0.15108408574411888
94,0.005704017356,0.0050831004951,3,339,0.10266752615571022,0.1533566734230084
94,0.005704017356,0.0050831004951,3,339,0.09371529743075371,0.1511332227750138
241,0.9708397453651,0.0329667406801,4,407,0.0,0.2362262760272711
241,0.9708397453651,0.0329667406801,4,407,0.0,0.2362262760272711
877,0.4022569247105,0.0974766075835,4,65,0.07615769430994987,0.16704133652724035
877,0.4022569247105,0.0974766075835,4,65,0.01993740350008011,0.21980222345064798
865,0.4134678008786,0.0771860488747,4,64,0.09733249694108963,0.1594005282230821
865,0.4134678008786,0.0771860488747,4,64,0.09410087391734123,0.15392174927829985
825,0.4386880035131,0.0912378691922,5,69,0.0,0.2362262760272711
825,0.4386880035131,0.0912378691922,5,69,0.0,0.2362262760272711
852,0.4265487668938,0.04946193769,5,71,0.07719309106469155,0.17143910079233463
852,0.4265487668938,0.04946193769,5,71,0.08895001038908959,0.15114550703273752
852,0.2328469779108,0.0671268735361,5,64,0.0678595058619976,0.18068914685830106
852,0.2328469779108,0.0671268735361,5,64,0.05972333550453186,0.18513604815429027
810,0.1818862846988,0.0832405923283,5,67,0.023001193068921566,0.21845095510103807
810,0.1818862846988,0.0832405923283,5,67,0.07663952484726906,0.18545543885510718
350,0.4167693191922,0.079870913749,5,71,0.0,0.2362262760272711
350,0.4167693191922,0.079870913749,5,71,2.9802322387695314e-09,0.2362262760272711
220,0.3991280359458,0.0526984169323,4,69,0.07628401219844819,0.18486579448436827
220,0.3991280359458,0.0526984169323,4,69,0.056112533807754515,0.18702782384374425
39,0.2328662411171,0.0062713153449,5,64,0.09451311901211738,0.15074012652785454
39,0.2328662411171,0.0062713153449,5,64,0.09343907758593559,0.15202997358884587
34,0.2658732822424,0.0199324490688,5,64,0.07345409020781517,0.169891284319145
34,0.2658732822424,0.0199324490688,5,64,0.06374753415584564,0.1784656962103065
80,0.2549587361464,0.001999272779,5,64,0.09510341584682465,0.1505435784042749
80,0.2549587361464,0.001999272779,5,64,0.09480667561292648,0.15129291812542225
83,0.2664016087835,0.0003238815905,5,64,0.0952104613184929,0.15173515140347643
83,0.2664016087835,0.0003238815905,5,64,0.09391320422291756,0.14992936551808855
50,0.2605025716048,0.0009904273139,5,64,0.09155220910906792,0.15137890792948833
50,0.2605025716048,0.0009904273139,5,64,0.09847403094172477,0.151305202383146
219,0.2373611309641,0.0531008007506,5,64,0.06375956982374191,0.20201461826669123
219,0.2373611309641,0.0531008007506,5,64,0.051172804087400436,0.1862784841225969
277,0.0788153739624,0.0011246047718,1,788,0.0949296548962593,0.15021190344573426
277,0.0788153739624,0.0011246047718,1,788,0.09545938596129418,0.15001535532215465
895,0.7897473442105,0.011623077444,1,411,0.08587925881147385,0.1549536269270929
895,0.7897473442105,0.011623077444,1,411,0.08596277385950088,0.15152631902217306
597,0.4199483890762,0.0062957704128,3,1002,0.0,0.2362262760272711
597,0.4199483890762,0.0062957704128,3,1002,0.0,0.2362262760272711
969,0.0493606525331,0.0955731622527,4,66,0.051969167590141294,0.1929119832934095
969,0.0493606525331,0.0955731622527,4,66,0.02135560065507889,0.21934770591487013
954,0.0800670836593,0.0977281834738,3,65,0.0780075542628765,0.1682574780418893
954,0.0800670836593,0.0977281834738,3,65,0.0756424218416214,0.16829433081506048
952,0.1769320019328,0.0984409043885,3,66,0.08179230764508247,0.17103372028745162
952,0.1769320019328,0.0984409043885,3,66,0.051320959627628324,0.20159695350408455
1003,0.2158659673124,0.0996437293751,3,316,0.0,0.2362262760272711
1003,0.2158659673124,0.0996437293751,3,316,0.0,0.2362262760272711
968,0.2006161815464,0.0968940957419,3,351,0.0,0.2362262760272711
968,0.2006161815464,0.0968940957419,3,351,0.0,0.2362262760272711
957,0.1464948104507,0.0256779310978,2,405,0.0,0.2362262760272711
957,0.1464948104507,0.0256779310978,2,405,0.0,0.2362262760272711
987,0.02755907434,0.025349397423,1,71,0.09823936745524406,0.15055586266199864
987,0.02755907434,0.025349397423,1,71,0.09814572930335999,0.15155088753762053
497,0.4323787825414,0.0004186695981,1,866,0.0948123000562191,0.15112093851729008
497,0.4323787825414,0.0004186695981,1,866,0.09151907786726951,0.15006449235304956
979,0.4061306892293,0.0831195661781,4,65,0.05661221221089363,0.18604508322584606
