batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,equalized_odds,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.09694299459457398,0.16860673380134458
979,0.3596079321578,0.0535361448362,4,65,0.06667982816696168,0.1667951754778102
652,0.7642785040662,0.0014379647071,3,136,0.1414962387084961,0.167439572753944
94,0.005704017356,0.0050831004951,3,339,0.13027759313583373,0.15460199898822652
241,0.9708397453651,0.0329667406801,4,407,0.0,0.34388077935982125
927,0.0428040940199,0.0001459731885,4,99,0.11195740699768067,0.15254441032884145
846,0.1830288026968,0.0002448706692,5,78,0.12653721928596498,0.1533121858720661
835,0.2050673705088,0.0003804849788,4,66,0.11278077125549317,0.15312795312795313
815,0.3205795842782,0.0001894119077,5,65,0.1194845175743103,0.15392653551336188
838,0.1307368612056,0.000166319572,4,73,0.10728241086006166,0.15048678394486778
882,0.1559904388438,0.0003223857708,4,68,0.11054319024085998,0.15383441206794496
878,0.1466952685078,0.0002856933141,4,89,0.11921196460723875,0.15742763197853019
823,0.1926577190871,0.0001956261508,4,78,0.10703695178031922,0.15196090996989198
984,0.133004177723,0.0566099516639,4,67,0.08953548073768616,0.17041903718550425
982,0.0184643501182,0.0828842970157,3,67,0.07519407510757446,0.16943360491264683
1004,0.4290022301142,0.0812335915076,2,64,0.09575830340385437,0.15223739347990844
979,0.3731868234372,0.0535361448362,4,67,0.08928822994232177,0.16826940052987957
1010,0.0906473659952,0.0962662161575,3,64,0.11571982979774476,0.15629131549790234
1001,0.3022087230785,0.0631120034124,1,65,0.11293943405151367,0.1519301974391795
277,0.0788153739624,0.0011246047718,1,788,0.12755534052848816,0.16995794840106218
895,0.7897473442105,0.011623077444,1,411,0.11917567253112793,0.15064037017629833
597,0.4199483890762,0.0062957704128,3,1002,0.0,0.24080952628856825
982,0.0036538250889,0.0987031268473,4,64,1.1324882507324219e-08,0.24080952628856825
979,0.3527477622013,0.0986098234369,4,64,0.0,0.3440799086008667
965,0.0147023504084,0.0933635276898,5,64,0.0,0.34388077935982125
974,0.0307587821089,0.087449995501,5,64,0.025847024917602535,0.22327267125171318
978,0.8446840080114,0.0918815847521,5,65,0.06775330066680908,0.22496186044090236
973,0.3562030644332,0.0876558367314,5,64,0.0,0.34388077935982125
925,0.0109190678355,0.0941056174856,5,64,0.0,0.24080952628856825
497,0.4323787825414,0.0004186695981,1,866,0.12694881558418275,0.16086713833719823
976,0.0312731133445,0.0873706408572,5,65,0.056870815753936765,0.20625792923697114
242,0.5897873412338,0.0912677296139,2,140,0.0,0.24080952628856825
