batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,equalized_odds
241,0.9708397453651,0.0329667406801,4,407,0.24080952628856825,0.0
816,0.1006982395772,0.0001623275114,1,419,0.14974972093235567,0.16508462190628054
725,0.502164710005,0.0904553639315,4,64,0.2057665287455707,0.05313496589660645
202,0.5302363068046,0.0903986183012,4,66,0.22219814764724943,0.021358982026576996
279,0.8894036660897,0.0341488086267,1,191,0.17164762329432987,0.12395044088363646
32,0.9875185615056,0.0001028830194,1,384,0.18949050962524017,0.11234877824783325
645,0.9433382184753,0.0001519370046,5,73,0.1577039315811771,0.13788577795028686
106,0.6215582559004,0.0397333089339,1,556,0.1928979783770203,0.0837992000579834
207,0.5291422444875,0.0902875318307,4,69,0.2342677572467992,0.01860844731330872
185,0.9832063448937,0.0001047039341,1,64,0.20463016510920706,0.07644546151161194
