batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,equalized_odds,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.21338678359985347,0.1686374274697628
979,0.3596079321578,0.0535361448362,4,65,0.1714102292060852,0.15085524943309375
652,0.7642785040662,0.0014379647071,3,136,0.18439974784851076,0.16774700928892544
94,0.005704017356,0.0050831004951,3,339,0.17597054481506347,0.14984186324006685
241,0.9708397453651,0.0329667406801,4,407,0.0,0.24080952628856825
39,0.8387346773605,0.0263156386752,3,69,0.15028728008270265,0.17431953330156919
92,0.8720379283428,0.0254356974388,5,379,0.0,0.24080952628856825
187,0.9234778105576,0.0329667406801,3,196,0.12697125762701034,0.2128304108094527
34,0.8496690423799,0.0291194786896,3,263,0.027069983482360838,0.2322714427504847
48,0.8828609588978,0.0326634705656,4,639,0.0,0.24080952628856825
144,0.8502026928165,0.0388198099411,5,119,0.015980600714683532,0.3264974869765289
59,0.8324870961944,0.0346194040057,3,438,0.0,0.24080952628856825
39,0.8056497363738,0.0248922888766,5,160,0.06561965674161911,0.32883163931068127
35,0.8405511005959,0.028902719256,4,225,0.014075213968753816,0.24080952628856825
34,0.848543002686,0.0286789352125,4,220,0.10063806533813477,0.26064982112886304
32,0.8474209635297,0.0296977832097,4,236,0.033086633682250975,0.3327935557725977
36,0.8426152794464,0.0291194786896,4,237,1.609325408935547e-08,0.3472591577381997
36,0.8522736548432,0.0292989965052,5,236,0.0,0.24080952628856825
32,0.8421141739164,0.0284145852366,4,221,0.03428214132785797,0.32732672530576723
277,0.0788153739624,0.0011246047718,1,788,0.18890923976898194,0.16418424255250602
895,0.7897473442105,0.011623077444,1,411,0.164257230758667,0.1535887919869956
597,0.4199483890762,0.0062957704128,3,1002,0.0,0.24080952628856825
34,0.8797503085691,0.0006558716098,3,370,0.1668903088569641,0.15905530651039632
32,0.8573019475082,0.0136651629252,3,379,0.15481348991394042,0.17849618283750024
33,0.9935771211687,0.0002051402643,1,371,0.09113019943237305,0.20355683454485848
32,0.9257083022965,0.0002094212732,3,374,0.1647630548477173,0.16231097151755833
34,0.8933739134524,0.0297812268519,2,384,0.015348172187805176,0.5545835941045522
34,0.9113388596478,0.023343241389,3,377,0.007926909029483795,0.24080952628856825
34,0.858912692327,0.0024198675214,1,382,0.1676048970222473,0.15699757166823033
497,0.4323787825414,0.0004186695981,1,866,0.18210749149322508,0.1574275235203379
55,0.9695625287167,0.0310929105382,5,407,0.0,0.3423451528241948
242,0.5897873412338,0.0912677296139,2,140,0.007330536246299743,0.24080952628856825
132,0.7881032725057,0.0538125598434,5,449,0.0,0.24080952628856825
64,0.8309161086783,0.036759826833,5,438,0.0,0.34388077935982125
380,0.6055055623343,0.0380762179073,5,554,0.0,0.24080952628856825
50,0.9344829587093,0.0866794028846,5,428,0.0,0.24080952628856825
444,0.4418693606161,0.0839972151679,5,460,0.0,0.24080952628856825
32,0.995234519826,0.0002008757658,1,830,0.0776149845123291,0.42355027706824117
33,0.985461044542,0.0001541847972,1,406,0.11106812953948975,0.188077719065743
203,0.836270266563,0.0026409543209,5,612,0.1478905701637268,0.15834897017531746
32,0.9839989804255,0.0002051402643,1,88,0.11570101857185364,0.18635795881304862
32,0.9941594424132,0.0001522753389,1,68,0.03559946298599243,0.222965644971633
32,0.9851942719375,0.0001351852865,1,74,0.0904330801963806,0.19910348929810007
32,0.9854220898299,0.0001012106011,1,128,0.10618582725524903,0.18795480292486277
40,0.9856944934567,0.0001169493619,1,99,0.1066281485557556,0.18890696211055494
35,0.9978213900781,0.00017273094,3,65,0.09063234210014344,0.2057061929816421
772,0.9972444107727,0.0041880678404,3,65,0.1439920973777771,0.1868186043335744
