batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,equalized_odds
241,0.9708397453651,0.0329667406801,4,407,0.24080952628856825,0.0
816,0.1006982395772,0.0001623275114,1,419,0.14876693881184896,0.09809261858463288
363,0.9786869009551,0.0541742671318,4,75,0.177513641211246,0.04023088812828064
541,0.9929543991847,0.0003366843533,5,77,0.16031440709584424,0.05041844248771667
1006,0.8086354248759,0.0778690143516,1,72,0.15202242462721505,0.07898498922586442
84,0.6494664649568,0.0693827413619,2,140,0.2249933038855194,0.006776946783065796
76,0.9473869232489,0.0542848220971,1,68,0.15576917418234784,0.06142688244581222
369,0.99493118589,0.0547681101614,5,93,0.21424318722222918,0.014267802238464355
365,0.9784188475957,0.0530627072528,5,74,0.20598405343914322,0.0202410988509655
363,0.992848530927,0.0541742671318,4,73,0.19732058279962475,0.033871814608573914
