batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,demographic_parity
252,0.1295589319796,0.0499798840043,1,710,0.24080952628856825,0.0
94,0.0321600842452,0.0086263132386,4,285,0.14938114227036384,0.10298018902540204
297,0.6205646954477,0.000210147218,2,697,0.1792944775729207,0.00823690116405487
534,0.6678345602872,0.0001667053277,2,104,0.21467444528821775,0.0005817103385925293
116,0.4510837416557,0.0054885229985,1,598,0.16710194240134363,0.0222572261095047
441,0.1020683828299,0.0037946946911,5,771,0.15669054538815017,0.05623849734663964
277,0.0788153739624,0.0011246047718,1,788,0.15466356551685892,0.0810715165734291
962,0.1658029844256,0.0009078367561,5,387,0.16092870015025704,0.04003316283226013
526,0.0110672945031,0.0004543184753,3,71,0.1541720707139869,0.1009539569914341
459,0.7816321208377,0.0003019301053,2,84,0.22827944092914154,0.00010894596576690674
