batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,demographic_parity,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.00823690116405487,0.1792944775729207
979,0.3596079321578,0.0535361448362,4,65,0.004134231209754944,0.24080952628856825
652,0.7642785040662,0.0014379647071,3,136,7.574558258056639e-06,0.4555188008032319
94,0.005704017356,0.0050831004951,3,339,0.10938020214438438,0.15755018973581844
241,0.9708397453651,0.0329667406801,4,407,0.0,0.4481339626549207
506,0.9214750677078,0.0001317906673,2,546,1.749396324157715e-05,0.5635673417859047
303,0.9972372355137,0.0004887716481,2,598,8.481740951538086e-07,0.4584682883335578
304,0.9541537152325,0.0006237713056,1,574,6.258487701416016e-07,0.44853326799434584
321,0.938937916129,0.0001372129918,2,552,1.7688274383544918e-05,0.3368322229100672
403,0.9783044597111,0.0002005770113,1,573,4.49836254119873e-06,0.5767901166104759
315,0.969195303307,0.0005741613037,1,544,6.818771362304688e-07,0.4471362321661722
652,0.7800202708188,0.000783478536,4,86,9.388327598571777e-06,0.23469788829070265
159,0.9542835976861,0.0004414305733,1,544,6.622076034545898e-07,0.34808837248957003
142,0.9168233231487,0.0014966165334,1,283,1.925230026245117e-07,0.5516817668763776
190,0.4593559640657,0.0073355691801,2,67,0.026542569994926452,0.16857587980342473
62,0.2186028007396,0.0521443636333,5,66,7.721364498138428e-05,0.24080952628856825
81,0.7930082208905,0.0583020588095,5,89,5.960464477539063e-08,0.5518660373450792
277,0.0788153739624,0.0011246047718,1,788,0.0810715165734291,0.15466356551685892
895,0.7897473442105,0.011623077444,1,411,2.121329307556153e-06,0.34406505454409647
597,0.4199483890762,0.0062957704128,3,1002,0.009097220301628113,0.3141659036868618
474,0.8749793433439,0.0001102216502,1,411,0.0010792243480682371,0.3252359720174091
149,0.9541537152325,0.0006237713056,1,392,5.26905059814453e-07,0.7587912155277425
368,0.7074847246097,0.0023898254734,1,269,7.868409156799318e-06,0.3369709880937426
71,0.8923015099882,0.001808941881,1,299,1.2934207916259768e-07,0.3441413336622917
116,0.4510837416557,0.0054885229985,1,598,0.0222572261095047,0.16710194240134363
40,0.2249141842599,0.0056128111475,4,212,0.06589615255594254,0.15761197789640902
255,0.3746025542062,0.0003767361868,1,496,0.03214409828186035,0.17001922727970634
497,0.4323787825414,0.0004186695981,1,866,0.017342184185981747,0.1728141147302824
62,0.7842471008173,0.0430204149975,4,71,5.245208740234376e-08,0.5496695891905473
242,0.5897873412338,0.0912677296139,2,140,6.556510925292968e-09,0.24080952628856825
218,0.9426687647059,0.0002024117591,1,341,3.838539123535157e-06,0.5089757264906966
252,0.1295589319796,0.0499798840043,1,710,0.0,0.24080952628856825
116,0.5981690040693,0.0114053208602,1,389,1.7642974853515625e-07,0.24080952628856825
749,0.4840107650808,0.0234433390482,5,133,0.0021055412292480475,0.2313822270409097
203,0.836270266563,0.0026409543209,5,612,8.529424667358398e-07,0.5518660373450792
343,0.430196980649,0.0006627614282,1,64,0.018858814239501955,0.18485310611059114
611,0.7288004268209,0.004259739599,2,369,5.360841751098633e-06,0.550115423094465
481,0.8465598647944,0.0041610128694,4,255,7.218122482299805e-07,0.3440799086008667
133,0.9311588711815,0.0006237713056,2,574,4.4047832489013675e-07,0.5532015255069147
698,0.8892119720028,0.0004284007778,5,546,1.6117095947265624e-06,0.5518660373450792
84,0.9465259942038,0.0001945444613,4,391,7.343292236328124e-07,0.44818059024645845
94,0.0321600842452,0.0086263132386,4,285,0.10298018902540204,0.14938114227036384
464,0.9156462667832,0.0002835446911,4,67,3.553032875061035e-06,0.6509288123809082
539,0.4096195582972,0.0014614146338,2,269,0.027214134931564334,0.16971227173322984
534,0.6678345602872,0.0001667053277,2,104,0.0005817103385925293,0.21467444528821775
635,0.516991437692,0.0229282052152,2,106,0.0036445730924606324,0.22775792678487292
204,0.1548774723687,0.0011246047718,3,308,0.05620766162872315,0.1657813648831613
582,0.0387496336331,0.0003356147463,1,83,0.08956465169787406,0.15263655263655262
394,0.4524190810978,0.0128694264374,3,729,0.0,0.24080952628856825
50,0.2468549245426,0.005462032419,4,310,0.06068704932928085,0.15880949309093023
34,0.8853796000595,0.0014368370601,1,280,1.2457370758056642e-07,0.3448328678119098
771,0.2890708099789,0.0007673214034,4,128,0.024789567291736602,0.16221864530247762
526,0.1558490208903,0.0010597119829,3,71,0.05475850731134415,0.15979241196307065
390,0.0651361235224,0.0003356147463,3,68,0.08344706803560256,0.15325069950818454
900,0.4300912433377,0.0152683361273,5,574,0.0,0.44541640589544784
595,0.3706839481182,0.0951236349835,5,72,6.55651092529297e-09,0.34388077935982125
206,0.95338808871,0.0016988647116,1,71,5.316734313964843e-07,0.5480725375934956
391,0.9472492536541,0.0001474724712,5,353,1.8280744552612304e-06,0.24102451400355593
48,0.5823596969608,0.0241498634091,5,71,3.3378601074218747e-08,0.24080952628856825
921,0.0402320288874,0.0695202977577,2,410,0.0,0.24080952628856825
217,0.6966025769503,0.0609459009151,5,409,0.0,0.5545835941045522
34,0.2671074801836,0.0037159750218,4,178,0.07837770998477936,0.1596387031267271
435,0.6182493089424,0.0313142741224,3,206,1.971125602722168e-06,0.4481339626549207
193,0.4888227212062,0.0678987026873,5,198,0.0,0.34388077935982125
150,0.953474554869,0.0022378625193,1,73,3.0696392059326174e-07,0.4512210789156897
962,0.1658029844256,0.0009078367561,5,387,0.04003316283226013,0.16092870015025704
54,0.9826533842145,0.0003970302493,1,468,2.586841583251953e-07,0.7583919856374945
632,0.2859097380484,0.0213235547463,3,145,0.03602339208126068,0.1713093469081493
98,0.8484443833326,0.000285439054,1,364,3.0755996704101563e-07,0.44661430305142885
745,0.5293743173916,0.0002020537003,2,351,0.009593805670738222,0.1901351992669358
353,0.9667656546864,0.0001317906673,1,342,0.0007815009355545043,0.48609964440802766
326,0.0255209493511,0.0047701456566,5,644,0.09008343383669852,0.15521650895902395
66,0.7850084127424,0.0002891005159,1,544,2.437829971313477e-07,0.23942742939748926
917,0.2528729324812,0.0002112474838,2,84,0.035140545666217805,0.17345917218671708
348,0.5191954030238,0.012424877803,2,185,0.007123609185218811,0.21654739094858852
869,0.3577941791914,0.0001144897283,1,85,0.01825198709964752,0.20880803126312109
588,0.8148829947769,0.0433063202464,2,714,0.0,0.5518660373450792
603,0.7481965207707,0.050363997522,2,431,0.0,0.45052954005049817
829,0.799121782268,0.0006191180937,5,452,8.149743080139161e-06,0.3458612353821935
873,0.5880683420959,0.0395920253849,1,245,2.9008984565734867e-05,0.34950117248021445
959,0.0099039525899,0.0001330037572,5,856,0.10043316438794136,0.17502498310881545
46,0.8704156633409,0.0056643097111,2,383,3.993511199951173e-08,0.45052954005049817
367,0.9224830174954,0.0001413124133,2,227,3.5886168479919437e-05,0.4539172977047229
921,0.045952784102,0.0916943950772,3,253,0.0,0.24080952628856825
46,0.4865568660237,0.0930614516865,4,341,0.0,0.24080952628856825
501,0.4344636044526,0.0343406853747,4,551,0.0,0.24080952628856825
