batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,equalized_odds,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.12069791734218598,0.1734590637285248
979,0.3596079321578,0.0535361448362,4,65,0.006175444722175598,0.24080952628856825
652,0.7642785040662,0.0014379647071,3,136,4.354894161224365e-05,0.23515844893090404
94,0.005704017356,0.0050831004951,3,339,0.19060640573501586,0.16657962660956674
241,0.9708397453651,0.0329667406801,4,407,0.0,0.5518660373450792
675,0.8617735824094,0.000201190294,2,93,0.0005106276273727417,0.3035540900810362
657,0.6945176835246,0.0064048709707,5,98,2.1518468856811526e-05,0.42633126300790974
652,0.6977260995015,0.0034778572468,3,95,4.887998104095459e-05,0.33577288345252415
678,0.9065140979364,0.0119967358764,5,97,1.502037048339844e-07,0.3423451528241948
665,0.7652121737936,0.001466294955,4,96,2.0093321800231934e-05,0.2929901159691579
667,0.7755737466109,0.0044530673554,4,93,7.092356681823731e-06,0.4479348334138753
672,0.7596814130578,0.0223901509441,5,99,1.1742115020751953e-07,0.3472591577381997
666,0.8446071383535,0.0206021429793,5,101,7.867813110351562e-08,0.34486358034262227
844,0.1810446897218,0.0006477422377,5,68,0.14154822945594786,0.16046813479448213
843,0.2526448278543,0.000214503966,3,68,0.07997578859329224,0.17011160536609637
867,0.1377772795226,0.0001381888149,5,74,0.12138984680175782,0.16071371243526933
883,0.4040839050638,0.0002850798184,4,68,0.03816267609596253,0.1956023220993281
873,0.7209181011624,0.0008830624195,4,74,7.217586040496827e-05,0.23869109258330817
861,0.7296479598132,0.0014293075564,3,73,9.746015071868897e-05,0.2652259882050301
277,0.0788153739624,0.0011246047718,1,788,0.1880918526649475,0.15386510102078962
895,0.7897473442105,0.011623077444,1,411,3.7115812301635744e-06,0.45005399803303997
597,0.4199483890762,0.0062957704128,3,1002,0.08521362423896789,0.2969231306806157
454,0.8448297603714,0.0014379647071,3,120,9.395480155944824e-06,0.4343906073696493
452,0.7440725344909,0.0014301351321,4,120,2.9611587524414063e-05,0.4154104142876598
470,0.7037179211852,0.0001647644321,3,121,0.00038583099842071534,0.2120327809699067
432,0.7220926861556,0.0001569633636,3,132,0.0004246914386749267,0.21501186344000717
463,0.7124275686197,0.0001737256026,4,133,0.00011039495468139646,0.2671611228497456
459,0.7058581227334,0.0014183151695,4,123,4.669189453125e-05,0.32760352004363985
