batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,demographic_parity,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.002678273618221283,0.3426816534610896
979,0.3596079321578,0.0535361448362,4,65,0.0008725374937057495,0.3357041950740126
652,0.7642785040662,0.0014379647071,3,136,0.0012708336114883422,0.34483139856274186
94,0.005704017356,0.0050831004951,3,339,0.0008990481495857239,0.3372520115472023
322,0.412513526121,0.0006441000446,1,166,0.0009048298001289367,0.33839444751550884
815,0.8617159873378,0.0002361502231,3,752,0.0016886934638023377,0.3389963761439715
925,0.3837167412653,0.0596107666961,2,65,0.0007524222135543823,0.33187150666420984
150,0.1709107359706,0.0005901249311,2,70,0.001610453426837921,0.33700632639272776
1024,0.9367846473174,0.0044448572887,4,80,0.0014097943902015686,0.3465266261286161
102,0.6765698196157,0.0001975638963,1,697,0.001918831467628479,0.3382961734537191
659,0.4104945693248,0.0117063616816,5,64,0.0008534461259841919,0.34239911553344393
59,0.0030815114132,0.0057836649805,4,153,0.0012509882450103759,0.34081444628708313
659,0.4262363360775,0.0063782393736,4,68,0.002359621226787567,0.34846753884896503
176,0.5650710721095,0.0001467921737,3,463,0.0018818825483322144,0.3446348504391622
85,0.6624668076433,0.0001461455212,3,455,0.0025792688131332396,0.34043363429764756
277,0.0788153739624,0.0011246047718,1,788,0.0012198656797409058,0.336097291321172
895,0.7897473442105,0.011623077444,1,411,0.0011048093438148499,0.33612185983661935
498,0.4997052812651,0.0008260624616,1,201,0.0012093141674995422,0.3395491677415392
81,0.801774956151,0.0054916470096,2,72,0.00040178894996643064,0.34118297401879494
69,0.005704017356,0.0027189688569,1,229,0.0014834165573120116,0.3386032798968122
544,0.3566148090088,0.0077072238861,1,64,0.0012193799018859863,0.33726429580492595
635,0.4104945693248,0.0144818936694,1,74,0.0006285831332206726,0.33549536269270935
184,0.5249395800268,0.0002461496774,1,328,0.0008477166295051575,0.3373257170935446
40,0.6748309344586,0.0216101868293,1,262,0.000985785573720932,0.33117130397395733
497,0.4323787825414,0.0004186695981,1,866,0.001591038703918457,0.3436275413058166
53,0.7431359447524,0.0001324462442,2,383,0.0011110514402389525,0.34636693077820774
62,0.3818317948981,0.0042972583038,4,456,0.0012927025556564331,0.3357041950740126
143,0.4893136075805,0.0143524519362,2,124,0.0004810124635696411,0.3376328235366378
111,0.6237206127861,0.0011527170707,5,250,0.001156960427761078,0.3414655119464406
203,0.836270266563,0.0026409543209,5,612,0.0010673642158508302,0.3449419568822553
68,0.1473946081284,0.0008993767961,4,788,0.0010576248168945312,0.34350469872857936
682,0.8411544066865,0.0006865924239,5,174,0.0013736486434936523,0.3352251090227873
766,0.8645144427745,0.0002361502231,1,276,0.0016706049442291259,0.33585160616669735
61,0.737447287188,0.0001600052257,2,408,0.0009684890508651733,0.3393526196179596
342,0.3794140715116,0.0094428768473,4,67,0.0010849490761756897,0.3478533259627786
539,0.4096195582972,0.0014614146338,2,269,0.00045117586851119997,0.3433327191204472
540,0.6011431890687,0.0002228815534,5,87,0.0021998688578605654,0.3343037896935077
65,0.2425091147505,0.0001738203182,2,75,0.001405276358127594,0.33252257232356736
313,0.4545499988336,0.0003879558517,5,696,0.0014029249548912048,0.3369326208463853
582,0.0387496336331,0.0003356147463,1,83,0.0013388633728027345,0.33301394263251644
841,0.3293608465041,0.0018412961777,3,115,0.0023054733872413637,0.34608439285056203
507,0.5071325061685,0.0001639990325,4,291,0.0015825361013412475,0.34040906578220015
63,0.1525805406835,0.0005901249311,3,74,0.0023324891924858095,0.34250967385295744
51,0.6743427482514,0.0203488979235,4,182,0.0023782745003700255,0.38540630182421226
526,0.1558490208903,0.0010597119829,3,71,0.001093977689743042,0.346219519685523
571,0.1632290921883,0.0403526510329,1,155,0.0010555624961853028,0.3304956697991524
946,0.240475409915,0.0535361448362,3,68,0.0014248058199882508,0.33107302991216764
45,0.025892842149,0.0064701372435,2,138,0.0009228527545928955,0.3373257170935446
578,0.466940713799,0.0069166965864,5,247,0.00128573477268219,0.33747312818622943
71,0.3818317948981,0.0043214032666,5,297,0.0019894003868103026,0.33330876481788596
506,0.2774871972287,0.000458934893,1,239,0.002044132351875305,0.33505312941465515
799,0.0490666417774,0.000188798116,1,231,0.0011222511529922485,0.33587617468214487
83,0.9431689307954,0.0005462678091,3,381,0.0015848800539970398,0.3520545421042933
