batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,demographic_parity
597,0.4199483890762,0.0062957704128,3,1002,0.24080952628856825,0.0
582,0.0387496336331,0.0003356147463,1,83,0.14984182079990466,0.10543249428272247
450,0.5754748267874,0.0876342482248,4,74,0.21313929502552256,0.03226498231291771
242,0.5897873412338,0.0912677296139,2,140,0.22333409631313828,0.012923790961503983
744,0.7693264443202,0.0048258569881,4,149,0.1941276302054745,0.051809196099638945
226,0.596216482466,0.0880471854266,1,73,0.15693615132237887,0.08213305458426476
453,0.5781937638096,0.0869377840547,1,75,0.17646861823508528,0.07496875330805779
230,0.1423478222489,0.0647665121807,2,137,0.18224352655490378,0.05951508268713951
869,0.3577941791914,0.0001144897283,1,85,0.15380361465690806,0.09446946159005165
435,0.5730591353901,0.0902693018664,2,73,0.17975529756966885,0.06519952163100243
