batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,demographic_parity,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.09655028268694878,0.16925148946107033
979,0.3596079321578,0.0535361448362,4,65,0.09312985628843308,0.15478662312494648
652,0.7642785040662,0.0014379647071,3,136,0.05732177577912808,0.18961349649972403
94,0.005704017356,0.0050831004951,3,339,0.1122479721903801,0.16639536085643872
241,0.9708397453651,0.0329667406801,4,407,0.0,0.3440799086008667
406,0.7659372591427,0.0011500089315,3,377,0.07882879033684731,0.17751316965388825
402,0.7791294355259,0.0002108587533,3,372,0.062084685489535316,0.18374761533444167
411,0.795894470536,0.0019531773627,3,375,0.06639911800622941,0.17788155497736335
744,0.774338274364,0.0028396250353,3,405,0.05596197761595249,0.19087244618681745
423,0.7848076691576,0.0009279276819,3,633,0.0691200241446495,0.1822734563004024
660,0.7836442453019,0.0002846557709,3,717,0.06969087354838846,0.18430064837250468
536,0.7897380253233,0.0026369137352,3,378,0.06371991790831089,0.18089076053147907
407,0.7930396371852,0.000726129266,3,407,0.05955864697694778,0.18718707925294753
706,0.774338274364,0.0025986493513,1,405,0.055037650242447854,0.1987958877180434
745,0.7737807271122,0.0027893846057,2,410,0.05584924213588238,0.19259231489770412
731,0.7753448481791,0.0022811636696,1,418,0.052655130550265314,0.2010996434649129
761,0.7748195794323,0.002417957725,1,410,0.055125118941068654,0.1983664215700144
726,0.7736811024817,0.0026426985388,2,460,0.07088235445320605,0.18592831347322364
706,0.7753841030489,0.0026604184107,3,423,0.059422738775610925,0.19114885424765665
277,0.0788153739624,0.0011246047718,1,788,0.10748730212450026,0.16814590908902288
895,0.7897473442105,0.011623077444,1,411,0.046410605981946,0.22225915773819968
597,0.4199483890762,0.0062957704128,3,1002,0.0,0.24080952628856825
837,0.9667338328689,0.0001471033517,1,467,0.006775385029613971,0.24080952628856825
862,0.9001895474964,0.0020992165173,1,68,0.022773249819874764,0.24080952628856825
856,0.9085917477833,0.0001362470992,1,80,0.01758477084338665,0.28893606191510385
855,0.8872307990058,0.0003371670059,1,85,0.02392494346946478,0.24077881375785565
856,0.9321936743644,0.0003617425198,1,441,0.014976499676704409,0.24080952628856825
845,0.9067661044381,0.0015413182575,1,232,0.021538432389497753,0.24080952628856825
880,0.9390270959345,0.0019860121936,1,74,0.01262036208063364,0.24080952628856825
497,0.4323787825414,0.0004186695981,1,866,0.10117245525121688,0.15761196374968828
815,0.9655250644007,0.0023918808754,3,997,0.005854773954488338,0.24080952628856825
242,0.5897873412338,0.0912677296139,2,140,0.012923790961503983,0.22333409631313828
