batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,equalized_odds
900,0.4300912433377,0.0152683361273,5,574,0.24080952628856825,0.0
39,0.6223477892933,0.0067794695874,2,73,0.15970011404143142,0.16101417541503907
188,0.0925910051134,0.014823272911,5,400,0.2284938014728434,0.019100226163864135
553,0.1839127426189,0.0004573244322,4,496,0.22235129061476364,0.05411670923233032
32,0.3352728555198,0.0097017808697,4,644,0.19249871547775738,0.09870296001434327
47,0.4089645477804,0.0092118623704,5,636,0.20936216774540126,0.06343003034591674
47,0.1411958830777,0.0697248714465,2,154,0.20042254840159032,0.07941839933395385
48,0.3772889061436,0.0080791881195,2,437,0.1627712916635072,0.13807352781295776
61,0.3064008791181,0.0206204206568,5,223,0.1688217875343624,0.11978940486907959
61,0.3064008791181,0.0156756474593,5,204,0.17742122540026734,0.11219500064849855
