batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,equalized_odds,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.052110440135002135,0.2362026466816886
979,0.3596079321578,0.0535361448362,4,65,0.03764188304543495,0.3573046215261785
652,0.7642785040662,0.0014379647071,3,136,0.025657090544700622,0.24001100049004243
94,0.005704017356,0.0050831004951,3,339,0.15015849471092224,0.1694053209023269
241,0.9708397453651,0.0329667406801,4,407,0.0,0.45052954005049817
550,0.7604459381813,0.0662925374866,1,73,0.03724213868379593,0.4281405578561267
537,0.742980751114,0.0586726416173,3,151,0.0006735350657254458,0.4481339626549207
671,0.8214986541882,0.0751838029342,1,72,0.08162743955850602,0.23822967370871564
551,0.7403971293597,0.0958252697749,2,80,0.0419060073341916,0.28567364420657837
536,0.9410154726386,0.0676157027857,2,101,0.021949531745791544,0.5415307685517265
547,0.9457670237736,0.0888308679533,2,166,0.0008794045448303223,0.6077014181804601
673,0.8355396438738,0.0842971459997,2,98,0.10528393805027007,0.3631989611780031
906,0.8637172796688,0.0532865506261,2,118,0.03709004628099848,0.5555356825566407
690,0.7731737005523,0.002196917602,1,209,0.054397474527359005,0.24080952628856825
654,0.793205398028,0.001657438934,2,171,0.01640865087509155,0.384605595084637
653,0.7712371251723,0.0020967074515,1,162,0.04926986455917358,0.3092063321853741
665,0.7900004054766,0.0009980221411,1,168,0.043962720632553104,0.25257242555146747
677,0.770686169728,0.0017966742941,4,154,0.02485797703266144,0.24080952628856825
363,0.7849174609919,0.0016913769582,1,155,0.05103108048439027,0.24541640589544783
277,0.0788153739624,0.0011246047718,1,788,0.14226649880409242,0.2150725057162183
895,0.7897473442105,0.011623077444,1,411,0.08473013460636139,0.237370948897895
597,0.4199483890762,0.0062957704128,3,1002,0.0006227600574493407,0.3920925678410708
552,0.7647439265418,0.0014405578154,4,150,0.012461330294609071,0.44994600196696
582,0.7619212592903,0.0012420269275,4,154,0.008797978162765504,0.3360797965588385
553,0.7662856512937,0.0008516950634,4,71,0.0036919659376144403,0.24080952628856825
554,0.7648362797407,0.000392997733,4,67,0.0016583633422851563,0.4784582130390514
564,0.7611809191291,0.0010893055507,5,68,0.0009906703233718871,0.24080952628856825
562,0.7609690590119,0.0002705956583,4,101,0.0011743950843811034,0.5095134574924994
558,0.7651985297842,0.0004998740923,5,73,0.0006836539506912232,0.44541640589544784
497,0.4323787825414,0.0004186695981,1,866,0.07421907424926757,0.4167309022099442
316,0.766177223498,0.0006217238821,5,70,0.012918431758880616,0.24252942800846994
242,0.5897873412338,0.0912677296139,2,140,0.08002961158752442,0.2406252793977345
311,0.7662856512937,0.0006896426687,5,70,0.0015545523166656497,0.4513132117922537
301,0.7658044289378,0.0006718498794,5,68,0.0027987337112426757,0.24080952628856825
553,0.7663514951965,0.0007021940949,5,70,0.00033665537834167477,0.5528488383278802
512,0.7676994860443,0.0005661903294,5,69,0.0004987347126007081,0.4479348334138753
307,0.7691212034558,0.0007042947249,5,70,0.0007248282432556153,0.3388902878423837
148,0.5585763599879,0.0002167202353,4,697,0.16985661029815674,0.1645834677271803
75,0.5235784286093,0.0001823328209,3,697,0.17541224002838135,0.16108227223496685
203,0.836270266563,0.0026409543209,5,612,0.06035646208561958,0.24080952628856825
161,0.5351197052526,0.0001458273433,4,610,0.12152469992637634,0.20017905975989808
176,0.5767663287967,0.000189745761,3,617,0.13683741211891173,0.1835306565096984
150,0.4684841071263,0.0001397867035,4,609,0.17604742050170896,0.1691286346226466
152,0.4908717656195,0.0001136603907,4,675,0.12121323704719544,0.19532426830331023
63,0.5422912970422,0.0002009090087,2,672,0.18128400087356566,0.16651838545551123
222,0.7478338045304,0.0011589951902,4,68,0.05084874391555787,0.24080952628856825
276,0.5736358451745,0.001162312716,5,68,0.03814598798751831,0.24080952628856825
58,0.7561965272818,0.0013490775278,4,68,0.15152194499969482,0.20487727531140704
539,0.4096195582972,0.0014614146338,2,269,0.011197115778923034,0.46792310766861667
60,0.6343115623377,0.0012018322325,5,68,0.17274945259094238,0.16903636971002242
178,0.7264556376423,0.0011457859523,5,68,0.047814906835556024,0.24080952628856825
41,0.6947576361355,0.0012690486494,5,68,0.15152689456939697,0.16381524892003935
582,0.0387496336331,0.0003356147463,1,83,0.01209553599357605,0.4691783650615986
564,0.7655422779926,0.00067387728,5,68,0.0009436863660812377,0.3437886417676837
571,0.7663940155847,0.0006725573475,5,68,0.0005102145671844482,0.3472591577381997
566,0.7659911689085,0.0006808388999,5,68,0.0009815353155136109,0.43141149189053374
568,0.7656123102788,0.0006706803278,5,68,0.00043461620807647703,0.3432051036841456
566,0.765606821739,0.0006680704693,5,68,0.00034323215484619143,0.34428004225908415
526,0.1558490208903,0.0010597119829,3,71,0.004247444272041321,0.239581025060067
565,0.7874469473263,0.0006738811194,5,68,0.0006826704740524293,0.2402259882050301
900,0.4300912433377,0.0152683361273,5,574,0.0,0.24080952628856825
899,0.0566432288277,0.0010585118345,3,66,0.012370026111602784,0.3472591577381997
902,0.5216810254314,0.0009838319342,5,84,0.006918609142303467,0.3472591577381997
