batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,demographic_parity,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.11548623517155647,0.16277132938809585
979,0.3596079321578,0.0535361448362,4,65,0.10699474886059761,0.15279003512536443
652,0.7642785040662,0.0014379647071,3,136,0.08501956805586816,0.16627244471555847
94,0.005704017356,0.0050831004951,3,339,0.1178985597193241,0.16553539113419352
241,0.9708397453651,0.0329667406801,4,407,0.0,0.44879478427382624
849,0.9401694507043,0.0003057035186,1,75,0.02742483507841826,0.39501714299618496
823,0.9099001152939,0.0001531143473,2,68,0.025231398493051532,0.5543844648635068
858,0.9247359575269,0.0048983680079,2,79,0.0381639639288187,0.24080952628856825
859,0.9302786691873,0.005666128862,1,76,0.028483621701598173,0.3472591577381997
820,0.7762842031066,0.0003722879275,2,96,0.07520780727267265,0.1813519106183777
991,0.9417365979635,0.0002009374312,1,65,0.017404222190380098,0.24080952628856825
845,0.9511469738772,0.0008255584526,1,184,0.01932889964431524,0.24080952628856825
1011,0.9688391328648,0.0043670469315,1,70,0.012561017088592053,0.34486358034262227
945,0.9455451637301,0.0001403362189,1,65,0.024897740110754966,0.5520651665861247
585,0.9505777594582,0.0001151077271,1,65,0.024737476520240307,0.44879478427382624
36,0.9433992261426,0.000160956566,1,64,0.04064330458641052,0.23915117695057814
422,0.9466735242037,0.0001273057466,1,64,0.027830324582755566,0.6576548471758052
835,0.9431966270823,0.0018920809683,1,64,0.021432450711727145,0.24080952628856825
944,0.9540681957952,0.0059185871952,1,64,0.016684533692896367,0.24080952628856825
277,0.0788153739624,0.0011246047718,1,788,0.12384591072797775,0.168606696076756
895,0.7897473442105,0.011623077444,1,411,0.08258072048425676,0.17293682810149874
597,0.4199483890762,0.0062957704128,3,1002,0.0,0.24080952628856825
991,0.9718741959734,0.0495512288976,1,237,0.025202610176056628,0.33990370232885203
993,0.9501784447357,0.007910364893,1,166,0.01681094016879797,0.45052954005049817
992,0.9986330766656,0.0497975857179,1,253,0.0,0.5512052157261738
915,0.9922200519026,0.0187478730887,1,115,0.0023023993684910234,0.24080952628856825
926,0.9909762238066,0.0338609475334,1,412,0.0,0.6551364196573777
920,0.9892591540985,0.0817562582887,1,578,0.0,0.44879478427382624
928,0.9802805558552,0.0270158835531,1,521,0.006174104809761048,0.6543232850119078
497,0.4323787825414,0.0004186695981,1,866,0.11497367218136786,0.15665999318693927
334,0.9973219785857,0.001971115049,1,84,0.003496698723174632,0.24080952628856825
242,0.5897873412338,0.0912677296139,2,140,0.0142996820807457,0.22241272039176235
666,0.993070293526,0.0025204116589,1,72,0.0025445859599858523,0.3423451528241948
661,0.9935976723053,0.0070202136133,1,71,0.0030755163938738406,0.24080952628856825
193,0.993621215065,0.0013923517908,1,65,0.0026060006069019434,0.24080952628856825
577,0.9969091764718,0.0003742062541,1,94,0.0028613214031793176,0.44879478427382624
728,0.9995319048256,0.0044213664672,1,70,0.001158663879905362,0.4479348334138753
242,0.5113425212001,0.0968835866628,2,105,0.05270413637161255,0.2142758897249915
215,0.4852028620651,0.0982601497683,4,128,0.0,0.24080952628856825
203,0.836270266563,0.0026409543209,5,612,0.08149370476603508,0.17840318229539787
69,0.5843115697714,0.0905480310413,5,107,0.0,0.24080952628856825
46,0.2021469836738,0.090279324981,4,115,0.0,0.24080952628856825
39,0.5380939943412,0.0982738523029,3,114,0.0,0.24080952628856825
79,0.1962234647047,0.0950159211651,3,107,0.0,0.24080952628856825
69,0.4288076648845,0.0997175292818,1,78,0.04233715116977692,0.19821218930500367
64,0.8561400520629,0.0933600928601,1,140,9.557604789733887e-07,0.44541640589544784
63,0.6537725457112,0.0913725298821,2,144,0.0,0.3423451528241948
72,0.8178560969216,0.0943636844174,2,148,0.0,0.3423451528241948
539,0.4096195582972,0.0014614146338,2,269,0.12252408191561699,0.17748216947318743
59,0.6024928752671,0.0931197511677,2,153,0.0,0.24080952628856825
40,0.957864737625,0.0912148601836,1,145,1.266598701477051e-08,0.4481339626549207
49,0.7097247004814,0.0922495929001,1,141,0.02336479604244232,0.22723458771362964
582,0.0387496336331,0.0003356147463,1,83,0.11387089252471923,0.14830625556673463
350,0.2537377540694,0.0940776826167,5,953,0.0,0.24080952628856825
263,0.4881771656873,0.0929435207804,4,919,0.0,0.24080952628856825
315,0.456922233417,0.0968185437804,4,782,0.0,0.24080952628856825
195,0.2108316475688,0.0964111915366,4,773,0.0,0.24080952628856825
221,0.475226487226,0.0958678549585,4,615,0.0,0.24080952628856825
526,0.1558490208903,0.0010597119829,3,71,0.11449450105428696,0.16040645037651027
32,0.2493819112155,0.0982601497683,3,116,0.0,0.24080952628856825
900,0.4300912433377,0.0152683361273,5,574,0.0,0.24080952628856825
215,0.6017981812256,0.0916557867645,2,114,0.011894518285989761,0.24080952628856825
221,0.6012192709609,0.0901973598036,2,116,0.011919685304164885,0.24080952628856825
212,0.5914389762208,0.0919970610399,2,337,0.0,0.24080952628856825
210,0.6048691770898,0.089165934874,2,383,0.0,0.24080952628856825
921,0.0402320288874,0.0695202977577,2,410,0.0,0.24080952628856825
217,0.6966025769503,0.0609459009151,5,409,0.0,0.4471511616721197
311,0.5928796897612,0.0890992507932,2,125,0.0,0.24080952628856825
435,0.6182493089424,0.0313142741224,3,206,0.041304965615272526,0.20564641837096928
193,0.4888227212062,0.0678987026873,5,198,0.0,0.24080952628856825
171,0.2662130260727,0.0338039975396,4,919,0.0,0.24080952628856825
91,0.2306192262485,0.042382049138,4,955,0.0,0.24080952628856825
962,0.1658029844256,0.0009078367561,5,387,0.11464314818382264,0.1745957810329068
349,0.2316580381946,0.0641633286269,3,915,0.0,0.24080952628856825
632,0.2859097380484,0.0213235547463,3,145,0.08955318838357926,0.17017332279308328
441,0.062800610929,0.0152145123258,4,906,0.0,0.24080952628856825
50,0.0945079051174,0.0317577763258,4,933,0.0,0.24080952628856825
231,0.5912218734248,0.0838298572558,5,416,0.0,0.24080952628856825
950,0.5909443371464,0.0914551279179,3,146,0.0,0.24080952628856825
242,0.5897873412338,0.0890611473955,2,140,0.005814635455608367,0.33233286781190974
917,0.2528729324812,0.0002112474838,2,84,0.11206861823797228,0.15002610069975342
240,0.4968644882179,0.0696044005071,5,247,0.0,0.24080952628856825
869,0.3577941791914,0.0001144897283,1,85,0.10802897423505783,0.1526673170385745
238,0.4914962881359,0.0655710463633,3,743,0.0,0.24080952628856825
603,0.7481965207707,0.050363997522,2,431,0.0,0.34388077935982125
260,0.1904571831051,0.0984572216479,2,142,0.0,0.24080952628856825
47,0.699164096609,0.0708243543621,1,107,0.030475600957870486,0.2280945385735805
959,0.0099039525899,0.0001330037572,5,856,0.1229714861512184,0.1762845599671947
37,0.7110282235214,0.070542969319,1,114,0.05177562423050404,0.22232162494138538
244,0.4241256647993,0.0989403561372,2,137,0.0,0.24080952628856825
246,0.0864893724071,0.0898619101309,2,136,0.0,0.24080952628856825
247,0.4370756007471,0.0954303450969,2,139,0.0,0.24080952628856825
501,0.4344636044526,0.0343406853747,4,551,0.0,0.24080952628856825
46,0.1091740521576,0.0246970329468,2,881,0.0,0.24080952628856825
499,0.0651624993092,0.0089140339763,2,890,0.02367414176464081,0.22293483341387535
65,0.0334705466353,0.0092529175253,2,893,0.09898122623562813,0.17173963828155442
576,0.0406007298269,0.0164391619019,2,892,0.0,0.24080952628856825
355,0.9137569290511,0.034912055568,1,196,0.039330544173717494,0.23958121368301008
870,0.0221251820473,0.0191622763715,2,895,0.0,0.24080952628856825
73,0.0387903229952,0.0179387955782,2,966,0.0,0.24080952628856825
103,0.2833626254686,0.0005003261748,1,490,0.12205683901906013,0.16608845718127155
36,0.4462198262484,0.0146797805954,5,897,0.0,0.24080952628856825
441,0.1020683828299,0.0037946946911,5,771,0.1148855072259903,0.15165388368981186
42,0.2551492878728,0.0145590582471,4,919,0.0,0.24080952628856825
105,0.5175676044407,0.0804624104669,2,720,0.0,0.24080952628856825
420,0.1891447928217,0.0365582633036,5,127,0.11579919278621673,0.16003820652024245
404,0.5685304970646,0.078070714228,4,133,0.0,0.24080952628856825
781,0.5557304701349,0.0843533530838,5,129,0.0,0.24080952628856825
946,0.534743303367,0.0479557446817,4,154,0.0,0.24080952628856825
263,0.1858855672389,0.0907993346618,2,312,0.0,0.24080952628856825
49,0.1055734451776,0.0160846370233,4,390,0.023962668180465697,0.2242554722345142
588,0.15570371693,0.0418369749777,4,399,0.0,0.24080952628856825
534,0.0737714272306,0.0496415600651,5,464,0.0,0.24080952628856825
58,0.1448185817877,0.048755967442,5,282,0.0,0.24080952628856825
393,0.0954759465324,0.0206051773985,4,402,0.0,0.24080952628856825
406,0.0716595058602,0.0434531697527,3,190,0.0,0.24080952628856825
235,0.0469962370278,0.0938018199309,3,464,0.0,0.24080952628856825
242,0.588879651812,0.0911258161265,2,111,0.03335830464959145,0.21808494143823481
66,0.081075031855,0.0159135345228,3,468,0.020918176770210264,0.2231525325836703
57,0.0775247805268,0.0158928875956,4,415,0.0,0.24080952628856825
43,0.0745319097051,0.0154530433336,4,426,0.07274281740188597,0.18786112334016528
33,0.0675523725269,0.0155913760466,4,421,4.172325134277344e-09,0.24080952628856825
48,0.0828287191087,0.0146052885725,3,444,0.054664109647274015,0.2077014181804601
40,0.0844509441387,0.0158165811162,3,525,0.0,0.24080952628856825
102,0.0712258481927,0.0155102196034,3,440,0.047396579682827,0.20447660245564442
255,0.5016714815615,0.029752846369,5,416,0.0,0.24080952628856825
332,0.2307630573165,0.0242705292689,5,415,0.0,0.24080952628856825
76,0.0354905980723,0.0508217884443,5,152,0.0,0.24080952628856825
412,0.1679986084728,0.0616208080442,5,128,0.0,0.24080952628856825
271,0.1844004240797,0.0401076360193,3,128,0.1090450818836689,0.1647679692589872
61,0.1457508729566,0.0555058021061,4,137,0.0,0.24080952628856825
725,0.5275737085407,0.0962149393336,3,78,0.017934687733650208,0.22579109877014072
277,0.2580150530882,0.0323903275914,5,409,0.0,0.24080952628856825
58,0.5867857075827,0.0912677296139,1,140,0.02660224735736847,0.23174991445949528
471,0.584515704842,0.0297661216774,1,140,0.10174673393368723,0.15401863066533722
35,0.5838425604998,0.03541609289,4,140,0.0324663133919239,0.219095767074809
271,0.5876873639169,0.0365467868053,4,141,0.057779809236526494,0.18863147358656343
313,0.4943773457039,0.0025848473367,3,885,0.11467682376503943,0.1631085447702214
34,0.5874513880423,0.0297441816645,4,143,0.018693760931491853,0.24080952628856825
48,0.5852151409104,0.0339413194121,4,141,0.007022787630558014,0.3343906073696493
63,0.1716312105518,0.0320075130999,4,140,0.008812121152877807,0.23574273679064098
66,0.1323946197726,0.0511502377161,3,123,0.04869971454143524,0.2292001896792316
879,0.0671543667951,0.0509307659955,5,110,0.0,0.24080952628856825
90,0.1773540760049,0.0448765443048,3,147,0.05903440311551093,0.20466132090383587
783,0.253668310274,0.0443973314854,2,151,0.11054798975586892,0.15641424578550328
54,0.3725842674952,0.0531369257612,5,117,0.0,0.24080952628856825
413,0.3918066842165,0.0672500965666,2,145,0.10004517793655396,0.15168450662462635
790,0.2895450489728,0.0187481627118,4,419,0.0,0.24080952628856825
635,0.3319483415232,0.0197587622436,4,406,0.0,0.24080952628856825
228,0.5897873412338,0.0912677296139,3,140,0.0,0.3423451528241948
325,0.5685300581524,0.0913263827641,5,143,0.0,0.24080952628856825
793,0.2500518198771,0.0072989042556,4,564,0.12439837753772735,0.16102098392517555
810,0.362167578914,0.0964437254689,3,64,0.07867189556360246,0.17296795560268616
233,0.1403210861211,0.0963619201493,3,67,0.047610230594873425,0.22284269582173777
197,0.2869903391837,0.0913432228166,3,68,0.04786213427782059,0.2286780766571186
915,0.2951589262888,0.0066119680367,4,325,0.11009156435728074,0.15896313119367014
416,0.1393130722443,0.0952189202954,3,64,0.1069753885269165,0.1564449158760536
976,0.3603359633198,0.0163222644592,1,278,0.11203355863690376,0.16522862892623372
242,0.5905515067664,0.0912677296139,2,140,0.01816756471991539,0.32975301523205713
454,0.1246000775699,0.0038598459083,4,160,0.1182346510887146,0.1709103386498596
242,0.4797371389878,0.0951214894487,1,139,0.10449916049838066,0.1547249717159897
538,0.5994564889509,0.0973911467274,2,140,0.0,0.3472591577381997
45,0.0319919820399,0.0159135345228,2,170,0.11105044439435004,0.15395708771457273
42,0.0651847675508,0.0160846370233,3,180,0.11144903987646104,0.15377285025488618
498,0.6579712863223,0.00944846031,4,146,0.09036572769284248,0.15767332750865684
242,0.5897690501845,0.0912677296139,2,140,3.967583179473877e-06,0.3423451528241948
168,0.5830774154653,0.0992146255296,2,615,0.0,0.24080952628856825
63,0.012869738333,0.0319310039828,5,106,0.04616621151566506,0.43357622309718125
63,0.0824348396564,0.0245140162263,5,107,0.031965926587581635,0.2157797898815863
63,0.2596916578983,0.0414829621867,4,152,0.0017954108119010927,0.23804539852444045
417,0.0943190748045,0.0198617285348,5,243,0.06968211725354195,0.18810960577427643
188,0.2461939552216,0.0409216311654,2,474,0.0,0.24080952628856825
63,0.1316420193496,0.0586541611469,4,109,8.046627044677735e-09,0.24080952628856825
224,0.7552909707741,0.0103131145387,3,584,0.05153975084424019,0.19569281867186059
805,0.3334198233134,0.0012575315579,3,213,0.110558712631464,0.17434971768804103
715,0.8032412702274,0.0084769161318,3,190,0.08358904883265494,0.172967733970728
364,0.2034449398154,0.0042526599584,2,495,0.11288350701332092,0.16596508362975426
733,0.1597686694848,0.031534156064,2,249,0.11875883996486665,0.15509351736896645
296,0.3073615378608,0.0006343167147,1,541,0.11057788833975793,0.15871729419633612
