batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,equalized_odds
810,0.2392112503072,0.0802647360814,5,77,0.24080952628856825,0.0
540,0.1126117643449,0.0042339443161,4,461,0.14938117527937886,0.16901143312454225
439,0.2026904396626,0.0900284402306,4,66,0.18988815036719228,0.08915705919265746
659,0.6213471081522,0.0060203559486,5,718,0.1763746368536788,0.1110073947906494
77,0.0691625239155,0.023591332448,5,74,0.16274042351886667,0.1316168141365051
752,0.2005588291397,0.0947539843401,5,68,0.20536726584630777,0.0712395191192627
1015,0.4866591524801,0.0082171451329,4,667,0.2073021552811972,0.04606226921081543
1015,0.4891000446151,0.008048240541,4,667,0.2215527695318115,0.02832030773162842
765,0.8709977608003,0.0602402620871,5,68,0.2297854206536841,0.017171516790986063
795,0.28773921133,0.022208267115,2,310,0.153128066301719,0.14909788846969604
