batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,equalized_odds,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.1830013132095337,0.1552162354557564
979,0.3596079321578,0.0535361448362,4,65,0.09115845769643785,0.19019802485371345
652,0.7642785040662,0.0014379647071,3,136,0.14576729536056518,0.16962044536894832
94,0.005704017356,0.0050831004951,3,339,0.17123714923858643,0.15346559762727427
241,0.9708397453651,0.0329667406801,4,407,0.0,0.3423451528241948
722,0.7798032268291,0.0601538199616,4,68,0.036914818286895745,0.23285498083402273
735,0.9664305804981,0.0886921765216,4,65,9.5367431640625e-09,0.44639920687824886
682,0.7654710891855,0.0565306395818,5,64,0.07391040235757827,0.2026673123230009
746,0.3876579753412,0.0736009443436,4,66,0.18057819843292236,0.1580725951234933
810,0.2392112503072,0.0802647360814,5,77,0.0,0.24080952628856825
688,0.9488916466662,0.0735338589873,4,71,2.8014183044433595e-08,0.44561553513649327
690,0.5440339694452,0.0702641330011,4,68,0.18288618326187134,0.15923894037666492
682,0.6923802443698,0.0972721902479,4,72,0.0,0.3472591577381997
735,0.8343819624128,0.0616301829279,5,69,0.024476239979267123,0.24080952628856825
765,0.8709977608003,0.0602402620871,5,68,0.017171516790986063,0.2297854206536841
765,0.8871652001507,0.0596397971042,5,244,0.0,0.6551364196573777
749,0.8613855820287,0.0633398551234,5,153,0.0,0.24080952628856825
797,0.8438396850396,0.0593135300733,5,226,0.0,0.44879478427382624
722,0.799113012982,0.0611073249603,5,68,0.010517688393592834,0.33693974741878935
277,0.0788153739624,0.0011246047718,1,788,0.1697868061065674,0.15236009741997766
895,0.7897473442105,0.011623077444,1,411,0.12676765441894533,0.1735824750046307
597,0.4199483890762,0.0062957704128,3,1002,0.0321527910232544,0.2218598948389368
765,0.8718642409717,0.0604803919726,5,69,4.291534423828125e-08,0.44879478427382624
751,0.872458571218,0.0608970078175,5,77,1.1026859283447265e-08,0.4481339626549207
752,0.8686459427421,0.0609185486699,5,160,0.0,0.34388077935982125
758,0.8683313820415,0.0602393949939,5,248,0.0,0.34486358034262227
749,0.8693052025346,0.0608389923809,5,73,0.013873969912528991,0.24080952628856825
758,0.8676082606314,0.0601819286273,5,149,0.0,0.34388077935982125
758,0.8678028932072,0.0607767696475,5,72,1.9669532775878904e-08,0.4481339626549207
497,0.4323787825414,0.0004186695981,1,866,0.15943665981292726,0.1524215932150064
59,0.8696507396581,0.0951352473349,5,163,0.0,0.45052954005049817
242,0.5897873412338,0.0912677296139,2,140,0.0320245623588562,0.22886418619951554
126,0.8695300967526,0.0666047454187,5,163,0.0,0.5536007931217511
270,0.8686459427421,0.0706048972478,5,157,0.0,0.4503304108094527
49,0.8681134052391,0.0866168266143,5,154,0.0,0.24080952628856825
339,0.8688751835397,0.0630548825328,5,164,0.0,0.5494704599495018
38,0.8695196230458,0.0765612470202,5,217,0.0,0.24080952628856825
150,0.1948854214592,0.0912677296139,3,140,0.0,0.24080952628856825
150,0.021491809471,0.0066722590123,1,1007,0.16399112224578855,0.1515923265923266
203,0.836270266563,0.0026409543209,5,612,0.14836369037628175,0.1876786542205704
144,0.3408152830461,0.0063050345413,1,1014,0.16265400886535647,0.15291295126624468
417,0.3315852291925,0.0064421356162,1,1002,0.16951629400253293,0.15420283983158234
144,0.3404418159244,0.0060221103654,1,1001,0.20500032901763915,0.1546635136455496
169,0.3563664281914,0.0061675450157,1,1001,0.182858464717865,0.15444859666416552
228,0.1060518039119,0.0060234406327,1,1004,0.18541855812072755,0.15490917145108762
583,0.474238934983,0.0005284158525,5,1002,0.17983145713806153,0.15159245391281317
588,0.6646375039868,0.0002003008104,5,1011,0.160931715965271,0.15512426290869402
587,0.4596103861066,0.000898793293,5,1013,0.1801623249053955,0.15361933947263287
539,0.4096195582972,0.0014614146338,2,269,0.16489754199981688,0.15340440362895452
592,0.6458390592269,0.0022097086229,5,1017,0.17159251213073728,0.15880904039586674
585,0.4816890191498,0.0008278079889,5,916,0.15817182540893554,0.1518995886510856
603,0.4173617770976,0.0009061946842,5,977,0.18299794912338258,0.154018644812058
582,0.0387496336331,0.0003356147463,1,83,0.18298434019088744,0.15349647048748843
765,0.8709977608003,0.0602402620871,3,69,0.044964938461780554,0.2258832363622783
765,0.8695327979127,0.0604803919726,4,69,0.012208436131477356,0.34486358034262227
838,0.8202190247664,0.0771724358956,3,445,0.0,0.3423451528241948
816,0.8290443211965,0.0794199632871,4,120,0.0,0.44879478427382624
795,0.8314507315543,0.0774083435728,5,140,0.0,0.4471511616721197
