batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,demographic_parity
597,0.4199483890762,0.0062957704128,3,1002,0.24080952628856825,0.0
582,0.0387496336331,0.0003356147463,1,83,0.14830625556673463,0.11387089252471923
69,0.4288076648845,0.0997175292818,1,78,0.19821218930500367,0.04233715116977692
271,0.5876873639169,0.0365467868053,4,141,0.18863147358656343,0.057779809236526494
419,0.5107304613663,0.0683881801921,3,82,0.17812803329270394,0.07459334492683412
693,0.6565358806926,0.0010238747474,2,73,0.15536985469620201,0.09555547937750816
64,0.3997374797799,0.0411935636404,4,117,0.21538116830032994,0.027668732255697253
51,0.8442618866271,0.0007112140015,4,67,0.16489042327365683,0.08261358663439751
57,0.1273017726982,0.0315018021339,4,135,0.23325541791110654,0.004263911247253419
242,0.5897873412338,0.0912677296139,2,140,0.22241272039176235,0.0142996820807457
