batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,demographic_parity
597,0.4199483890762,0.0062957704128,3,1002,0.2362262760272711,0.0
582,0.0387496336331,0.0003356147463,1,83,0.14933972114734967,0.09459625408053399
62,0.8283785530705,0.0002219606956,2,73,0.17695473251028804,0.0010468080639839173
869,0.3577941791914,0.0001144897283,1,85,0.1580246913580247,0.032679522037506105
191,0.8271047464557,0.000226286881,4,72,0.15881088385234324,0.006758740544319153
733,0.1597686694848,0.031534156064,2,249,0.15087525336281554,0.08366335406899453
296,0.3073615378608,0.0006343167147,1,541,0.15470794177261835,0.058206775784492494
917,0.2528729324812,0.0002112474838,2,84,0.15252134389779495,0.06602723896503448
185,0.4117844063439,0.0002301869379,1,228,0.15576438793685887,0.03777009695768356
177,0.846181992045,0.0002197933204,5,461,0.162017075118236,0.003649577498435974
