batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,demographic_parity,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.013471722602844238,0.15927768564584485
297,0.6205646954477,0.000210147218,2,697,0.011015835404396056,0.16204164363368348
979,0.3596079321578,0.0535361448362,4,65,0.027578313648700715,0.17475585037774094
979,0.3596079321578,0.0535361448362,4,65,0.026163487136363982,0.1771021436029728
652,0.7642785040662,0.0014379647071,3,136,0.003076687455177307,0.1636017443645968
652,0.7642785040662,0.0014379647071,3,136,0.004905305802822113,0.1641913887353357
94,0.005704017356,0.0050831004951,3,339,0.09524585008621216,0.1512192125790799
94,0.005704017356,0.0050831004951,3,339,0.09922034442424774,0.15215281616608314
241,0.9708397453651,0.0329667406801,4,407,0.0,0.6582642343836373
241,0.9708397453651,0.0329667406801,4,407,0.0,0.4472452552054542
775,0.7592739387612,0.0016740903288,4,80,0.004092119634151459,0.16152570480928694
775,0.7592739387612,0.0016740903288,4,80,0.005072374641895294,0.16304895276702908
543,0.973513683957,0.0018663081347,5,104,5.620718002319336e-06,0.2362262760272711
543,0.973513683957,0.0018663081347,5,104,5.75333833694458e-06,0.2362262760272711
914,0.8606858557192,0.0018573703421,3,77,0.004441149532794952,0.1666482402800811
914,0.8606858557192,0.0018573703421,3,77,0.0049378260970115665,0.16640255512560656
563,0.7748584189864,0.0018165520065,4,64,0.003227280080318451,0.1651004238068915
563,0.7748584189864,0.0018165520065,4,64,0.008118049800395965,0.1616608316442479
863,0.9122885651702,0.0017083409473,5,76,0.003634129464626312,0.18035747189976045
863,0.9122885651702,0.0017083409473,5,76,0.004374383389949799,0.17812173699404216
506,0.8195211828178,0.0020245762113,3,68,0.004817833006381988,0.16409311467354587
506,0.8195211828178,0.0020245762113,3,68,0.004580095410346985,0.16474418033290342
665,0.8817968216666,0.0016503280769,4,72,0.004122641682624817,0.16780296050611143
665,0.8817968216666,0.0016503280769,4,72,0.005034250020980835,0.17190590258583624
652,0.9446188238338,0.0017186892717,3,127,0.0015587806701660156,0.2067686260057736
652,0.9446188238338,0.0017186892717,3,127,0.0018523424863815308,0.19905411215527302
