batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,equalized_odds
241,0.9708397453651,0.0329667406801,4,407,0.24080952628856825,0.0
435,0.6182493089424,0.0313142741224,3,206,0.14812198981360658,0.09283087700605393
52,0.7659945909901,0.0185579502401,4,220,0.1827039457278978,0.03890727609395981
36,0.9717285383771,0.0001666931806,2,476,0.1511931014176523,0.05686108693480492
32,0.9627838651902,0.016111679061,4,385,0.2075195290764153,0.02578902244567871
37,0.9612443466824,0.0155070489815,5,211,0.20432573711016824,0.03633680939723699
44,0.9477721104733,0.0163189536698,4,398,0.22385625177541346,0.016113124787807465
34,0.9641099470293,0.0003420301416,1,470,0.14861337144271275,0.0715253360569477
47,0.7484080294203,0.0470167378181,4,109,0.23540412088316282,0.01609640717506409
41,0.9649712479993,0.0176533760232,4,384,0.23626407174311365,0.0008848071098327637
