batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,equalized_odds,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.08878233134746552,0.1706026616206257
979,0.3596079321578,0.0535361448362,4,65,0.10456336438655853,0.15137744733553118
652,0.7642785040662,0.0014379647071,3,136,0.09309017956256867,0.16320122936889403
94,0.005704017356,0.0050831004951,3,339,0.09180590063333512,0.16034560533063527
241,0.9708397453651,0.0329667406801,4,407,0.0,0.24080952628856825
42,0.9933030642523,0.0004873791211,2,466,0.0771022081375122,0.15183792309540808
36,0.9717285383771,0.0001666931806,2,476,0.05686108693480492,0.1511931014176523
74,0.9954590644997,0.0003495336624,3,494,0.09049969315528869,0.15364983508696087
51,0.9569765073573,0.0003648505549,2,663,0.10684282630681992,0.15371162796312499
61,0.9369592101757,0.0002311945477,1,500,0.08929424732923508,0.15088602798183634
48,0.9954303660014,0.0004953831954,2,547,0.06269245371222495,0.15328144033233854
76,0.9581292583551,0.0004791359911,3,506,0.09306657463312148,0.15988472874700418
37,0.9667103973162,0.0135092624174,2,688,0.06053280383348465,0.1902896908884933
36,0.9972077895368,0.0001329005521,3,490,0.07812960967421531,0.1522988043946128
33,0.9989815642948,0.0001279825577,2,506,0.07628918886184692,0.1503332684470409
35,0.9951249104638,0.0001175072024,1,485,0.06860883980989456,0.1510087885087885
33,0.9948708048061,0.0001070438135,4,476,0.07016724422574043,0.15211440188985098
34,0.2430146207278,0.0001480469374,3,475,0.09139353334903717,0.17723667199715104
34,0.9997232632607,0.0001296328759,4,356,0.060859502851963045,0.15469433935002802
277,0.0788153739624,0.0011246047718,1,788,0.10526946634054184,0.1735510740001758
895,0.7897473442105,0.011623077444,1,411,0.10962561964988708,0.1544485164994147
597,0.4199483890762,0.0062957704128,3,1002,0.0,0.24080952628856825
50,0.9650268067942,0.0048466986353,4,360,0.0797175109386444,0.15315872224554858
50,0.9708397453651,0.0095649375498,4,376,0.09412783235311509,0.1513773341617653
50,0.970811179447,0.0005893912288,5,356,0.06822929456830025,0.156537011028029
50,0.964646808097,0.0175172040595,4,375,0.0009277045726776123,0.2380151151109235
44,0.9667446830353,0.0004614675765,3,66,0.07555583119392395,0.1522987761011713
35,0.9631061703861,0.0002902782768,3,228,0.0700425609946251,0.15408000385545295
46,0.9670181894098,0.0003550859802,3,177,0.07744716852903366,0.15048682638502997
497,0.4323787825414,0.0004186695981,1,866,0.09952738583087921,0.15638331633840616
38,0.9624687351707,0.090306014052,5,375,0.0,0.24080952628856825
242,0.5897873412338,0.0912677296139,2,140,0.0,0.24080952628856825
217,0.9646461272254,0.0707039958465,5,388,0.0,0.24080952628856825
404,0.9614878566789,0.0586091971186,3,874,0.0,0.24080952628856825
239,0.9625631508912,0.0251805340494,3,871,0.0,0.24080952628856825
186,0.9604077208564,0.0237131843062,3,843,0.0,0.24080952628856825
691,0.9659428425522,0.0200758207185,3,818,0.0,0.24080952628856825
33,0.9775063268881,0.0002122724431,1,476,0.07535605132579803,0.15205301455301454
34,0.9732424720619,0.00034210782,1,478,0.06597208380699157,0.15024116386391836
203,0.836270266563,0.0026409543209,5,612,0.12059595137834549,0.15791922580844736
34,0.9750350481489,0.0004057659071,2,476,0.0608417809009552,0.1513466121999056
34,0.9651086557076,0.0001620213851,1,474,0.06542714834213256,0.1502718056610272
35,0.9623809481679,0.0001623130246,1,469,0.06139736101031303,0.15134665464006783
34,0.9641099470293,0.0003420301416,1,470,0.0715253360569477,0.14861337144271275
494,0.9633989693421,0.0005410404091,1,550,0.08638106733560562,0.15481710930812725
45,0.9719627148027,0.0001777318264,2,502,0.08217925950884819,0.15358871182224473
43,0.9719519972453,0.0001781542452,2,477,0.08620235919952393,0.15107043520217173
36,0.9712807210846,0.0001802279379,2,485,0.07154689952731133,0.15318934518036315
539,0.4096195582972,0.0014614146338,2,269,0.09675159007310867,0.17837299319335248
41,0.9717285383771,0.000174083658,2,476,0.06691515818238258,0.15257515586856907
42,0.9719385650858,0.0001834288153,2,492,0.08162614479660987,0.15279022374830756
44,0.9718083212624,0.0001791794489,2,474,0.08011434972286224,0.15097823159200402
582,0.0387496336331,0.0003356147463,1,83,0.10086470693349839,0.14916610268406674
37,0.9756138987586,0.0001666931806,2,476,0.06560104340314865,0.15079381494052152
37,0.9746731775732,0.0001648570047,2,476,0.07139571756124496,0.15193023987934168
36,0.975434595162,0.0001660902051,2,71,0.06563523635268212,0.15131594210935528
36,0.9759233951642,0.0001639644964,2,114,0.0712832823395729,0.15269793054224193
36,0.9757632657526,0.0001690805495,2,66,0.07059082314372063,0.15030245217370963
526,0.1558490208903,0.0010597119829,3,71,0.10108285993337632,0.16713252289599595
36,0.9748880816511,0.0001668075572,2,70,0.06919666081666946,0.15079381022494795
900,0.4300912433377,0.0152683361273,5,574,0.0,0.24080952628856825
36,0.9717285383771,0.0001666846817,5,350,0.07446371018886566,0.153496352598149
36,0.9720359839336,0.0001667199234,5,68,0.09273111671209336,0.15229878553231846
36,0.9717099927327,0.0001662607615,5,115,0.060442137718200686,0.15189945661502546
36,0.9737475529046,0.0001666931806,5,355,0.07677848637104034,0.15193019743917946
921,0.0402320288874,0.0695202977577,2,410,0.0,0.24080952628856825
217,0.6966025769503,0.0609459009151,5,409,0.0,0.24080952628856825
37,0.9710625185925,0.0001651273652,5,370,0.06993189975619316,0.15325075609506747
435,0.6182493089424,0.0313142741224,3,206,0.09283087700605393,0.14812198981360658
193,0.4888227212062,0.0678987026873,5,198,0.0,0.24080952628856825
67,0.9879686146324,0.0177335628692,2,383,0.09438509196043014,0.153742189595483
58,0.9707361660768,0.0175172040595,1,375,0.11777662336826325,0.15392640819287526
962,0.1658029844256,0.0009078367561,5,387,0.09584458023309708,0.18009292792226922
48,0.973985648802,0.017285322144,3,381,0.08005644530057907,0.2174987154777574
632,0.2859097380484,0.0213235547463,3,145,0.10287106484174728,0.1523909042621617
63,0.9819574779834,0.0174731632722,2,375,0.08503432869911194,0.15285137530646514
41,0.9649712479993,0.0176533760232,4,384,0.0008848071098327637,0.23626407174311365
34,0.9717285383771,0.0001666931806,2,476,0.07904907539486886,0.1517153087512369
34,0.9704907744525,0.0001667534622,2,76,0.06520067751407624,0.1516844971934792
35,0.9717285383771,0.0002082601474,3,77,0.06529311016201973,0.15570776798321712
917,0.2528729324812,0.0002112474838,2,84,0.10389454811811447,0.14928904240281485
35,0.9717567255198,0.0009511315766,3,426,0.056937335431575774,0.15404932433375546
869,0.3577941791914,0.0001144897283,1,85,0.11234604269266128,0.15180741804993306
35,0.9722521664196,0.0002103203161,3,84,0.06470973491668701,0.15162300139845047
603,0.7481965207707,0.050363997522,2,431,0.0,0.24080952628856825
36,0.9717285383771,0.000102425063,1,476,0.07577312737703323,0.15137735773963318
36,0.9729531462868,0.0005659202804,2,477,0.06976853758096695,0.1518073143073143
959,0.0099039525899,0.0001330037572,5,856,0.10164305418729783,0.17560875697103243
36,0.9715860368178,0.0013166145547,3,422,0.06875616312026978,0.14919688123280936
36,0.9735725928337,0.0113718771246,3,423,0.08840529471635819,0.15199159892273664
34,0.9714725317465,0.00095513597,4,324,0.0727046936750412,0.1533735401998875
35,0.9715304597217,0.0008299499384,4,299,0.07797271236777306,0.15057890267471105
501,0.4344636044526,0.0343406853747,4,551,0.0,0.24080952628856825
35,0.9717480162722,0.0009511315766,5,426,0.07355461791157722,0.15070163019264815
33,0.9720611541224,0.0021702690408,4,429,0.07585765644907952,0.15168453963364142
355,0.9137569290511,0.034912055568,1,196,0.108420629799366,0.15122385638852703
33,0.398135311761,0.001977711115,4,426,0.08828868567943574,0.16581232262369988
33,0.6464960415679,0.0012798015594,3,427,0.08315052390098572,0.1629243780441385
103,0.2833626254686,0.0005003261748,1,490,0.0994984894990921,0.16657977279234765
36,0.971503815882,0.0001675108294,2,476,0.07009262517094612,0.15189952263305556
588,0.7587445757974,0.0613532539103,5,787,0.0,0.24080952628856825
50,0.9697943470546,0.0178792514096,1,384,0.09440071731805802,0.15177669137249977
105,0.5175676044407,0.0804624104669,2,720,0.0,0.24080952628856825
34,0.9677425091207,0.0179236876413,3,384,0.04866106659173965,0.2011618513115519
50,0.9679790318638,0.0180721549101,5,871,0.0,0.24080952628856825
129,0.9661947527459,0.0179311123667,1,918,0.09517817795276642,0.17330616125526305
206,0.9756937119384,0.0437257366369,5,385,0.0,0.24080952628856825
50,0.4610743391223,0.0176312140482,1,392,0.09139837771654129,0.15466340047178373
41,0.9762526787521,0.0303209630457,5,388,0.0,0.24080952628856825
42,0.9620403627831,0.0176533760232,4,384,0.05971392393112183,0.3354049036683767
47,0.7213761431855,0.0178053902924,4,385,0.01816020905971527,0.22302697100601296
62,0.9620241382334,0.0163044777337,4,386,0.04178155958652496,0.2042949962860142
58,0.9624616500287,0.0170333870046,4,401,0.0,0.24080952628856825
64,0.5835049727853,0.0169812827186,4,384,0.0,0.24080952628856825
53,0.9588981264057,0.0166463696207,4,417,0.0,0.24080952628856825
63,0.9594796408589,0.0167423889239,4,398,0.052562476694583894,0.18697045994950184
55,0.7295471222311,0.0172193100054,4,948,0.0,0.24080952628856825
62,0.9620241382334,0.0140586104956,4,386,0.09989052563905716,0.15331234620156778
62,0.9619102141471,0.0005582627093,5,89,0.09297641813755035,0.15383434133434132
62,0.9619629150955,0.0011062248802,5,142,0.0902938723564148,0.15051757192475754
62,0.9601627831605,0.0057170928043,5,121,0.09963496923446655,0.14944250602933237
36,0.9613766612322,0.0179236876413,1,118,0.059299039840698245,0.15174586566802134
62,0.9604088267756,0.0015744266171,5,65,0.07871252000331878,0.15143882052564686
62,0.9616294552305,0.0006564628695,4,166,0.08594399690628052,0.15819531321028327
62,0.9615795406961,0.0008515422778,4,171,0.07458136826753617,0.15165375636932524
52,0.6582660775869,0.0177689249282,4,237,0.08315153419971466,0.18973503097754596
52,0.6347015235923,0.0179141700718,4,226,0.08682335391640664,0.17305919723584395
