batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,demographic_parity
597,0.4199483890762,0.0062957704128,3,1002,0.24080952628856825,0.0
582,0.0387496336331,0.0003356147463,1,83,0.14925833458767593,0.10322389885783197
979,0.3596079321578,0.0535361448362,4,65,0.15742751408919076,0.0751914519071579
153,0.9331455374383,0.0001545885732,1,65,0.23144244963107238,0.027054881900548933
154,0.9153966264769,0.0001520314788,5,65,0.1980279565608907,0.034872065633535385
203,0.836270266563,0.0026409543209,5,612,0.16126659457497777,0.04751858070492744
164,0.9012146587657,0.0001574324298,5,65,0.1789867958281132,0.04113237008452416
153,0.9132183103354,0.0001113860436,5,69,0.19452715717685778,0.03888574749231338
147,0.8733535009595,0.0001353600343,5,64,0.17017270505294457,0.04466508656740189
194,0.9505389133231,0.000166578832,1,64,0.24074810122714316,0.016015729308128356
