batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,demographic_parity,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.07377124652266502,0.1760385484936383
979,0.3596079321578,0.0535361448362,4,65,0.0751914519071579,0.15742751408919076
652,0.7642785040662,0.0014379647071,3,136,0.05990987196564675,0.1648902157884194
94,0.005704017356,0.0050831004951,3,339,0.1090312910079956,0.1673780486654738
241,0.9708397453651,0.0329667406801,4,407,0.0,0.34486358034262227
882,0.82061925561,0.0011485772284,5,79,0.05445495754480363,0.16212605973085017
928,0.9753121523757,0.0006342696641,5,73,0.0008298802375793456,0.24080952628856825
913,0.9137434878016,0.0014289002498,4,77,0.042206109762191774,0.17686796129909904
948,0.9031858154948,0.0001442278885,5,69,0.041816234141588214,0.1758237305392994
884,0.755703272663,0.000420054117,4,70,0.05772473484277725,0.16234140111385623
878,0.7514787992957,0.0004976745322,5,64,0.05000500246882439,0.16458330268210508
874,0.7615342868282,0.000449104415,5,71,0.053320562839508055,0.16406134527392013
921,0.7251710850363,0.0007744742787,4,71,0.05574330538511276,0.16439915953389003
915,0.8954889395418,0.000152689258,5,65,0.04454591125249862,0.17140142791340396
154,0.9153966264769,0.0001520314788,5,65,0.034872065633535385,0.1980279565608907
164,0.9012146587657,0.0001574324298,5,65,0.04113237008452416,0.1789867958281132
153,0.9132183103354,0.0001113860436,5,69,0.03888574749231338,0.19452715717685778
147,0.8733535009595,0.0001353600343,5,64,0.04466508656740189,0.17017270505294457
462,0.8792221056282,0.0001457585795,5,67,0.04637112811207772,0.1678077977479175
277,0.0788153739624,0.0011246047718,1,788,0.10390564218163492,0.17011132714725527
895,0.7897473442105,0.011623077444,1,411,0.05436474502086639,0.16532032325445498
597,0.4199483890762,0.0062957704128,3,1002,0.0,0.24080952628856825
282,0.9988200542531,0.0013729650476,5,94,2.1576881408691407e-07,0.24080952628856825
527,0.9925990102667,0.038940019905,5,96,9.745359420776369e-08,0.24080952628856825
301,0.9828596085069,0.0018799265934,5,100,7.50720500946045e-07,0.24080952628856825
59,0.9748671131295,0.0137107321513,5,107,2.1755695343017578e-08,0.24080952628856825
58,0.9904279279893,0.001326041783,5,95,2.5033950805664065e-08,0.24080952628856825
36,0.9807325610821,0.0107527661104,5,100,2.2649765014648438e-08,0.24080952628856825
54,0.972686129744,0.0003694766962,5,72,2.250075340270996e-07,0.24080952628856825
497,0.4323787825414,0.0004186695981,1,866,0.07779749870300293,0.16363121423001664
87,0.9722842659677,0.0111345260253,3,952,0.0,0.5512052157261738
242,0.5897873412338,0.0912677296139,2,140,0.0,0.24080952628856825
84,0.9738546239387,0.0276339083625,1,988,0.0,0.4503304108094527
90,0.9730572026986,0.0081177990498,2,961,1.7881393432617187e-08,0.24080952628856825
34,0.9734936466897,0.0562332068021,3,1009,0.0,0.5486867882077463
81,0.9740866645116,0.0019652883437,2,972,2.920627593994141e-08,0.24080952628856825
37,0.9719451908286,0.0011123443156,2,1004,1.606345176696777e-07,0.24080952628856825
164,0.9498162286622,0.0001394596829,1,65,0.014435999095439911,0.24080952628856825
153,0.9812657943407,0.0001618112396,1,65,0.0007626062631607056,0.24080952628856825
203,0.836270266563,0.0026409543209,5,612,0.04751858070492744,0.16126659457497777
167,0.9611420014131,0.0001575429004,1,64,0.008002493977546692,0.24080952628856825
194,0.9505389133231,0.000166578832,1,64,0.016015729308128356,0.24074810122714316
154,0.9275241970724,0.0001596813016,1,64,0.028959702253341674,0.2319031706007754
153,0.9331455374383,0.0001545885732,1,65,0.027054881900548933,0.23144244963107238
532,0.9950206123621,0.0001392002249,1,64,0.0007698649168014526,0.24080952628856825
40,0.9338553051791,0.0005216289437,3,77,0.013304132223129272,0.24080952628856825
51,0.9337888339893,0.0035930807564,5,65,0.014507349878549578,0.24080952628856825
63,0.9329630564977,0.0065356824811,2,72,0.019152911603450774,0.23844466142370332
539,0.4096195582972,0.0014614146338,2,269,0.08562221989035608,0.17499481286906438
34,0.9328052795594,0.0030246524722,5,86,0.013467523008584979,0.24080952628856825
54,0.9315640649955,0.0002930566091,3,68,0.020422439575195316,0.23835252383156574
38,0.9333241908043,0.0026719883851,1,76,0.016764301359653472,0.24041026338930532
582,0.0387496336331,0.0003356147463,1,83,0.10322389885783197,0.14925833458767593
