batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,demographic_parity
94,0.005704017356,0.0050831004951,3,339,0.03814792703150911,0.024927279044389725
597,0.4199483890762,0.0062957704128,3,1002,0.05903767090473559,0.0
526,0.1558490208903,0.0010597119829,3,71,0.0379282255389718,0.022109124835133553
136,0.8355666955509,0.0009444311544,4,71,0.039875162459308396,0.0008828649199008942
199,0.8660369061649,0.0458767636523,5,87,0.0583601203857257,5.4566006660461434e-05
203,0.836270266563,0.0026409543209,5,612,0.04073651495608378,0.0013497095012664794
156,0.8663609564595,0.0014661743596,3,78,0.03927853080277624,0.002467999461889267
161,0.8436514848899,0.0008488907056,5,617,0.03991965112708065,0.00181393972158432
160,0.8469366776796,0.0006575597249,5,621,0.04034215097352743,0.002453988002538681
397,0.8701002290122,0.0015859121599,3,78,0.040332598734721455,0.0018060149478912354
