batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,demographic_parity,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.024374453723430632,0.15876174682144834
297,0.6205646954477,0.000210147218,2,697,0.016745592653751373,0.16136600945887847
979,0.3596079321578,0.0535361448362,4,65,0.029821175336837768,0.1891407161722253
979,0.3596079321578,0.0535361448362,4,65,0.05694432854652405,0.15517474356612
652,0.7642785040662,0.0014379647071,3,136,0.006143642961978913,0.16243473988084273
652,0.7642785040662,0.0014379647071,3,136,0.010476504266262055,0.1616485473865242
94,0.005704017356,0.0050831004951,3,339,0.09357359409332275,0.1509121061359867
94,0.005704017356,0.0050831004951,3,339,0.10025347098708152,0.15137890792948833
241,0.9708397453651,0.0329667406801,4,407,0.0,0.5527547447945458
241,0.9708397453651,0.0329667406801,4,407,0.0,0.34173576561636265
908,0.0789517090449,0.0005898728748,5,76,0.09059145674109459,0.1508261163319206
908,0.0789517090449,0.0005898728748,5,76,0.08983051478862762,0.1520545421042933
612,0.1457728764308,0.0016850478837,3,64,0.0850542776286602,0.15247220686690005
612,0.1457728764308,0.0016850478837,3,64,0.085926603525877,0.15169829863030523
782,0.1995735463689,0.001322242554,4,96,0.0788503959774971,0.15421657146366927
782,0.1995735463689,0.001322242554,4,96,0.08014212921261787,0.15393403353602356
590,0.0241508637081,0.0009132026021,5,106,0.09718499109148979,0.15895829494502794
590,0.0241508637081,0.0009132026021,5,106,0.09894737824797631,0.15642773785394018
574,0.2050195678851,0.0004873263366,5,109,0.07943662777543067,0.15284073459861186
574,0.2050195678851,0.0004873263366,5,109,0.07461176291108132,0.155039616731159
585,0.1180797542648,0.000369927075,3,153,0.09150551930069924,0.15234936428966278
585,0.1180797542648,0.000369927075,3,153,0.08622819110751152,0.15239850132055768
598,0.1560126723847,0.0003046972098,4,93,0.08624969348311425,0.15252134389779495
598,0.1560126723847,0.0003046972098,4,93,0.08336725011467934,0.15196855230022724
967,0.1555181124017,0.0010576882442,3,66,0.08487854227423668,0.15230022725876785
967,0.1555181124017,0.0010576882442,3,66,0.0894555240869522,0.15231251151649158
620,0.7622198389153,0.0033992688475,5,117,0.0033233240246772766,0.16403169338492724
620,0.7622198389153,0.0033992688475,5,117,0.008619362115859985,0.16206621214913092
629,0.7425410821468,0.0009905412522,4,73,0.004983961582183838,0.16244702413856646
629,0.7425410821468,0.0009905412522,4,73,0.005204789340496063,0.16266814077759353
641,0.8181822091506,0.0047816553555,5,78,0.005235698819160461,0.16564093114673548
641,0.8181822091506,0.0047816553555,5,78,0.0053693711757659916,0.16313494257109518
612,0.8594660992058,0.0006646698863,5,78,0.006242623925209046,0.16370001842638662
612,0.8594660992058,0.0006646698863,5,78,0.004994745552539826,0.16302438425158164
621,0.8837616137414,0.0011729334163,5,69,0.0025894805788993836,0.1713408267305448
621,0.8837616137414,0.0011729334163,5,69,0.0036036595702171326,0.167508138320742
641,0.9659264457484,0.0030103728695,4,82,0.0008349195122718811,0.23518211412075427
641,0.9659264457484,0.0030103728695,4,82,0.0022519469261169434,0.23518211412075427
277,0.0788153739624,0.0011246047718,1,788,0.0946172371506691,0.15134205515631716
277,0.0788153739624,0.0011246047718,1,788,0.09365651607513428,0.15134205515631716
