batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,equalized_odds
888,0.5991786039942,0.0976389143927,5,114,0.24080952628856825,0.0
582,0.0387496336331,0.0003356147463,1,83,0.1491660791061989,0.10777419328689575
791,0.3056497669358,0.0698696155079,5,76,0.2233033837824257,0.010871972441673278
351,0.1206294440081,0.0693769151499,5,67,0.19047451307930352,0.0445639282464981
600,0.3046386052881,0.0675775955235,5,76,0.20828756869176032,0.022180068492889407
468,0.3596344888438,0.0639658164354,5,67,0.17536370747448593,0.053521685600280755
273,0.4484572797213,0.0644504261728,4,78,0.20205055302360692,0.032517458200454714
261,0.4571866876217,0.0634800847302,5,77,0.17265842063746256,0.06882175862789154
282,0.1604725321483,0.0390321381149,5,67,0.15672097026887447,0.07338464379310608
900,0.0639793304,0.0493683630047,5,74,0.1516231758746729,0.0853661561012268
