batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,equalized_odds,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.2072522211074829,0.17462604086855588
979,0.3596079321578,0.0535361448362,4,65,0.1385403871536255,0.1553390855786065
652,0.7642785040662,0.0014379647071,3,136,0.15820939540863038,0.16166591406112366
94,0.005704017356,0.0050831004951,3,339,0.18548933744430543,0.1600998249201842
241,0.9708397453651,0.0329667406801,4,407,0.0,0.3423451528241948
622,0.8568572314948,0.0607422460238,2,72,0.133412047624588,0.1698657023507323
716,0.8037138599283,0.0805060384366,2,77,0.14110421657562255,0.1851295471804454
644,0.7120836233398,0.0928313523635,1,76,0.1538331913948059,0.16307847355751545
754,0.7524869452083,0.0801094595873,1,65,0.168438355922699,0.16209567257471447
626,0.7936666506896,0.0975958355484,1,77,0.14780799627304078,0.18236547128762698
630,0.7105618877182,0.0599834405316,2,72,0.16135282039642335,0.16270997977584806
822,0.9982338942063,0.0644237612142,5,72,0.0,0.24080952628856825
668,0.7354281210155,0.0608255427758,1,64,0.16578473091125487,0.16823803253443975
814,0.9868429610243,0.0071865587321,5,339,1.9639730453491213e-06,0.24080952628856825
823,0.9984118986033,0.0203253620765,5,256,0.0,0.4503304108094527
800,0.9857405158291,0.0007596047898,4,220,4.9677193164825436e-05,0.24080952628856825
809,0.9985959018453,0.0327357719214,5,276,0.0,0.5512052157261738
867,0.9921817347454,0.0063365526329,4,378,2.99602746963501e-06,0.24080952628856825
824,0.9952179187239,0.0005357684061,4,287,2.20218300819397e-05,0.24080952628856825
277,0.0788153739624,0.0011246047718,1,788,0.20947901964187624,0.1691284365685563
895,0.7897473442105,0.011623077444,1,411,0.15848987102508544,0.1671019424013436
597,0.4199483890762,0.0062957704128,3,1002,0.0,0.24080952628856825
72,0.9982396668878,0.0078840151866,5,75,4.7385692596435556e-08,0.24080952628856825
544,0.9939972393778,0.0077790629058,5,68,3.618001937866211e-07,0.24080952628856825
372,0.9955769960211,0.0071865587321,5,81,1.1414289474487306e-07,0.24080952628856825
234,0.996368349374,0.0070260805618,5,67,5.811452865600586e-08,0.24080952628856825
53,0.993828336181,0.0075674061442,5,64,4.202127456665039e-08,0.24080952628856825
365,0.9954914301168,0.0072227324441,5,70,1.162290573120117e-07,0.24080952628856825
49,0.9950826963879,0.0075310467016,5,70,3.874301910400391e-08,0.24080952628856825
497,0.4323787825414,0.0004186695981,1,866,0.1729607105255127,0.1640305431473096
