batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,equalized_odds,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.08077561184763908,0.1725684097690086
979,0.3596079321578,0.0535361448362,4,65,0.05230817496776581,0.1530664431862037
652,0.7642785040662,0.0014379647071,3,136,0.09833689332008362,0.1662112318549444
94,0.005704017356,0.0050831004951,3,339,0.08944251984357834,0.16467527522916744
241,0.9708397453651,0.0329667406801,4,407,0.0,0.3440799086008667
827,0.1194194163565,0.0958311873318,2,70,0.04391572847962379,0.18359481188822507
920,0.0758544523056,0.0567198551301,5,65,0.07021892592310905,0.15208378367061
815,0.0760259022116,0.0550605853561,3,92,0.08858611434698105,0.15328147334135359
832,0.0798441542578,0.0544284421814,1,70,0.08550297170877456,0.15555427606325806
867,0.1139513327685,0.0555387875083,1,68,0.09618369042873383,0.15070169621067825
834,0.0049882533288,0.0828987285482,3,64,0.09900003597140312,0.1690371524952363
848,0.5489291876781,0.0884395529279,5,73,0.0,0.24080952628856825
880,0.5103770031929,0.0566064495506,2,72,0.08079141974449158,0.1639381367674781
657,0.0305806948979,0.0983058640916,3,66,0.10157822668552399,0.15441762949247978
585,0.0214903493498,0.0947046495817,2,66,0.09852951318025589,0.15159233130790015
614,0.0279856962126,0.098665374473,1,68,0.0848773591220379,0.1506710355512751
57,0.0536271476387,0.0996786825205,1,66,0.0444176122546196,0.20506080071948335
79,0.0751884864785,0.0973219250124,2,68,0.048731853067874906,0.23832219326231305
41,0.0552171048629,0.0995594975361,2,65,0.045587293803691864,0.23853680373141453
277,0.0788153739624,0.0011246047718,1,788,0.09600030332803726,0.17054138745755512
895,0.7897473442105,0.011623077444,1,411,0.10801617801189423,0.1655356080505781
597,0.4199483890762,0.0062957704128,3,1002,0.0,0.24080952628856825
421,0.1589649458912,0.0878921143299,5,72,0.04015535563230514,0.21018913316817506
51,0.0694660865762,0.0871803118172,5,72,8.940696716308593e-09,0.24080952628856825
44,0.1002774770628,0.085966336832,5,70,0.004445666074752807,0.24080952628856825
266,0.3654124739601,0.0861752087563,5,77,0.0,0.24080952628856825
768,0.5923946858766,0.0884395529279,5,72,0.0,0.24080952628856825
70,0.1111065805883,0.088582430184,5,72,0.0,0.24080952628856825
638,0.1470158222471,0.0861449467425,5,72,0.0,0.24080952628856825
497,0.4323787825414,0.0004186695981,1,866,0.06519711241126061,0.16396920768178253
552,0.5798825155327,0.0934428487588,5,83,0.0,0.24080952628856825
242,0.5897873412338,0.0912677296139,2,140,0.0,0.24080952628856825
835,0.7559375290027,0.0988621906972,5,115,0.0,0.24080952628856825
611,0.5931691350244,0.0887667053284,5,76,0.0,0.3440799086008667
600,0.8335197524204,0.0979444988487,5,82,0.0,0.24080952628856825
518,0.8009365979903,0.0897187350945,5,79,1.6391277313232423e-08,0.24080952628856825
526,0.7916852744816,0.0966105491975,5,140,0.0,0.24080952628856825
827,0.1278201801035,0.0958311873318,1,67,0.09213059395551682,0.15214508141154845
823,0.8227058869547,0.0958846243582,1,65,0.0900924876332283,0.17189293686299678
203,0.836270266563,0.0026409543209,5,612,0.08653228282928467,0.1623108394814982
815,0.1235583116881,0.0958435227493,1,67,0.07955388277769089,0.15180747463681596
