batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,demographic_parity
86,0.0045154409777,0.0030138194765,2,199,0.14901269092885858,0.09893425688147543
54,0.7760907682766,0.019084000727,5,262,0.24080952628856825,1.9073486328124997e-08
83,0.1620529960412,0.0040015969652,5,80,0.1682992831196424,0.05637218594551087
97,0.2712906367738,0.0009793904467,5,272,0.1790790135850016,0.043282844722270966
979,0.3596079321578,0.0535361448362,4,65,0.21958795978257056,0.015856373459100723
544,0.4355872915023,0.0103945201972,4,237,0.20407876837517555,0.026799767166376116
48,0.1025024170447,0.0165739675339,4,140,0.15945455054736493,0.06869075194001198
102,0.0243599966944,0.0034664159679,2,142,0.153066495057513,0.08230608120560647
720,0.7291732228879,0.00589632727,4,247,0.2316269181538643,0.013490500450134276
298,0.3390676674274,0.0227587978931,3,74,0.19114914189764487,0.03543715447187423
