batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,demographic_parity,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.022729554772377016,0.23285543824465985
979,0.3596079321578,0.0535361448362,4,65,0.015856373459100723,0.21958795978257056
652,0.7642785040662,0.0014379647071,3,136,0.015537011921405794,0.24080952628856825
322,0.412513526121,0.0006441000446,1,166,0.03475473001599312,0.19781342625654003
815,0.8617159873378,0.0002361502231,3,752,0.010697834193706512,0.24080952628856825
925,0.3837167412653,0.0596107666961,2,65,0.028477711379528044,0.23638695015940528
150,0.1709107359706,0.0005901249311,2,70,0.04548865973949432,0.18264163413864012
1024,0.9367846473174,0.0044448572887,4,80,0.0037122520804405207,0.24080952628856825
102,0.6765698196157,0.0001975638963,1,697,0.02012640312314034,0.23718590035955306
659,0.4104945693248,0.0117063616816,5,64,0.026374775022268298,0.21009844325712593
59,0.0030815114132,0.0057836649805,4,153,0.09563277527689934,0.1495961158386308
659,0.4262363360775,0.0063782393736,4,68,0.03001113682985306,0.20183661216595347
85,0.6624668076433,0.0001461455212,3,455,0.024821121394634247,0.23967333712842692
895,0.7897473442105,0.011623077444,1,411,0.0192719916254282,0.23758471056375247
498,0.4997052812651,0.0008260624616,1,201,0.02997093617916107,0.2137831358639742
81,0.801774956151,0.0054916470096,2,72,0.014715249836444854,0.24080952628856825
69,0.005704017356,0.0027189688569,1,229,0.09789860948920251,0.14984178779088958
544,0.3566148090088,0.0077072238861,1,64,0.036503542065620426,0.19486500916141633
184,0.5249395800268,0.0002461496774,1,328,0.029648362398147582,0.2146125109448463
497,0.4323787825414,0.0004186695981,1,866,0.03192433193325996,0.2026658552107654
59,0.9315102941087,0.091291373686,4,66,0.0003232759237289429,0.24080952628856825
53,0.7431359447524,0.0001324462442,2,383,0.01973947688937187,0.23973458771362965
143,0.4893136075805,0.0143524519362,2,124,0.029521846175193787,0.2039250784011263
111,0.6237206127861,0.0011527170707,5,250,0.021808125823736188,0.2388440657901736
203,0.836270266563,0.0026409543209,5,612,0.011839181184768677,0.24080952628856825
682,0.8411544066865,0.0006865924239,5,174,0.010319928377866746,0.24080952628856825
342,0.3794140715116,0.0094428768473,4,67,0.03452210143208504,0.19538710803680864
539,0.4096195582972,0.0014614146338,2,269,0.03125192508101463,0.2042013968660675
540,0.6011431890687,0.0002228815534,5,87,0.02271345615386963,0.23285533450204107
65,0.2425091147505,0.0001738203182,2,75,0.04938586860895157,0.17705220818993275
313,0.4545499988336,0.0003879558517,5,696,0.03388019353151321,0.19765979758494728
582,0.0387496336331,0.0003356147463,1,83,0.048741755485534666,0.1771136143890635
841,0.3293608465041,0.0018412961777,3,115,0.03765958338975907,0.19544834447529055
507,0.5071325061685,0.0001639990325,4,291,0.02717154175043106,0.21190976108640774
63,0.1525805406835,0.0005901249311,3,74,0.06140689462423325,0.16535120083024274
51,0.6743427482514,0.0203488979235,4,182,0.014278895258903504,0.24080952628856825
526,0.1558490208903,0.0010597119829,3,71,0.042447174787521365,0.18973626174224975
571,0.1632290921883,0.0403526510329,1,155,0.03904600843787193,0.1971067504001636
946,0.240475409915,0.0535361448362,3,68,0.036463221609592436,0.19839709637613828
45,0.025892842149,0.0064701372435,2,138,0.08896352916955949,0.15137751335356125
578,0.466940713799,0.0069166965864,5,247,0.026429904252290727,0.2203863299671683
71,0.3818317948981,0.0043214032666,5,297,0.04225050032138824,0.18258013362803782
506,0.2774871972287,0.000458934893,1,239,0.03873747244477272,0.1966769117218219
799,0.0490666417774,0.000188798116,1,231,0.04520119339227676,0.18221188977177
83,0.9431689307954,0.0005462678091,3,381,0.00478495478630066,0.24080952628856825
962,0.1658029844256,0.0009078367561,5,387,0.04030856356024742,0.19336023190813612
633,0.4527774250837,0.0005033519202,3,444,0.030311489850282668,0.20718030957551914
632,0.2859097380484,0.0213235547463,3,145,0.04114277482032776,0.19022762450906164
681,0.9252130831835,0.000225824127,2,160,0.0068636548519134515,0.24080952628856825
442,0.5011312487499,0.0005315224917,1,162,0.02799254342913628,0.21670114222509432
363,0.5999613374055,0.0005315224917,5,119,0.024057218581438063,0.23098166264333927
917,0.2528729324812,0.0002112474838,2,84,0.03486210405826569,0.20417088710501882
683,0.4302554532778,0.0069425824515,4,336,0.02772003278136253,0.22253653249162234
869,0.3577941791914,0.0001144897283,1,85,0.02003079056739807,0.23353075082116997
219,0.1326945416802,0.0055501982149,1,497,0.04525977313518524,0.18522159989225856
959,0.0099039525899,0.0001330037572,5,856,0.06507186695933342,0.16424559688032742
156,0.5126786491203,0.0053294934748,3,134,0.029757225066423414,0.20352578720842196
844,0.2250047838217,0.0777989782816,3,65,0.028764249235391615,0.20235743783647972
65,0.4572054964111,0.0269030355547,3,150,0.03150713115930557,0.21504329745347714
193,0.6825317392541,0.0012800826778,5,78,0.01925383061170578,0.23973458771362965
59,0.0982368328669,0.0062053850896,1,81,0.0702462586760521,0.1603144683983007
355,0.9137569290511,0.034912055568,1,196,0.00496892899274826,0.24080952628856825
431,0.0822383740424,0.0075073454367,3,156,0.04716934651136398,0.18362436438783744
259,0.6182439422905,0.0005315224917,5,90,0.022395318001508714,0.23479001173611952
103,0.2833626254686,0.0005003261748,1,490,0.04170042470097542,0.184515249410459
132,0.8645510243583,0.0065231774625,3,69,0.00868282526731491,0.24080952628856825
222,0.3163643900406,0.0077402548612,5,64,0.0381485615670681,0.1874019868031844
118,0.0095926156531,0.0001209499004,4,489,0.0928543235361576,0.1505174351731238
725,0.4495361860686,0.0001828620707,3,74,0.02807580903172493,0.21995633567489853
142,0.3018269311536,0.0013615516581,1,156,0.03848033249378205,0.19050400427645936
48,0.8393505362879,0.000335227891,2,278,0.014581096470355987,0.24080952628856825
456,0.2025097518032,0.000165906658,5,371,0.040866383612155915,0.19170164207589357
52,0.1777602005584,0.0071062444482,1,245,0.06226992055773735,0.1680535923050893
544,0.7637452690801,0.0189128877645,4,173,0.012452726066112519,0.24010313808218
78,0.1333517870819,0.0379151435743,1,376,0.061591175943613054,0.1677467452168051
858,0.5295439381285,0.0008570201388,2,874,0.025061282366514205,0.23279381041357086
514,0.9751001598295,0.0023139794505,4,290,0.0009684419631958007,0.24080952628856825
181,0.1042301237216,0.0056294156898,4,184,0.04673881337046623,0.17542455723593448
852,0.1477343378818,0.0001720754894,1,578,0.04225204199552536,0.18810871453087022
287,0.0042305286159,0.0003825520686,4,280,0.09027712270617486,0.15358865051978823
713,0.4736068584881,0.0484101532431,1,65,0.025353986024856567,0.24080952628856825
876,0.3843229233274,0.0312081445008,2,98,0.03122928336262703,0.2090235942780853
102,0.0243599966944,0.0034664159679,2,142,0.08230608120560647,0.153066495057513
145,0.5126786491203,0.0036689786017,4,86,0.02750266805291176,0.21381413132910138
884,0.0240476070589,0.0001244318996,5,523,0.05350750714540482,0.17192334759700031
267,0.2227488758416,0.0133378701537,2,69,0.04011796966195107,0.192192886953366
276,0.1850431063149,0.0050170483991,3,101,0.04069184929132461,0.18684917539707957
852,0.2554158173882,0.0001859212949,3,65,0.035167835354804985,0.20189806080524644
66,0.0453077602809,0.0038705299809,2,173,0.08071528777480126,0.15438718103388763
313,0.4943773457039,0.0025848473367,3,885,0.028714099824428557,0.22133860704219988
460,0.2886737918534,0.011874222675,2,145,0.03885664746165276,0.19329877383769598
776,0.1506642600813,0.00253628593,2,529,0.04030894741415978,0.19228525560860893
330,0.9821690174032,0.0229054208914,4,64,8.677899837493896e-05,0.24080952628856825
542,0.3884680740375,0.0047964066063,4,599,0.029460177868604664,0.1940051148883484
671,0.477805553039,0.0001000439302,1,742,0.02915839537978172,0.20896165993471386
