batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,demographic_parity
69,0.005704017356,0.0027189688569,1,229,0.03764520606842331,0.020836754093170165
514,0.9751001598295,0.0023139794505,4,290,0.05903767090473559,4.0560237169265744e-05
102,0.0243599966944,0.0034664159679,2,142,0.03846173576561636,0.015363761121034622
869,0.3577941791914,0.0001144897283,1,85,0.050660495055586265,0.0001067909073829651
59,0.0982368328669,0.0062053850896,1,81,0.040836184509551024,0.010645325704813004
45,0.025892842149,0.0064701372435,2,138,0.03775512560653522,0.01935127522826195
181,0.1042301237216,0.0056294156898,4,184,0.045123763896566554,0.003564406436681747
63,0.1525805406835,0.0005901249311,3,74,0.04185053006572079,0.006971179342269898
441,0.1020683828299,0.0037946946911,5,771,0.044045658129107546,0.0032047537815570832
841,0.3293608465041,0.0018412961777,3,115,0.048725380504882995,0.0007984084069728851
