batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,demographic_parity,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.0031429722905158995,0.23049090818551896
979,0.3596079321578,0.0535361448362,4,65,0.0029034942388534548,0.21485888551756815
652,0.7642785040662,0.0014379647071,3,136,0.0019305929541587829,0.24080952628856825
322,0.412513526121,0.0006441000446,1,166,0.004227913916110992,0.19615483170872391
815,0.8617159873378,0.0002361502231,3,752,0.0002593159675598145,0.24080952628856825
925,0.3837167412653,0.0596107666961,2,65,0.003304806351661682,0.2167630341283036
150,0.1709107359706,0.0005901249311,2,70,0.015759663283824922,0.18033837352699628
1024,0.9367846473174,0.0044448572887,4,80,0.00020349323749542237,0.24080952628856825
102,0.6765698196157,0.0001975638963,1,697,0.0023607760667800903,0.23521988342347627
659,0.4104945693248,0.0117063616816,5,64,0.00284854918718338,0.20349541891458056
59,0.0030815114132,0.0057836649805,4,153,0.09333904013037682,0.1493504910421078
659,0.4262363360775,0.0063782393736,4,68,0.003885045647621155,0.2065972713427803
85,0.6624668076433,0.0001461455212,3,455,0.00411050021648407,0.23608010307112104
895,0.7897473442105,0.011623077444,1,411,0.0013938456773757934,0.23967317208335173
498,0.4997052812651,0.0008260624616,1,201,0.0022891849279403687,0.21058946650264015
81,0.801774956151,0.0054916470096,2,72,0.0015621930360794067,0.2393967498757918
69,0.005704017356,0.0027189688569,1,229,0.0841910868883133,0.15171517199960313
544,0.3566148090088,0.0077072238861,1,64,0.004808740317821502,0.19848891330927257
184,0.5249395800268,0.0002461496774,1,328,0.0021981358528137206,0.2134453876220343
497,0.4323787825414,0.0004186695981,1,866,0.004063427448272705,0.2010688177604345
53,0.7431359447524,0.0001324462442,2,383,0.003816896677017212,0.24080952628856825
55,0.5959451110671,0.0279512903626,4,191,1.6391277313232423e-08,0.24080952628856825
143,0.4893136075805,0.0143524519362,2,124,0.003588198125362396,0.2085319249989909
111,0.6237206127861,0.0011527170707,5,250,0.004637591540813446,0.23767705564112748
203,0.836270266563,0.0026409543209,5,612,0.0015739917755126954,0.24080952628856825
682,0.8411544066865,0.0006865924239,5,174,0.00099620521068573,0.24080952628856825
342,0.3794140715116,0.0094428768473,4,67,0.005129966139793396,0.19984060889749514
539,0.4096195582972,0.0014614146338,2,269,0.0024745270609855654,0.19805913121781382
540,0.6011431890687,0.0002228815534,5,87,0.0025867611169815064,0.22867860480135932
65,0.2425091147505,0.0001738203182,2,75,0.018588155508041382,0.1784650789141807
313,0.4545499988336,0.0003879558517,5,696,0.004401285946369171,0.19772115191276868
582,0.0387496336331,0.0003356147463,1,83,0.01599888950586319,0.1799084688306245
841,0.3293608465041,0.0018412961777,3,115,0.0033598363399505613,0.19449654838876398
507,0.5071325061685,0.0001639990325,4,291,0.0035751193761825563,0.207119030696875
63,0.1525805406835,0.0005901249311,3,74,0.0321688711643219,0.16489054587856983
51,0.6743427482514,0.0203488979235,4,182,0.0031417697668075562,0.24080952628856825
526,0.1558490208903,0.0010597119829,3,71,0.004782834649085998,0.18890696211055494
571,0.1632290921883,0.0403526510329,1,155,0.006788557767868042,0.1982742179598467
946,0.240475409915,0.0535361448362,3,68,0.004023474454879761,0.21292402437612018
45,0.025892842149,0.0064701372435,2,138,0.07603987008333206,0.14984199056055342
578,0.466940713799,0.0069166965864,5,247,0.0035904929041862487,0.2256999184394394
71,0.3818317948981,0.0043214032666,5,297,0.01384807974100113,0.18396250402238426
506,0.2774871972287,0.000458934893,1,239,0.006198501586914063,0.1925308191026754
799,0.0490666417774,0.000188798116,1,231,0.011622533202171326,0.1821811536631896
83,0.9431689307954,0.0005462678091,3,381,0.0006102591753005982,0.24080952628856825
962,0.1658029844256,0.0009078367561,5,387,0.006231573224067688,0.18838478778598539
633,0.4527774250837,0.0005033519202,3,444,0.003427565097808838,0.19772129809554959
632,0.2859097380484,0.0213235547463,3,145,0.004912655055522919,0.1990417860178339
681,0.9252130831835,0.000225824127,2,160,0.00037856996059417727,0.24080952628856825
442,0.5011312487499,0.0005315224917,1,162,0.0026466265320777894,0.21197135119290805
363,0.5999613374055,0.0005315224917,5,119,0.002681957185268402,0.22357993802604578
917,0.2528729324812,0.0002112474838,2,84,0.004205347597599029,0.19277657593525854
683,0.4302554532778,0.0069425824515,4,336,0.003375019133090973,0.21436745201715263
869,0.3577941791914,0.0001144897283,1,85,0.002849563956260681,0.2062898678168139
219,0.1326945416802,0.0055501982149,1,497,0.010424770414829254,0.18795479820928923
39,0.568414398817,0.0066942051347,1,262,0.006232735514640808,0.20214396382061048
959,0.0099039525899,0.0001330037572,5,856,0.04287407398223877,0.16375423882908915
156,0.5126786491203,0.0053294934748,3,134,0.005426666140556336,0.20610587085137982
844,0.2250047838217,0.0777989782816,3,65,0.0020910948514938354,0.21359822407726597
65,0.4572054964111,0.0269030355547,3,150,0.00610186904668808,0.2163930643721063
