batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,equalized_odds
181,0.1042301237216,0.0056294156898,4,184,0.14753846587678923,0.09449587464332582
85,0.4744191316373,0.0427057286624,4,66,0.1879839734630154,0.05672719717025757
59,0.6554628939413,0.0779537018236,1,65,0.16138942583553362,0.07381154477596283
66,0.0453077602809,0.0038705299809,2,173,0.14864411698244034,0.08715094804763794
582,0.5521956202541,0.0002917173747,4,75,0.1542028115381409,0.07564150929450988
59,0.0982368328669,0.0062053850896,1,81,0.14910474835624535,0.08199084758758544
565,0.3125792668112,0.0428114646491,4,65,0.16955926080177577,0.06701048731803895
58,0.7390799893981,0.0886799955763,2,94,0.23199585048387444,0.0302096426486969
41,0.3588119411049,0.0194142362086,3,177,0.16965122863326457,0.06672356963157654
497,0.3703394225824,0.0010809426098,4,171,0.15162316644352572,0.07845685243606568
