batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,equalized_odds
69,0.005704017356,0.0027189688569,1,229,0.14950390751288953,0.14934263229370118
330,0.9821690174032,0.0229054208914,4,64,0.24080952628856825,0.0012545174360275267
51,0.4978130092022,0.0006479136368,3,168,0.1888149424077568,0.09205460906028748
50,0.0852627285054,0.0308602695679,2,125,0.16209577160175964,0.1146118450164795
51,0.0864264480572,0.0036006553919,4,339,0.15736607488104495,0.12566869378089907
869,0.3577941791914,0.0001144897283,1,85,0.2288933614532417,0.05318916440010071
876,0.3843229233274,0.0312081445008,2,98,0.2028802063233201,0.08194455623626709
257,0.5553544255642,0.0002451181655,1,77,0.22029428197092865,0.07293225169181823
948,0.5201064105195,0.0644814831068,1,76,0.2389056417499531,0.048452351093292226
831,0.9121447002385,0.0258958220048,2,86,0.23973458771362965,0.019560344517230988
