batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,equalized_odds,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.06466121852397919,0.23171881525174937
979,0.3596079321578,0.0535361448362,4,65,0.05855188727378845,0.2332849562639982
652,0.7642785040662,0.0014379647071,3,136,0.039035866856575015,0.24007253872523332
322,0.412513526121,0.0006441000446,1,166,0.10899723529815675,0.19974824024225224
815,0.8617159873378,0.0002361502231,3,752,0.026618070304393764,0.24080952628856825
925,0.3837167412653,0.0596107666961,2,65,0.07358006000518799,0.2184508039298459
150,0.1709107359706,0.0005901249311,2,70,0.1432425022125244,0.17818868500006224
1024,0.9367846473174,0.0044448572887,4,80,0.009356555044651032,0.24080952628856825
102,0.6765698196157,0.0001975638963,1,697,0.06378808975219727,0.238506091200702
659,0.4104945693248,0.0117063616816,5,64,0.08756361842155456,0.21249345478387394
59,0.0030815114132,0.0057836649805,4,153,0.1460858392715454,0.15011823357631743
659,0.4262363360775,0.0063782393736,4,68,0.08569074630737304,0.21200143183676118
85,0.6624668076433,0.0001461455212,3,455,0.0632466369867325,0.23540426235037012
895,0.7897473442105,0.011623077444,1,411,0.04841673612594605,0.2389054955671722
498,0.4997052812651,0.0008260624616,1,201,0.09117612481117249,0.21461240720222757
81,0.801774956151,0.0054916470096,2,72,0.03958680927753449,0.24010313808218
69,0.005704017356,0.0027189688569,1,229,0.14934263229370118,0.14950390751288953
544,0.3566148090088,0.0077072238861,1,64,0.10891785144805907,0.1985198710498112
184,0.5249395800268,0.0002461496774,1,328,0.09050293684005736,0.21362964865958878
497,0.4323787825414,0.0004186695981,1,866,0.10125927090644837,0.205184136546412
143,0.4893136075805,0.0143524519362,2,124,0.0899432635307312,0.19980960400122075
111,0.6237206127861,0.0011527170707,5,250,0.06830730438232421,0.22692760858928523
203,0.836270266563,0.0026409543209,5,612,0.030564184188842776,0.24080952628856825
682,0.8411544066865,0.0006865924239,5,174,0.023494787216186523,0.24080952628856825
342,0.3794140715116,0.0094428768473,4,67,0.12584195137023926,0.1950492041809407
539,0.4096195582972,0.0014614146338,2,269,0.10587774157524107,0.2006694794119944
540,0.6011431890687,0.0002228815534,5,87,0.06262853503227234,0.23482072898240564
65,0.2425091147505,0.0001738203182,2,75,0.12082647204399108,0.17821945883323126
313,0.4545499988336,0.0003879558517,5,696,0.09767629265785219,0.20266559113864502
582,0.0387496336331,0.0003356147463,1,83,0.13552388429641724,0.17898704575351282
841,0.3293608465041,0.0018412961777,3,115,0.10789220929145812,0.2011303465644783
507,0.5071325061685,0.0001639990325,4,291,0.08181673645973205,0.2104662768584924
63,0.1525805406835,0.0005901249311,3,74,0.12556198835372925,0.16716299964802955
51,0.6743427482514,0.0203488979235,4,182,0.021567182540893556,0.24080952628856825
526,0.1558490208903,0.0010597119829,3,71,0.1425019693374634,0.18786287753353623
571,0.1632290921883,0.0403526510329,1,155,0.13976383924484254,0.1962163840906356
946,0.240475409915,0.0535361448362,3,68,0.09964527964591981,0.20189674987579181
45,0.025892842149,0.0064701372435,2,138,0.13860467314720154,0.1506404173320341
578,0.466940713799,0.0069166965864,5,247,0.08608262300491333,0.212555426851834
71,0.3818317948981,0.0043214032666,5,297,0.10415181517601013,0.18887626372656313
506,0.2774871972287,0.000458934893,1,239,0.13195656299591066,0.19194743663306538
799,0.0490666417774,0.000188798116,1,231,0.13268972396850587,0.18113690404109567
83,0.9431689307954,0.0005462678091,3,381,0.012711634933948519,0.24080952628856825
962,0.1658029844256,0.0009078367561,5,387,0.13553128719329835,0.1960628733083823
633,0.4527774250837,0.0005033519202,3,444,0.09145166635513305,0.20453917340144886
632,0.2859097380484,0.0213235547463,3,145,0.10707356691360474,0.2034334892867827
681,0.9252130831835,0.000225824127,2,160,0.016441968083381654,0.24080952628856825
442,0.5011312487499,0.0005315224917,1,162,0.09037613153457642,0.20788650444339069
363,0.5999613374055,0.0005315224917,5,119,0.06378382086753845,0.23064391440139942
917,0.2528729324812,0.0002112474838,2,84,0.09995010733604431,0.20321868076359095
683,0.4302554532778,0.0069425824515,4,336,0.07763951182365417,0.21080466641843887
869,0.3577941791914,0.0001144897283,1,85,0.05318916440010071,0.2288933614532417
219,0.1326945416802,0.0055501982149,1,497,0.14444620609283446,0.1807069521889881
959,0.0099039525899,0.0001330037572,5,856,0.14392926692962646,0.1628942172355346
156,0.5126786491203,0.0053294934748,3,134,0.08854222416877747,0.2047542648590553
844,0.2250047838217,0.0777989782816,3,65,0.08223916739225387,0.21470387518291711
65,0.4572054964111,0.0269030355547,3,150,0.07683971762657166,0.20813233672515108
193,0.6825317392541,0.0012800826778,5,78,0.06037657022476197,0.2396117375907795
431,0.0822383740424,0.0075073454367,3,156,0.15520289182662964,0.1830105428907824
259,0.6182439422905,0.0005315224917,5,90,0.07278340995311737,0.23392991940896132
103,0.2833626254686,0.0005003261748,1,490,0.12189033508300781,0.18454584876740568
441,0.1020683828299,0.0037946946911,5,771,0.16102697610855102,0.1863274537675735
132,0.8645510243583,0.0065231774625,3,69,0.028291469514369966,0.24080952628856825
222,0.3163643900406,0.0077402548612,5,64,0.13607532978057862,0.19246955437075197
274,0.8391282420355,0.0007788324639,1,627,0.033666640520095825,0.24080952628856825
118,0.0095926156531,0.0001209499004,4,489,0.13963440418243409,0.15122382337951198
725,0.4495361860686,0.0001828620707,3,74,0.06711569249629974,0.22100074091092056
142,0.3018269311536,0.0013615516581,1,156,0.13106602072715762,0.18844632130560277
48,0.8393505362879,0.000335227891,2,278,0.030129398703575134,0.24080952628856825
456,0.2025097518032,0.000165906658,5,371,0.14756150484085082,0.19084183739872362
52,0.1777602005584,0.0071062444482,1,245,0.12460996150970458,0.17158548618129457
544,0.7637452690801,0.0189128877645,4,173,0.017606753408908844,0.24080952628856825
78,0.1333517870819,0.0379151435743,1,376,0.11649218320846559,0.17272228365042736
858,0.5295439381285,0.0008570201388,2,874,0.06709665417671204,0.2308895203356281
514,0.9751001598295,0.0023139794505,4,290,0.005234780609607697,0.24080952628856825
181,0.1042301237216,0.0056294156898,4,184,0.13156260967254638,0.17428819359957087
852,0.1477343378818,0.0001720754894,1,578,0.14277812957763672,0.188630450307097
287,0.0042305286159,0.0003825520686,4,280,0.14415186524391174,0.1515002078624833
713,0.4736068584881,0.0484101532431,1,65,0.06404993891716003,0.237615423094465
876,0.3843229233274,0.0312081445008,2,98,0.08194455623626709,0.2028802063233201
102,0.0243599966944,0.0034664159679,2,142,0.13313783526420594,0.15613762552385305
145,0.5126786491203,0.0036689786017,4,86,0.08707610249519349,0.20828659728360327
884,0.0240476070589,0.0001244318996,5,523,0.15127570152282713,0.17588515088515091
267,0.2227488758416,0.0133378701537,2,69,0.14133615255355836,0.18829273507417219
276,0.1850431063149,0.0050170483991,3,101,0.15108118057250977,0.1887226114771025
852,0.2554158173882,0.0001859212949,3,65,0.08653560996055602,0.2040784194227308
66,0.0453077602809,0.0038705299809,2,173,0.1356809437274933,0.15564634292179202
313,0.4943773457039,0.0025848473367,3,885,0.07879741072654725,0.21777612324019513
460,0.2886737918534,0.011874222675,2,145,0.12196624279022217,0.19382069352129233
776,0.1506642600813,0.00253628593,2,529,0.14801977157592772,0.19222369379555007
