batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,equalized_odds,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.04431776031851768,0.23660196145226084
979,0.3596079321578,0.0535361448362,4,65,0.056588152050971986,0.20862435495669027
652,0.7642785040662,0.0014379647071,3,136,0.026641513407230377,0.24080952628856825
322,0.412513526121,0.0006441000446,1,166,0.09357451498508454,0.1968919890327076
815,0.8617159873378,0.0002361502231,3,752,0.014762109518051148,0.24080952628856825
925,0.3837167412653,0.0596107666961,2,65,0.05922554582357407,0.224593310072352
150,0.1709107359706,0.0005901249311,2,70,0.11458419561386109,0.18715641859354432
1024,0.9367846473174,0.0044448572887,4,80,0.0051528334617614744,0.24080952628856825
102,0.6765698196157,0.0001975638963,1,697,0.04108139723539352,0.23620282587348457
659,0.4104945693248,0.0117063616816,5,64,0.061071498692035674,0.21402959060144688
59,0.0030815114132,0.0057836649805,4,153,0.08176569268107414,0.14842912455187904
659,0.4262363360775,0.0063782393736,4,68,0.07855248004198075,0.19498787343098717
85,0.6624668076433,0.0001461455212,3,455,0.04244994968175888,0.2287702472582712
895,0.7897473442105,0.011623077444,1,411,0.018300040066242217,0.23915104963009154
498,0.4997052812651,0.0008260624616,1,201,0.06399538218975068,0.20945280106956754
81,0.801774956151,0.0054916470096,2,72,0.02666626125574112,0.24080952628856825
69,0.005704017356,0.0027189688569,1,229,0.05977101698517799,0.1493196417597615
544,0.3566148090088,0.0077072238861,1,64,0.09726131707429886,0.19357501685345993
184,0.5249395800268,0.0002461496774,1,328,0.0718525156378746,0.20988309715854628
497,0.4323787825414,0.0004186695981,1,866,0.07200823724269867,0.20404807942233089
53,0.7431359447524,0.0001324462442,2,383,0.030015893280506134,0.24080952628856825
55,0.5959451110671,0.0279512903626,4,191,0.0027786985039710997,0.24087095134999328
143,0.4893136075805,0.0143524519362,2,124,0.05983698219060898,0.20156022768298215
111,0.6237206127861,0.0011527170707,5,250,0.04882473200559616,0.22972245359969906
203,0.836270266563,0.0026409543209,5,612,0.017554567754268648,0.24080952628856825
682,0.8411544066865,0.0006865924239,5,174,0.013492797315120698,0.24080952628856825
342,0.3794140715116,0.0094428768473,4,67,0.08158446699380875,0.19851970600473595
539,0.4096195582972,0.0014614146338,2,269,0.07898548841476441,0.19950236080475603
540,0.6011431890687,0.0002228815534,5,87,0.04550097733736038,0.230336779663127
65,0.2425091147505,0.0001738203182,2,75,0.08814065307378768,0.17886427579541353
313,0.4545499988336,0.0003879558517,5,696,0.07407686784863472,0.20042382160645636
582,0.0387496336331,0.0003356147463,1,83,0.09722364246845246,0.17864919848452782
841,0.3293608465041,0.0018412961777,3,115,0.09339838325977326,0.19400475650475651
507,0.5071325061685,0.0001639990325,4,291,0.05605427920818329,0.2051840799595291
63,0.1525805406835,0.0005901249311,3,74,0.08311655670404434,0.16780821743396596
51,0.6743427482514,0.0203488979235,4,182,0.012793214619159698,0.24080952628856825
