batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,demographic_parity,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.0506041407585144,0.012893274287655099
979,0.3596079321578,0.0535361448362,4,65,0.03718720190227032,0.11310268885711135
652,0.7642785040662,0.0014379647071,3,136,0.04899090826511383,0.0149727090413875
94,0.005704017356,0.0050831004951,3,339,0.05184224843978882,0.015597275014548662
241,0.9708397453651,0.0329667406801,4,407,0.0,0.5275354198351077
720,0.9041281680323,0.0253180034285,5,71,0.04402867555618286,0.017467078861459706
709,0.7809755625872,0.0217351318946,4,67,0.050105521082878114,0.01622011028878876
694,0.8103439572506,0.0214839040848,4,74,0.05216410458087921,0.018300626729346802
667,0.927667482563,0.0455240211701,4,73,0.04468435347080231,0.023913283330557
666,0.8626608441714,0.0313483313274,5,64,0.049257174134254456,0.020588610703074807
896,0.7841416996905,0.0311045333855,5,73,0.04953208565711975,0.022664800396330054
706,0.8751040021406,0.0548188761434,5,77,0.0467514842748642,0.043264660642392164
655,0.812098947873,0.0352682701154,4,69,0.046857142448425294,0.01747075659666708
979,0.3590679495063,0.0644330809938,5,65,0.05040362477302551,0.02391674472839924
1010,0.1301427595007,0.0523759134205,5,65,0.04457126259803772,0.10353754859478063
970,0.1484731139705,0.0557754337093,1,66,0.051220831274986264,0.0160119937435234
974,0.3513612292068,0.0537225490281,4,64,0.04998106360435486,0.019755062835187687
967,0.5001931379504,0.0981508000793,3,66,0.014472618699073792,0.3075997153000275
968,0.5673578182609,0.0487196114242,3,64,0.05045089423656464,0.016013291767714266
277,0.0788153739624,0.0011246047718,1,788,0.05075982213020325,0.014349008417686892
895,0.7897473442105,0.011623077444,1,411,0.05130038559436798,0.013516758573990595
597,0.4199483890762,0.0062957704128,3,1002,0.0,0.4506123429120308
992,0.9531658370131,0.0945224590302,2,293,0.0,0.5075769998766877
978,0.9854846411578,0.0951503692757,4,75,0.008442360162734985,0.3108244400648147
542,0.9463459338884,0.0997871442831,3,65,0.028785482048988342,0.24472299082080556
581,0.9690299435504,0.0957275451773,2,133,0.0,0.4980135903132781
537,0.9732936547237,0.0980869860803,4,107,5.960464477539063e-09,0.5198658275661396
144,0.9639466579465,0.0955707066197,2,84,0.05490767955780029,0.15448045500074636
129,0.9733549296696,0.0960990355094,5,192,0.0,0.4780551703548582
