batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,demographic_parity
597,0.4199483890762,0.0062957704128,3,1002,0.4506123429120308,0.0
644,0.8317142717299,0.0003300562102,3,850,0.011437323820258239,0.1636935204267502
583,0.3682854583425,0.01574468906,1,634,0.016012426418253668,0.11786563446124396
961,0.9954057648872,0.0001943336554,5,68,0.29171125019199945,0.0009222338596979777
961,0.9663227872852,0.0001203246313,2,64,0.140150700608557,0.003936780492464701
961,0.9328525330664,0.0001517528265,4,82,0.03597603847343698,0.024934344490369163
964,0.9285540087799,0.0001473560914,5,81,0.03223340205650298,0.07314673562844595
961,0.9314467894439,0.0001520449446,5,71,0.07174006632903614,0.009994988640149435
961,0.9903376680578,0.0001416314878,3,72,0.24784062858984815,0.003282697002092998
783,0.9272307935593,0.0001001588693,4,70,0.034313918497061044,0.06154147585233053
