batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,demographic_parity
144,0.9672510987428,0.0727910821743,5,373,0.4506123429120308,0.0
629,0.3749057814332,0.0017369846182,5,417,0.011436458470797706,0.2927019548731268
774,0.3492994161189,0.00012880456,3,131,0.024119020164805806,0.16629609002779705
884,0.7880668713599,0.0001051428708,5,92,0.18774427192741447,0.00650698212596419
774,0.8759992825098,0.0001054769108,5,94,0.3100365393809723,0.005949968948311302
774,0.6355410136875,0.0001257535129,4,120,0.030356675413907453,0.09703131320365635
805,0.3453323802608,0.0001236002584,5,132,0.01850701257569103,0.24626241831911805
727,0.717629044648,0.0001238731223,5,107,0.03514530299129674,0.03214474276496065
805,0.9503654353309,0.000110632551,5,71,0.39655828885797667,0.003507128986283495
769,0.8090795777033,0.0001105286194,5,116,0.0890027063804379,0.009329385552290301
