batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,demographic_parity,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.2960930647212606,0.012476824859759294
979,0.3596079321578,0.0535361448362,4,65,0.2573861904429379,0.0180927265214466
652,0.7642785040662,0.0014379647071,3,136,0.3002759639150634,0.015596842339818395
94,0.005704017356,0.0050831004951,3,339,0.25906030968401794,0.01580495888508373
241,0.9708397453651,0.0329667406801,4,407,0.0,0.5394084471087592
33,0.9866792224748,0.0089722220843,4,353,0.09078775976933365,0.49011338241307023
132,0.9689297009591,0.0405488961041,4,477,0.0,0.46059155289124065
32,0.9830635930957,0.0258515863047,4,361,0.0,0.5394084471087592
144,0.9672510987428,0.0727910821743,5,373,0.0,0.4506123429120308
66,0.9821234957156,0.0228744312552,5,455,0.0,0.5394084471087592
38,0.9948367665863,0.0078770574094,5,374,0.08296145945890283,0.4805499728496606
44,0.9916684543661,0.0132839205705,5,661,0.01286208083232244,0.5079928002924882
87,0.9757418581338,0.0179811808918,5,743,0.0,0.4999074076077198
282,0.0796825133027,0.0775125512763,4,66,0.20094086190338914,0.11747205462085793
640,0.0382379275115,0.0973530302771,5,64,0.10025702765252856,0.32933296700206166
544,0.0879824230588,0.0542049440198,4,70,0.24659792310056114,0.03493480673501483
45,0.0694050452124,0.0938221098854,5,105,0.0,0.49242300012331236
47,0.0416671350924,0.0577384874995,5,105,0.0954224485401042,0.3125666048662927
70,0.0735835806082,0.0502643101707,5,139,0.0,0.5493876570879693
277,0.0788153739624,0.0011246047718,1,788,0.3001218200305072,0.01289305795029001
895,0.7897473442105,0.011623077444,1,411,0.2988852368776701,0.015805175222448863
597,0.4199483890762,0.0062957704128,3,1002,0.0,0.4780551703548582
156,0.0225272071626,0.0983719456623,4,64,0.12647962245575908,0.23003022232991013
94,0.0128242530146,0.0907667662761,4,64,0.09258705269613049,0.30757699987668763
89,0.0157146977071,0.0989937688231,5,64,0.054482614773291124,0.41131920361889146
91,0.0227750210078,0.0910073370615,5,387,0.0,0.48244379014410227
