batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,equalized_odds
597,0.4199483890762,0.0062957704128,3,1002,0.4506123429120308,0.0
758,0.1773664279903,0.0002236086227,1,408,0.011437756494988526,0.02408978516405279
507,0.5700838303325,0.0051574421512,4,972,0.35788885018853805,0.0045727621425281865
552,0.6076154639293,0.0102679312828,4,644,0.2753524676521555,0.00790617590600794
536,0.8770719243398,0.0051093891509,4,994,0.2725606339550148,0.011942441734400662
567,0.8775981726425,0.0051093891509,3,999,0.19168810209392936,0.014834513853896747
567,0.448978019145,0.0051165797238,3,972,0.18628248035115882,0.018177735751325436
503,0.9999678989952,0.0002486454346,3,459,0.4052563489608235,0.002685988780223962
567,0.8778793499389,0.0047434989212,3,994,0.0997957775273072,0.019729788465933366
523,0.7470776440643,0.0051105502428,3,983,0.09875670916253643,0.02269042275168679
