batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,equalized_odds
62,0.9394942240782,0.0356745379399,5,406,0.4506123429120308,0.0
757,0.9877058658822,0.000104310883,4,928,0.011436891145527973,0.009377280296757818
665,0.3133740170333,0.0049063110624,4,968,0.1820052743049621,0.003926334157586098
383,0.5966835838992,0.0109355132875,1,907,0.016427145147228383,0.005638330336660146
665,0.3072209152892,0.0049063110624,4,968,0.362878455178143,3.9517227560281756e-05
362,0.3501938061985,0.005052551739,4,983,0.26953126183094966,0.0028408956713974476
572,0.3213670624611,0.0149166879003,4,358,0.3028180105183227,0.0014363188296556474
117,0.1109772604115,0.0001710582002,1,146,0.011645224028158485,0.00783607792109251
694,0.0543345457321,0.0050429356833,3,984,0.2978284055287177,0.0019214469008147716
937,0.1470716589294,0.0001624626294,2,337,0.012061240781324024,0.0072239176370203495
