batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,equalized_odds,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.008993053808808327,0.013932775327156154
979,0.3596079321578,0.0535361448362,4,65,0.011175630800426006,0.016428226834054073
652,0.7642785040662,0.0014379647071,3,136,0.011406459659337998,0.013932991664521333
94,0.005704017356,0.0050831004951,3,339,0.011240877024829388,0.014349224755052004
241,0.9708397453651,0.0329667406801,4,407,0.0,0.5079928002924882
62,0.9340447261508,0.0146015178665,5,407,0.014105177670717239,0.28262681155501135
32,0.9326683961986,0.0066437520788,4,414,0.013782760500907898,0.03036273286013138
45,0.8658495835399,0.0224000483292,4,455,0.0,0.4980135903132781
68,0.8797802386311,0.0147594413089,5,418,0.008072328940033912,0.353129860830173
42,0.9061551849092,0.0076752395932,5,410,0.0109763503074646,0.23878474648505862
135,0.963963786949,0.0094154276251,4,395,0.011657217424362898,0.01809099582252547
44,0.8725228233323,0.0135759769335,5,413,0.007272003591060639,0.3191486692006983
62,0.9394942240782,0.0356745379399,5,406,0.0,0.4506123429120308
235,0.8549643994529,0.0001764049222,2,762,0.008869195869192482,0.013309074703455525
291,0.8560460915941,0.0001465436267,2,699,0.010378628876060248,0.013308642028725259
284,0.8604634994011,0.0001118032745,2,617,0.010663946252316236,0.011853124236058665
566,0.8698044639211,0.0002097496216,2,596,0.009494909457862378,0.014141108209786691
301,0.8512372194645,0.0001829864966,2,584,0.009287133067846298,0.012477473871854694
184,0.8197574703118,0.0001249002037,2,607,0.008099273592233659,0.01393407335134702
277,0.0788153739624,0.0011246047718,1,788,0.008677386958152056,0.013932558989791044
895,0.7897473442105,0.011623077444,1,411,0.010784665495157242,0.014557124962952228
597,0.4199483890762,0.0062957704128,3,1002,0.0,0.4506123429120308
44,0.970252693608,0.0845615639965,5,413,0.0,0.47057076287045074
34,0.9750835705807,0.0202201947524,5,417,0.011951810121536979,0.5019864096867218
33,0.0031991738729,0.0218519839211,5,716,0.0,0.5019864096867218
57,0.1527321309972,0.0173796650128,5,712,0.0,0.5000925923922803
33,0.9722393599427,0.0787668535185,5,417,0.0,0.49242300012331236
54,0.5652625103319,0.0208547394813,5,417,0.0032233472913503645,0.42048952818984037
50,0.2036841154413,0.0149905958035,5,416,0.0022853344678878786,0.41425252195283413
497,0.4323787825414,0.0004186695981,1,866,0.00932290656492114,0.013309074703455548
45,0.3575153804836,0.0149903795869,5,65,0.010271861031651498,0.21737102507133726
242,0.5897873412338,0.0912677296139,2,140,0.0,0.4506123429120308
48,0.4372755269827,0.0149673713405,2,68,0.013443259708583354,0.016012426418253668
47,0.3384555345613,0.0150023365984,5,162,0.009784976871014806,0.3347295025754964
38,0.2959548780738,0.0149905958035,2,214,0.014607993140816688,0.12506333276364492
41,0.3094761355023,0.0149935019324,5,325,0.022219359502196313,0.2499057850774812
43,0.3955301343587,0.0208547394813,4,275,0.0030326742678880693,0.4068689276805822
77,0.8621554753099,0.0003561494376,1,657,0.01002618158236146,0.012685590417120052
91,0.3682122506682,0.0003580765769,1,663,0.008539186930283904,0.013309291040820681
203,0.836270266563,0.0026409543209,5,612,0.009518016222864389,0.014764808833487297
87,0.6422983513403,0.0006901342122,1,658,0.008300673123449087,0.013101174495555323
93,0.4503453003508,0.0025095504365,1,665,0.01002866281196475,0.01580430987298833
85,0.1691338535152,0.0023486557316,1,633,0.0078083130065351725,0.013309074703455548
77,0.0234227989725,0.0016500350611,1,634,0.009758488787338138,0.013933424339251599
73,0.5149617220362,0.0002052199051,1,634,0.008909664396196604,0.012685374079754896
82,0.151187587088,0.0020603721582,1,619,0.010037540551275015,0.012269573663954514
85,0.2019276144863,0.0019976697474,1,633,0.00965075520798564,0.013517840260816306
80,0.71464175986,0.0019042561626,1,367,0.01010891916230321,0.01434944109241718
539,0.4096195582972,0.0014614146338,2,269,0.009493474708870053,0.013933424339251599
82,0.1654233593057,0.0018762129228,1,221,0.010627369955182075,0.013932775327156154
88,0.0474684587199,0.0018883841276,1,66,0.01140152532607317,0.014349008417686871
85,0.0550380580608,0.0022555165556,1,91,0.011182097345590591,0.01497379072821321
582,0.0387496336331,0.0003356147463,1,83,0.01101144403219223,0.0139319099776956
44,0.1691338535152,0.0033372065785,3,633,0.011985420435667037,0.01705300914458039
44,0.1644799146004,0.0036787480112,4,633,0.012365023605525494,0.027035896858997766
