batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,demographic_parity
603,0.7481965207707,0.050363997522,2,431,0.4506123429120308,0.0
57,0.1066213707252,0.0001792566529,5,142,0.01268472506765952,0.17368753618814728
210,0.2591513586754,0.0008363456383,4,138,0.014765241508217564,0.134008722513011
83,0.6031281351026,0.0002451576208,3,167,0.0892015204190022,0.00046430979714249116
42,0.351165249622,0.0006985206148,3,375,0.015179960237192258,0.08307136822830548
273,0.5485609697008,0.0001549332017,2,154,0.04470957790416685,0.020608915876258505
40,0.415602075778,0.001946649425,2,261,0.017053225481945544,0.04733181464852708
188,0.6558276387043,0.0002025691879,3,82,0.21626056537607008,0.00024250515482642437
58,0.6419265553594,0.0004286936559,5,171,0.383664149220861,2.1607740358872846e-05
1004,0.7938374347917,0.0019267039243,3,710,0.2925499901566499,2.1699034806453818e-05
