batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,demographic_parity,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.009873250623544058,0.04824106905272356
979,0.3596079321578,0.0535361448362,4,65,0.0810540754144842,0.056351340534483096
652,0.7642785040662,0.0014379647071,3,136,0.00013014830423123907,0.3333170359184927
94,0.005704017356,0.0050831004951,3,339,0.1466609039496292,0.016844243587219653
241,0.9708397453651,0.0329667406801,4,407,0.0,0.5219448296451419
401,0.4636756475196,0.0002001924281,1,507,0.05673030079314203,0.037639240136638684
476,0.4728224869976,0.0002772406418,2,529,0.06032914938348712,0.026202565328475824
33,0.5845969540764,0.0002545842483,1,523,0.0004744371049331896,0.19713526061080694
355,0.8451070030248,0.0001022936465,2,775,0.0007598827011657484,0.24741444398052098
848,0.7683582054166,0.0001176972615,2,511,0.002405306335651514,0.10583721478622625
921,0.9428479043011,0.0001704706225,1,550,0.0030917739868164063,0.40071672569071115
478,0.9436965430745,0.0001229528615,2,511,0.0006185975219264175,0.40214887904794255
63,0.9717335882204,0.0002590205017,1,529,1.5255519838044137e-05,0.5044392427326871
62,0.6205646954477,0.0002176540354,1,625,0.0010351385040716693,0.18610162231390118
45,0.6307382636659,0.0002255418647,2,666,3.5694494391932626e-05,0.22310072018708854
34,0.6336969090572,0.0002258690329,2,611,4.3998134858680505e-05,0.2840687000936741
72,0.6290758380828,0.00021237514,1,601,0.002005445460478465,0.131203203523703
32,0.6298022690118,0.0002051752128,4,663,9.272667494687167e-06,0.3917549503397578
48,0.6296030710586,0.0002102361393,1,593,0.0003245480313445582,0.18297944146019068
277,0.0788153739624,0.0011246047718,1,788,0.17214967457182478,0.014556908625587095
895,0.7897473442105,0.011623077444,1,411,2.8803402727300473e-06,0.47472919970318517
597,0.4199483890762,0.0062957704128,3,1002,0.06956325258269455,0.06550284375466478
340,0.5569991336009,0.0001193337177,2,835,0.03348847036108826,0.03452160236759612
430,0.5196574747655,0.0001152734532,2,753,0.051826587969606576,0.03535060715081526
343,0.5285918712689,0.0001165286555,2,697,0.03907844713239959,0.03514011089453335
372,0.5600438939949,0.0001163889864,2,710,0.02986844200076479,0.0365988737476771
74,0.574326398572,0.0001188237813,2,745,0.009053844728253104,0.15347189020446045
76,0.5130341963138,0.0001203373675,2,697,0.05270561324827598,0.028279620371191628
75,0.5234651903353,0.0001184979547,2,807,0.03987644497192268,0.04033783242940372
497,0.4323787825414,0.0004186695981,1,866,0.08193144465034659,0.042418348869961764
187,0.6066791616661,0.0002100413484,1,519,0.007550813266725251,0.14243046376240964
242,0.5897873412338,0.0912677296139,2,140,0.0,0.5019864096867218
172,0.6005415489515,0.0002097713546,1,515,0.008396189736597465,0.11353146951482018
70,0.6195664394592,0.0002101905035,1,147,0.0025116042657331986,0.1779926488563325
71,0.6206262938453,0.0002094775146,1,241,0.002722456256548564,0.1576102076622368
607,0.6093954200623,0.0002097751975,3,486,0.029487127399805822,0.04928121910432
162,0.6026038758936,0.0002073945492,1,519,0.008001402959679112,0.10896350604987441
305,0.6103993125486,0.0005429145267,2,719,0.011611671854149212,0.11978037430690917
303,0.6095078876265,0.0003458262577,2,689,0.007914969297972594,0.11791706058095235
203,0.836270266563,0.0026409543209,5,612,8.776874253244113e-07,0.47057076287045074
304,0.609262791921,0.0003002918955,2,710,0.014296589078325215,0.06903693095160317
303,0.6096961472266,0.0011063107732,2,687,0.006144959764047103,0.10251470553239543
305,0.6091704226535,0.0329324145196,1,749,0.05987066929990594,0.3528166043254493
310,0.609545689563,0.0004492810837,1,688,0.00797597766825647,0.08900335539253335
312,0.6101819279839,0.0003871579069,1,701,0.008659722145759698,0.05739646634547779
321,0.6184269619091,0.0002859383089,5,710,0.009132193290826046,0.20108320118725947
313,0.6260059073249,0.0002445080735,5,697,0.006592991072120089,0.15177926665959965
311,0.6290834951141,0.0002810731925,2,699,0.004539248437592477,0.06945835613889724
539,0.4096195582972,0.0014614146338,2,269,0.0958960437413418,0.030155265326961465
311,0.6286973669444,0.0002957853552,4,702,0.00433924877282345,0.19233646517725597
312,0.6268129833216,0.0002778719252,5,701,0.00017250712170745387,0.29088224540878027
305,0.6225866983281,0.0002937007038,4,700,0.007294502529230984,0.13868371693553797
582,0.0387496336331,0.0003356147463,1,83,0.17178594467314806,0.01414024286032609
311,0.6078056802183,0.0006447510502,1,699,0.005366741816202799,0.10314013685501718
312,0.6084357862212,0.0007664975749,1,701,0.008147649205092228,0.06508120223000555
314,0.6088214109129,0.000437333567,1,701,0.008459285678285541,0.08420996839311093
252,0.6301252571254,0.000210147218,1,697,0.00832160546021028,0.07985985665486187
304,0.6230348101425,0.0003103501285,1,710,0.011234717829660935,0.06841301399053741
526,0.1558490208903,0.0010597119829,3,71,0.1513998130415425,0.019546513615192062
305,0.6303392244468,0.0002078085513,1,556,0.008981466600389192,0.07964957673594511
900,0.4300912433377,0.0152683361273,5,574,0.0,0.5019864096867218
218,0.6202031166174,0.0003662020509,2,697,0.007338256989464616,0.0698691807952994
212,0.6292792952158,0.000385468097,2,694,0.0015582539999123774,0.08879004675050459
168,0.6302504515697,0.0003972090173,2,697,0.0009045377554315508,0.1842437170220729
216,0.6204507353197,0.0003931739952,2,699,0.0028782482761325256,0.11250170365675047
921,0.0402320288874,0.0695202977577,2,410,0.0,0.5119656196659318
217,0.6966025769503,0.0609459009151,5,409,0.0,0.48244379014410227
221,0.6201749804031,0.0003955567954,1,705,0.004760947408098163,0.10333397513418326
435,0.6182493089424,0.0313142741224,3,206,1.4005601406097412e-05,0.4701549624546503
193,0.4888227212062,0.0678987026873,5,198,0.0,0.5075769998766877
49,0.619589451754,0.0003851649625,1,663,5.583455165227254e-05,0.25100932197706394
49,0.6076126523728,0.000225294419,1,564,0.001024774457469131,0.15970521870625928
962,0.1658029844256,0.0009078367561,5,387,0.16238645417220668,0.017885258988276663
48,0.6077361724524,0.0002354579295,1,564,0.0009503510142817641,0.1800716509353346
632,0.2859097380484,0.0213235547463,3,145,0.11155512665257308,0.058254243998260645
48,0.6159550175375,0.000229375775,1,575,0.0006138275608871922,0.2110760404204733
