batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,equalized_odds
530,0.0857580351829,0.0184753763894,2,848,0.4506123429120308,0.0
40,0.2079771105674,0.0005640653847,1,130,0.011645873040253862,0.07787454263730482
72,0.1054975810037,0.0004055228682,2,309,0.012060808106593735,0.024196885273312076
37,0.6258586253227,0.0001011255652,5,167,0.23203134295746156,2.790051879304828e-05
135,0.7453875397411,0.0004251724257,4,224,0.3936468205979132,2.019846078121301e-05
88,0.6516359704721,0.0002279130986,2,734,0.15907416261214385,0.0003135792685277534
521,0.6888448768891,0.000106597045,4,343,0.08068193864239645,0.0005421452991890185
610,0.625854690194,0.000106597045,2,794,0.05115534969853384,0.016114155026999387
384,0.0843104166415,0.0002086607563,2,163,0.01393299166452131,0.023345585537679264
577,0.6620846615963,0.0002300358611,2,409,0.07173638859382873,0.0058972118840073095
