batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,equalized_odds,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.014376460873719419,0.10399164072421097
979,0.3596079321578,0.0535361448362,4,65,0.09236327720410897,0.16321356175674592
652,0.7642785040662,0.0014379647071,3,136,0.00020829288345394713,0.3169322928948318
94,0.005704017356,0.0050831004951,3,339,0.02818565384005055,0.01705300914458041
241,0.9708397453651,0.0329667406801,4,407,0.0,0.48244379014410227
35,0.1323760666271,0.0002034942534,1,795,0.03890789248726585,0.013101174495555323
107,0.6541935298716,0.0004679320584,2,697,0.00015063721122163715,0.32436910615890846
40,0.9087472521449,0.0006356211751,1,644,7.045883120912494e-06,0.48096447524127023
70,0.2232871133936,0.0002205576105,1,702,0.06024898091952006,0.01476394348402672
33,0.0808400593724,0.0001374655255,2,662,0.026272212718472337,0.013101390832920478
53,0.0648940548984,0.0001421517737,2,670,0.02736509151530988,0.012684292392929208
75,0.7788327647011,0.000277478686,1,653,1.998682816823324e-05,0.4572432994909582
58,0.1856548111636,0.000418281652,2,686,0.07878246240543597,0.012476392185029005
305,0.0860982784006,0.0002110246839,2,138,0.025452241933707032,0.013516325899260351
384,0.0843104166415,0.0002086607563,2,163,0.023345585537679264,0.01393299166452131
619,0.0562365566675,0.0002084541406,1,68,0.036467475737586165,0.015597058677183528
285,0.0665986077659,0.0002092957402,1,133,0.026984384168278086,0.014557341300317361
299,0.084498982694,0.0002113395202,2,76,0.027994975845019025,0.015388509457187904
385,0.06626662802,0.0001239101421,2,75,0.03080981819015561,0.01622075930088416
277,0.0788153739624,0.0011246047718,1,788,0.02722155286507173,0.013725307793986263
895,0.7897473442105,0.011623077444,1,411,1.162749348264752e-05,0.49572712070110614
597,0.4199483890762,0.0062957704128,3,1002,0.08291684522773281,0.1850528187676991
375,0.6435272030381,0.0001794776773,3,770,0.009479571626041874,0.1309909765685
313,0.5355510490089,0.0002070243063,4,756,0.11283365531401202,0.02599336709638478
603,0.5669985708329,0.0001438910559,2,797,0.06969142841570306,0.037223007046107995
449,0.3892347186481,0.0001165447169,2,703,0.09858113758491747,0.025579297379505483
592,0.6478906293562,0.0001990634386,4,768,0.0200687788291411,0.09067326351405433
654,0.6034701222554,0.0001907548419,3,704,0.08790658296960772,0.032858400704394455
391,0.5054715584259,0.0001775183138,3,710,0.10289311614903536,0.04117029861046508
497,0.4323787825414,0.0004186695981,1,866,0.0976520346511494,0.03660320049497987
375,0.6258204561314,0.0001227975033,3,770,0.011530989354307,0.056557942718192436
242,0.5897873412338,0.0912677296139,2,140,0.015369005203247072,0.4173710250713373
380,0.6295222247052,0.0001030894799,3,768,0.0052859976526462675,0.08400855830616497
54,0.6388603117902,0.0001511543295,1,802,0.0017283436836618368,0.18653040297161008
342,0.6262265197866,0.0001100405421,3,66,0.0006523433327674865,0.22666358025359065
79,0.626609105355,0.0001497270678,3,93,0.00029928919943896204,0.26181883476368384
79,0.6297699598063,0.0001382532566,3,192,0.00040460519718401363,0.19275875571401063
804,0.0798653940552,0.0013245548275,4,815,0.025660605846029333,0.015805175222448887
388,0.079741392952,0.0271736898014,3,844,0.0,0.5493876570879693
203,0.836270266563,0.0026409543209,5,612,1.5524932832428906e-06,0.4506123429120308
685,0.081430230606,0.0419297193291,5,866,0.0,0.5219448296451419
530,0.0857580351829,0.0184753763894,2,848,0.0,0.4506123429120308
408,0.0807904804097,0.0003782568716,2,826,0.02478752187707207,0.013309723715550992
368,0.0861684966508,0.0007041814891,1,138,0.02760893308755123,0.013933424339251599
384,0.0843104166415,0.0002693813819,1,132,0.02677240126060717,0.01517996023719228
375,0.6258204561314,0.0001224459648,1,770,0.02060259015271158,0.07131864114174206
119,0.625300992886,0.0001152004939,1,791,0.009909801582495372,0.1748836645818956
380,0.6254245245351,0.0001200144759,3,768,0.00434037446975708,0.12062084497048076
539,0.4096195582972,0.0014614146338,2,269,0.09995659062356661,0.03223578176751955
53,0.6258455505103,0.0001212691218,1,782,0.003446771132223534,0.20982063469056184
141,0.6270672993156,0.0001167200294,5,777,0.0007628455396854517,0.19736025147055325
132,0.628148523069,0.000118695037,5,788,0.027500863869984942,0.21290560551746815
582,0.0387496336331,0.0003356147463,1,83,0.026798505539243872,0.014557124962952205
380,0.6295222247052,0.0001052436611,3,724,0.006994385186469916,0.07402156018180991
381,0.6306398221338,0.000101838291,3,725,0.007366568969957757,0.06633444458626561
364,0.5384733547104,0.0001021439407,5,744,0.10285349018646009,0.047418121715728366
370,0.7963561365551,0.0001019848476,4,735,7.158087961601489e-05,0.26952477170999545
194,0.5053380545978,0.0001014622121,4,768,0.21868112795280686,0.033060243466070706
526,0.1558490208903,0.0010597119829,3,71,0.04560387990691445,0.015803877198258043
69,0.8044584489817,0.0001049416171,4,772,5.854873946218779e-06,0.4926081849078727
900,0.4300912433377,0.0152683361273,5,574,0.0,0.5194500271503393
375,0.6277529242924,0.0001227975033,3,770,0.030853555672096484,0.08150423696729628
375,0.6272714279268,0.0001230355654,1,728,0.01808890304782174,0.08796298900357173
376,0.6262210224472,0.0001014530634,4,177,0.0012804185802286322,0.1349490850011141
377,0.627871589582,0.0001007624801,5,113,0.00014987106576110377,0.18380238879718586
921,0.0402320288874,0.0695202977577,2,410,0.0,0.4724645801648924
217,0.6966025769503,0.0609459009151,5,409,0.0,0.4880343803340681
392,0.6269489934451,0.0001012379311,4,169,0.0010802163680394491,0.1279066547536891
435,0.6182493089424,0.0313142741224,3,206,1.4931993051008744e-05,0.4780551703548582
193,0.4888227212062,0.0678987026873,5,198,0.0,0.5275354198351077
419,0.6260074123715,0.0001016097676,4,161,0.0006270130836602413,0.1360004845956979
574,0.6259311476387,0.0001014016001,5,71,0.0002871621648470561,0.24203348469737648
962,0.1658029844256,0.0009078367561,5,387,0.05406421249563044,0.016844459924584786
540,0.6258003086514,0.0001029144203,5,69,0.0002266486847039425,0.2127336173121813
632,0.2859097380484,0.0213235547463,3,145,0.07501283479459359,0.029114682600634722
392,0.6228128189061,0.0001026732783,5,153,0.0008477704813986114,0.15469722504061734
37,0.6258586253227,0.0001011255652,5,167,2.790051879304828e-05,0.23203134295746156
375,0.6260533307751,0.0001228469166,3,770,0.05431520853981827,0.058433154999232004
381,0.6094098023244,0.0001228276843,3,725,0.026609130077289815,0.057391274248714395
917,0.2528729324812,0.0002112474838,2,84,0.07591883019967513,0.02578719758740571
376,0.6257858536536,0.000790288904,3,770,0.00358814029079495,0.12599747750632245
869,0.3577941791914,0.0001144897283,1,85,0.0516545020089005,0.04096759049932828
380,0.6086732510904,0.0001227526544,3,727,0.04513506237304572,0.0948130953333867
603,0.7481965207707,0.050363997522,2,431,0.0,0.5493876570879693
386,0.0812829148468,0.0006303425415,3,772,0.027990662816799045,0.014140459197691246
375,0.6255851877375,0.0001227975033,3,770,0.03682185232639313,0.10419023842541011
959,0.0099039525899,0.0001330037572,5,856,0.025790495330637153,0.013517840260816327
384,0.085220200925,0.0002087609027,5,83,0.025698536137739814,0.015803877198258043
384,0.0848696827159,0.0002086607563,4,84,0.029008671144644414,0.014972492704022344
386,0.0831653226224,0.0001172127512,5,444,0.030716564438559794,0.015803444523527756
664,0.0838032666126,0.0001162358567,5,178,0.027974602227861235,0.01622032662615387
501,0.4344636044526,0.0343406853747,4,551,0.0,0.4805499728496606
941,0.0842447165328,0.0001425782775,5,263,0.0246683075391885,0.014348792080321715
396,0.6364560981117,0.0001011032981,2,170,0.00279030700524648,0.12622939116175327
399,0.6287491756771,0.0001012374266,2,173,0.0030769446582505195,0.11977539854751093
392,0.6376269323952,0.0001011174134,2,212,0.00371851696209474,0.10458289074314049
355,0.9137569290511,0.034912055568,1,196,9.108745690548058e-06,0.508824401124089
414,0.640064579469,0.0001012456886,2,177,0.002654312018192176,0.12228080157320534
396,0.6314630394222,0.0001019882436,2,174,0.002423333173448389,0.1280976806471083
103,0.2833626254686,0.0005003261748,1,490,0.09930606787854976,0.016635478029858854
381,0.6373279021025,0.0001010455538,2,253,0.0039554755615465575,0.12725720998353676
588,0.7587445757974,0.0613532539103,5,787,0.0,0.5493876570879693
380,0.6444948883,0.0001032785342,1,768,0.018430141644044353,0.0829818211712072
105,0.5175676044407,0.0804624104669,2,720,0.0,0.4780551703548582
385,0.637917548218,0.0246972886513,1,749,0.02728848173762812,0.13680655761821214
380,0.646740570877,0.0001032048147,1,366,0.007755976671522313,0.10023018295650969
386,0.639043873472,0.0002538693914,2,815,0.029744658741084014,0.07300888497558633
376,0.6467184167977,0.0020913637786,1,791,0.001078066591060523,0.2336962753195843
380,0.6458782787349,0.004930951363,2,211,0.00031746034369324193,0.3988393500360202
380,0.6375900392781,0.0001030894799,2,768,0.00803309367461638,0.08192782552824174
