batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,demographic_parity,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.17325452775666209,0.012685374079754896
979,0.3596079321578,0.0535361448362,4,65,0.16487587356657693,0.018715129120956363
652,0.7642785040662,0.0014379647071,3,136,0.13323637038469313,0.01663526169249374
94,0.005704017356,0.0050831004951,3,339,0.14830890409422642,0.015388509457187904
241,0.9708397453651,0.0329667406801,4,407,0.0,0.4880343803340681
79,0.90740704797,0.0283720895478,5,180,0.05376075487245213,0.30541384256264587
47,0.8460058756767,0.0793774618551,4,131,0.0,0.5298450375453497
59,0.8212601366482,0.0165887034061,3,119,0.15725556896039933,0.016636343379319428
183,0.6750113656916,0.0816361785922,4,78,0.09276035950039373,0.27080137850169067
175,0.7357836741135,0.0360144805804,4,185,0.0871354678363511,0.24917975688006905
86,0.6735768836652,0.0609010136424,1,166,0.13746240917931904,0.04782548497428827
87,0.7820718150326,0.0157878719558,3,184,0.14682474872831142,0.023919124439415775
50,0.696212173123,0.0396111243517,3,64,0.14618461985028153,0.032022689462855934
175,0.7273687903677,0.0346808074301,5,185,0.03400956839323044,0.3837935189652151
157,0.7448366250586,0.0378183122273,5,190,0.018426153063774105,0.4256643179640058
165,0.757489375563,0.0374898948805,5,183,0.047736768722534184,0.3243327614815648
174,0.7807300695852,0.0349745628845,5,160,0.06970372213558718,0.20092419322388108
223,0.9558893100958,0.046076122745,5,186,0.0,0.49759778989747766
211,0.8968371501268,0.0351995762301,5,202,0.0,0.4701549624546503
277,0.0788153739624,0.0011246047718,1,788,0.1728624392955592,0.015180609249287703
895,0.7897473442105,0.011623077444,1,411,0.1025077872204058,0.18919286692439657
597,0.4199483890762,0.0062957704128,3,1002,0.0,0.49200719970751194
59,0.8295354963047,0.0262822533097,5,163,0.02914480114525015,0.41664045378925707
56,0.8298412628565,0.027967511744,5,166,0.024444108054493412,0.40986390216359
65,0.8298480079024,0.0167598515903,5,172,0.08871151995929805,0.21298240528209308
54,0.9948721349168,0.0032892396555,5,170,0.0036393279836259102,0.4780551703548582
63,0.9673320822769,0.0005586100049,5,73,0.030398165405248152,0.4506123429120308
120,0.8888649358095,0.0021565493511,5,67,0.11221380632032048,0.01684359457512421
73,0.9439552199605,0.0009174958221,5,69,0.06711784367082699,0.4506123429120308
