batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,equalized_odds
193,0.4888227212062,0.0678987026873,5,198,0.4506123429120308,0.0
79,0.2569275724591,0.0030554275554,1,1013,0.016844459924584786,0.034073019136082044
188,0.9760154453324,0.0002621241428,3,277,0.32871532382458496,0.0020093174052960945
624,0.0178732155402,0.0001123283454,5,629,0.13516412434206398,0.0027650870698871033
79,0.2776031638017,0.0028307316943,1,922,0.017260909352480612,0.027831772647120733
672,0.0193201747108,0.0001872232174,5,690,0.02890678239273452,0.015110558144973984
503,0.0202504051414,0.000105894637,5,525,0.06467037757360339,0.0032855463118264166
682,0.8747075398063,0.0001166064946,5,720,0.41252701512847195,0.0010663050051891443
624,0.0129841572087,0.0001102758892,5,629,0.040968672186153965,0.008799459572994347
331,0.1060766371669,0.0001584398625,5,559,0.040758175929872055,0.011659168411384929
